,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.7034153005464481,0.4723316885783356,0.5850047167876625,0.522664809996702,47525,15934,10118,14263,0.8183970856102004,0.6045859493262525,0.9992617201919527,0.7533628127029283,47525,15934,18,24363
Q91.000,0.7139230418943534,0.48689925739106066,0.570116073992043,0.5252319144514349,48811,14648,10481,13900,0.8330373406193078,0.6245161621081233,0.9992617201919527,0.7686458859162039,48811,14648,18,24363
Q92.000,0.7284153005464481,0.5099488345650938,0.5518641565153193,0.5300791868573455,50529,12930,10926,13455,0.8525956284153006,0.6532861394899847,0.9992617201919527,0.7900573985796283,50529,12930,18,24363
Q93.000,0.7446379781420766,0.540835985927291,0.5296337311841188,0.5351762438609942,52496,10963,11468,12913,0.8749886156648452,0.6896620053218593,0.9992617201919527,0.8160852161388111,52496,10963,18,24363
Q94.000,0.7622267759562842,0.5824720373778848,0.5062138550510643,0.5416721527320606,54612,8847,12039,12342,0.8990095628415301,0.7335561980484279,0.9990156269226037,0.8459494660067727,54612,8847,24,24357
Q95.000,0.7804189435336977,0.6391301972354259,0.4797998441409294,0.548121075812951,56854,6605,12683,11698,0.9244990892531876,0.786653315675571,0.9988925802879292,0.8801590169859053,56854,6605,27,24354
Q96.000,0.794933970856102,0.7074537399009643,0.4453467864320578,0.5466032369302021,58969,4490,13523,10858,0.9440346083788707,0.8421515204781157,0.9825273778762151,0.9069397645099004,58969,4490,426,23955
Q97.000,0.7983492714025501,0.7727867779414171,0.3873918215003486,0.5160779171106193,60682,2777,14936,9445,0.9635359744990892,0.8961170133173725,0.9825273778762151,0.9373349245788742,60682,2777,426,23955
Q98.000,0.7776183970856102,0.8134782046307075,0.2579467618227308,0.3916915794718485,62017,1442,18092,6289,0.9741917122040072,0.9423153852308185,0.966162175464501,0.9540897952570931,62017,1442,825,23556
Q99.000,0.7419512750455374,0.825113808801214,0.0892088101390427,0.1610097346115409,62998,461,22206,2175,0.9726206739526412,0.9798672373133025,0.920265780730897,0.9491317498255039,62998,461,1944,22437
Q100.000,0.7224499089253188,1.0,4.101554489151388e-05,8.202772537117544e-05,63459,0,24380,1,0.7227800546448088,1.0,0.0012304663467454166,0.002457908320019663,63459,0,24351,30
