,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,0.06745344400405884,0.7892418032786885,0.6296279932844393,0.5845125302489643,0.6062320535999148,55076,8383,10130,14251,0.9043260473588343,0.7439758116238585,0.9991386735572783,0.85288145087879,55076,8383,21,24360
Q81.000,0.06958000712096692,0.7931124772313297,0.6419425644777758,0.5757762191870719,0.6070617743086336,55629,7830,10343,14038,0.9106215846994535,0.7567567567567568,0.9991386735572783,0.8612186455958,55629,7830,21,24360
Q82.000,0.07184673085808754,0.7960382513661202,0.6530612244897959,0.5656863951437595,0.6062417582417582,56132,7327,10589,13792,0.9163479052823316,0.7687695269353363,0.9991386735572783,0.8689448526788899,56132,7327,21,24360
Q83.000,0.07427894748747349,0.798816029143898,0.6645249889646377,0.5557196177351216,0.6052713870895687,56619,6840,10832,13549,0.9218693078324226,0.7807551766138855,0.9990566424674951,0.876518109357851,56619,6840,23,24358
Q84.000,0.076948336660862,0.8015368852459016,0.6771003262642741,0.5447684672490875,0.6037684387571881,57125,6334,11099,13282,0.927629781420765,0.7936270037794865,0.9990566424674951,0.8845713870680734,57125,6334,23,24358
Q85.000,0.0799458429217339,0.8040528233151184,0.6906750359061652,0.5325458348714163,0.601389532190829,57644,5815,11397,12984,0.9335382513661202,0.8072780300268452,0.9990566424674951,0.8929867654067529,57644,5815,23,24358
Q86.000,0.08345962569117556,0.8063069216757741,0.7056787090289799,0.5183544563389525,0.5976826672972334,58188,5271,11743,12638,0.9397085610200364,0.8220879603064772,0.9989746113777122,0.9019404532661829,58188,5271,25,24356
Q87.000,0.08707295574247838,0.8079234972677596,0.719934391658368,0.5040810467167056,0.5929750072372866,58678,4781,12091,12290,0.9452868852459017,0.8359131001818993,0.9989746113777122,0.9101984379087411,58678,4781,25,24356
Q88.000,0.09129527062177661,0.8086748633879781,0.7340997589467829,0.4871416266765104,0.5856508875739644,59157,4302,12504,11877,0.9507399817850638,0.8498848489078094,0.9989746113777122,0.9184185222194989,59157,4302,25,24356
Q89.000,0.09601113110780717,0.8085268670309654,0.7483252331538158,0.4673311184939092,0.5753528416694019,59627,3832,12987,11394,0.9560906193078325,0.8640556265077338,0.9989746113777122,0.926629762787955,59627,3832,25,24356
Q90.000,0.10080566257238398,0.8071835154826958,0.762112676056338,0.4438702268159633,0.561001529250149,60081,3378,13559,10822,0.9612591074681238,0.8782000432681907,0.9989746113777122,0.9347021011225174,60081,3378,25,24356
Q91.000,0.10676278911530976,0.8044626593806922,0.7748531319142443,0.416553873918215,0.5418267178830559,60508,2951,14225,10156,0.966120218579235,0.8919324715274471,0.9989746113777122,0.9424237734096889,60508,2951,25,24356
Q92.000,0.11361764758825309,0.7987135701275045,0.7821765498652291,0.38087034986259793,0.5122886381816677,60873,2586,15095,9286,0.9702755009107468,0.904016034444362,0.9989746113777122,0.9491261227909514,60873,2586,25,24356
Q93.000,0.12191317923367032,0.7914731329690347,0.7904771028932746,0.33841926089988106,0.4739366437864384,61272,2187,16130,8251,0.970264116575592,0.9163447194277627,0.9825683934211066,0.9483017971657035,61272,2187,425,23956
Q94.000,0.13204048186540615,0.7821835154826958,0.7937751903269145,0.29080021328083344,0.42565965238795667,61617,1842,17291,7090,0.9741917122040072,0.9285991162105589,0.9825683934211066,0.9548217381773251,61617,1842,425,23956
Q95.000,0.14441210180521016,0.7706853369763206,0.7916322598403523,0.23592141421598786,0.3635099693493854,61945,1514,18629,5752,0.9779257741347905,0.9405575186493914,0.9825683934211066,0.9611040901887625,61945,1514,425,23956
Q96.000,0.16109498679637915,0.7581511839708561,0.7843030632590176,0.17747426274558056,0.28945079938457424,62269,1190,20054,4327,0.9816142987249544,0.9526763699992047,0.9825683934211066,0.9673915238152926,62269,1190,425,23956
Q97.000,0.1845033016800881,0.7463570127504554,0.7717981888745149,0.12234937041138591,0.2112157473624584,62577,882,21398,2983,0.9851206739526411,0.9644898945164667,0.9825683934211066,0.9734452142465309,62577,882,425,23956
Q98.000,0.22791239231825097,0.7366120218579235,0.7610062893081762,0.0744432139780977,0.13561981618471192,62889,570,22566,1815,0.9886725865209471,0.9767593574166191,0.9825683934211066,0.9796552640726276,62889,570,425,23956
Q99.000,0.337833355069165,0.7297472677595629,0.762684124386252,0.03822648783889094,0.07280396828496662,63169,290,23449,932,0.9869535519125683,0.9878228007558262,0.9648906935728642,0.976222093119761,63169,290,856,23525
Q100.000,279.6590881347656,0.7224726775956284,1.0,0.00012304663467454166,0.0002460629921259843,63459,0,24378,3,0.8237704918032787,1.0,0.36507936507936506,0.5348837209302325,63459,0,15480,8901
Qbest,0.11228600889444351,0.7997723132969035,0.7803086572583973,0.38780197694926377,0.5181105814017206,60797,2662,14926,9455,0.9694102914389799,0.9014730920127323,0.9989746113777122,0.9477227183408238,60797,2662,25,24356
