,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.800,2.7643288779258834,0.9460602759622367,0.6579303556047742,0.6283934657421554,0.6428227939408512,98871,2780,3162,5347,0.9743827160493828,0.7528229750155597,0.9950640498295922,0.857157319295404,98871,2780,42,8467
Q99.810,2.9372874939441473,0.9476307189542483,0.6722837022132797,0.6282759431190504,0.6495352651722254,99045,2606,3163,5346,0.9759622367465505,0.7646527589632439,0.9950640498295922,0.8647737718312737,99045,2606,42,8467
Q99.820,3.0585945044994114,0.9483660130718954,0.6792932502860048,0.6280408978728406,0.6526624328285295,99128,2523,3165,5344,0.9767156862745098,0.770427661510464,0.9950640498295922,0.8684547925534644,99128,2523,42,8467
Q99.830,3.266184219241138,0.9495642701525054,0.6909349540928488,0.6279233752497356,0.6579239009974142,99261,2390,3166,5343,0.977923021060276,0.7798655245463756,0.9950640498295922,0.8744190849943199,99261,2390,42,8467
Q99.840,3.5002043895719788,0.9525689905591866,0.722011898323418,0.6275708073804207,0.6714869537881168,99595,2056,3169,5340,0.9809549745824255,0.8046184548132662,0.9950640498295922,0.8897646069777218,99595,2056,42,8467
Q99.850,3.687606226801504,0.9570715323166303,0.7739130434782608,0.6275708073804207,0.6931014342267505,100091,1560,3169,5340,0.9854575163398693,0.8444200658222798,0.9950640498295922,0.9135735865343116,100091,1560,42,8467
Q99.860,3.951225575685491,0.9649782135076252,0.893685457931268,0.620401927371019,0.7323806881243063,101023,628,3230,5279,0.9939179375453885,0.9309510720175921,0.9950640498295922,0.9619404680754373,101023,628,42,8467
Q99.870,4.401535286139298,0.9595951343500363,0.921129099211291,0.5215654013397579,0.6660163577699408,101271,380,4071,4438,0.9961692084241104,0.9570475867525715,0.9950640498295922,0.9756856418529615,101271,380,42,8467
Q99.880,5.136908860015203,0.953258896151053,0.9397905759162304,0.4219062169467622,0.5823667775164246,101421,230,4919,3590,0.9975308641975309,0.9735540991146372,0.9950640498295922,0.9841915610833429,101421,230,42,8467
Q99.890,6.096748616454096,0.9414941902687001,0.9773358001850139,0.2483253026207545,0.3960266141879861,101602,49,6396,2113,0.9991739288307916,0.994246124941287,0.9950640498295922,0.9946549192364169,101602,49,42,8467
Q99.900,6.852649537082857,0.9230573710965868,0.8113207547169812,0.005053472793512751,0.010044382153702406,101641,10,8466,43,0.9995279593318809,0.9988203373835083,0.9950640498295922,0.9969386553632403,101641,10,42,8467
Qbest,3.984332799911499,0.9653867102396514,0.9032978357952594,0.61805147490892,0.733933431023655,101088,563,3250,5259,0.9945079883805374,0.9376522702104098,0.9950640498295922,0.9655054450082673,101088,563,42,8467
