,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.12051471993327141,0.31666666666666665,0.10155755803544787,1.0,0.18438901770429278,26375,75276,0,8509,0.31666666666666665,0.10155755803544787,1.0,0.18438901770429278,26375,75276,0,8509
Q91.000,0.1336480833590031,0.4043028322440087,0.11478328904237094,1.0,0.20592933204259437,36029,65622,0,8509,0.4043028322440087,0.11478328904237094,1.0,0.20592933204259437,36029,65622,0,8509
Q92.000,0.14770216286182403,0.4795570079883805,0.1292355826916359,1.0,0.22889038332212508,44319,57332,0,8509,0.4795570079883805,0.1292355826916359,1.0,0.22889038332212508,44319,57332,0,8509
Q93.000,0.16684923872351645,0.5685911401597676,0.15185694144521977,1.0,0.263673267019925,54127,47524,0,8509,0.5685911401597676,0.15185694144521977,1.0,0.263673267019925,54127,47524,0,8509
Q94.000,0.1900584474205971,0.6482116920842411,0.18003893191147222,1.0,0.30514066450305716,62898,38753,0,8509,0.6482116920842411,0.18003893191147222,1.0,0.30514066450305716,62898,38753,0,8509
Q95.000,0.21656475961208344,0.7082334785766158,0.20932349323493235,1.0,0.34618279460526047,69510,32141,0,8509,0.7082334785766158,0.20932349323493235,1.0,0.34618279460526047,69510,32141,0,8509
Q96.000,0.24892117202281958,0.7572258533042847,0.24135485518141328,0.9998824773768951,0.3888482632541133,74908,26743,1,8508,0.7572349310094408,0.24137637580846477,1.0,0.3888850803226617,74908,26743,0,8509
Q97.000,0.28509945631027234,0.793282498184459,0.27194525279012505,0.9994123868844753,0.4275515334338864,78884,22767,5,8504,0.7933278867102397,0.27206164471159994,1.0,0.4277491516903355,78884,22767,0,8509
Q98.000,0.34962676048278907,0.8295751633986929,0.3117273761050585,0.9987072511458456,0.47514677103718206,82888,18763,11,8498,0.8296750181554103,0.312004986799648,1.0,0.4756155501523155,82888,18763,0,8509
Q99.000,0.5349927836656767,0.8593409586056645,0.3516898777173913,0.9734398871782818,0.5167025357911481,86382,15269,226,8283,0.8613925199709513,0.35785179577760956,1.0,0.5270852045714994,86382,15269,0,8509
Q100.000,23.82763671875,0.9228576615831517,0.8666666666666667,0.0015277941003643202,0.0030502111684655095,101649,2,8496,13,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
