,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.8047839506172839,0.28350103285133604,1.0,0.4417620642213742,80146,21505,0,8509,0.8047839506172839,0.28350103285133604,1.0,0.4417620642213742,80146,21505,0,8509
Q99.100,0.8202432824981845,0.30055455476669846,1.0,0.4621944595328626,81849,19802,0,8509,0.8202432824981845,0.30055455476669846,1.0,0.4621944595328626,81849,19802,0,8509
Q99.200,0.8328885257806826,0.31610818039973254,1.0,0.48036808084229543,83242,18409,0,8509,0.8328885257806826,0.31610818039973254,1.0,0.48036808084229543,83242,18409,0,8509
Q99.300,0.8456245461147422,0.33334640881810695,0.9987072511458456,0.4998529498264808,84656,16995,11,8498,0.8457244008714597,0.33363393977415307,1.0,0.5003381060182871,84656,16995,0,8509
Q99.400,0.8559912854030501,0.3475268460549774,0.9850746268656716,0.5137918352335418,85914,15737,127,8382,0.8571441539578795,0.35094448568836095,1.0,0.5195542665241948,85914,15737,0,8509
Q99.500,0.862763253449528,0.35528793518721263,0.9534610412504407,0.5176748340990301,86929,14722,396,8113,0.866358024691358,0.36627781843226725,1.0,0.5361688720856963,86929,14722,0,8509
Q99.600,0.8590323166303558,0.3340111605031684,0.8300622869902456,0.476344629910639,87568,14083,1446,7063,0.8721586782861293,0.3766377478753541,1.0,0.5471849779749847,87568,14083,0,8509
Q99.700,0.8500363108206246,0.29298671765982737,0.6662357503819485,0.4069926053557326,87971,13680,2840,5669,0.8758169934640523,0.3834783000585876,1.0,0.554368362759789,87971,13680,0,8509
Q99.800,0.8609749455337691,0.3077401129943503,0.6401457280526501,0.41565874317982376,89398,12253,3062,5447,0.8887708787218591,0.40983527598497255,1.0,0.5813945543370571,89398,12253,0,8509
Q99.900,0.9473856209150326,0.6694989378982882,0.6296862145963098,0.648982558139535,99006,2645,3151,5358,0.9759894698620188,0.7628653397884168,1.0,0.8654833952092764,99006,2645,0,8509
Q100.000,0.922803195352215,0.7777777777777778,0.0008226583617346339,0.0016435783047663768,101649,2,8502,7,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
Qbest,0.9637981118373276,0.8713652045342534,0.6233399929486426,0.7267744587558235,100868,783,3205,5304,0.9925108932461874,0.9153513513513514,0.9950640498295922,0.9535446815699082,100868,783,42,8467
