,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.5349927836656608,0.9183097312999273,0.4642022209234366,0.37336937360441885,0.4138604832931675,97984,3667,5332,3177,0.9667120551924473,0.6988337713534822,1.0,0.8227217790669568,97984,3667,0,8509
Q99.100,0.5851372931599618,0.9183369644153958,0.4607194708824004,0.3356446115877306,0.3883600761490345,98308,3343,5653,2856,0.9696532316630356,0.7179379007762403,1.0,0.8358135651490595,98308,3343,0,8509
Q99.200,0.6464382472038296,0.9179829339143064,0.45291800930898674,0.2973322364555177,0.3589925505498404,98595,3056,5979,2530,0.9722585330428468,0.7357544314742759,1.0,0.8477632758792468,98595,3056,0,8509
Q99.300,0.7097922767400758,0.9181826434277415,0.45023696682464454,0.26795158067928077,0.3359610992411405,98867,2784,6229,2280,0.9747276688453159,0.7534756043566812,1.0,0.8594081405918594,98867,2784,0,8509
Q99.400,0.8044194054603608,0.9184731299927379,0.44638800545206725,0.23093195440122224,0.3043916040585547,99214,2437,6544,1965,0.9778776325344953,0.7773615932760826,1.0,0.8747365715754305,99214,2437,0,8509
Q99.500,0.9108605986833593,0.9191902687000726,0.44970565651394934,0.20648724879539312,0.28302190721649484,99501,2150,6752,1757,0.9804829339143064,0.798292522750727,1.0,0.8878338898163605,99501,2150,0,8509
Q99.600,1.0997382197380128,0.9207153231663036,0.46467817896389324,0.1739334821953226,0.2531212587651787,99946,1705,7029,1480,0.9845225127087872,0.8330722537693362,1.0,0.9089355338353896,99946,1705,0,8509
Q99.700,1.6199696511030197,0.9248456790123457,0.5682897862232779,0.11246915031143495,0.1877759246541744,100924,727,7552,957,0.9934005083514887,0.921286271113036,1.0,0.9590307128768668,100924,727,0,8509
Q99.800,2.7643288779258834,0.926788307915759,0.8639344262295082,0.06193442237630744,0.11558284899660051,101568,83,7982,527,0.9988652868554829,0.9902923976608187,0.9950640498295922,0.9926724895949351,101568,83,42,8467
Q99.900,6.852649537086576,0.922939360929557,0.7941176470588235,0.003173110823833588,0.006320964532365679,101644,7,8482,27,0.9233841684822077,0.9156626506024096,0.008931719355976026,0.017690875232774676,101644,7,8433,76
Q100.000,23.82763671875,0.9228485838779956,0.8571428571428571,0.0014102714772593725,0.0028159098908834917,101649,2,8497,12,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
