,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.08710965867828613,0.07801197363233797,1.0,0.14473303736966542,1087,100564,0,8509,0.08710965867828613,0.07801197363233797,1.0,0.14473303736966542,1087,100564,0,8509
Q91.000,0.09133079157588961,0.07834597819681792,1.0,0.14530768376922223,1552,100099,0,8509,0.09133079157588961,0.07834597819681792,1.0,0.14530768376922223,1552,100099,0,8509
Q92.000,0.09782135076252724,0.07886517197593912,1.0,0.146200237109328,2267,99384,0,8509,0.09782135076252724,0.07886517197593912,1.0,0.146200237109328,2267,99384,0,8509
Q93.000,0.10777051561365286,0.079674522692585,1.0,0.14758989124590222,3363,98288,0,8509,0.10777051561365286,0.079674522692585,1.0,0.14758989124590222,3363,98288,0,8509
Q94.000,0.12347494553376906,0.08098641819029762,1.0,0.14983799394238217,5093,96558,0,8509,0.12347494553376906,0.08098641819029762,1.0,0.14983799394238217,5093,96558,0,8509
Q95.000,0.15481118373275235,0.08373763715986814,1.0,0.15453488794449893,8545,93106,0,8509,0.15481118373275235,0.08373763715986814,1.0,0.15453488794449893,8545,93106,0,8509
Q96.000,0.2282316630355846,0.09097907556106792,1.0,0.16678427221764866,16633,85018,0,8509,0.2282316630355846,0.09097907556106792,1.0,0.16678427221764866,16633,85018,0,8509
Q97.000,0.4054012345679012,0.11475232532987238,0.9975320249147961,0.20582707906446646,36171,65480,21,8488,0.4055918663761801,0.11500358161348309,1.0,0.20628378869790784,36171,65480,0,8509
Q98.000,0.678186274509804,0.1893219557195572,0.9647432130685157,0.31652817675297384,66500,35151,300,8209,0.6809095860566449,0.19489234997709573,1.0,0.32620905135233563,66500,35151,0,8509
Q99.000,0.893618373275236,0.40814925031475335,0.838171347984487,0.548974329369203,91309,10342,1377,7132,0.906118373275236,0.45138188955493075,1.0,0.6220029239766082,91309,10342,0,8509
Q100.000,0.922803195352215,0.7777777777777778,0.0008226583617346339,0.0016435783047663768,101649,2,8502,7,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
