,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.5349927836656608,0.859640522875817,0.35186842217393155,0.9705018216006581,0.5164800800550378,86440,15211,251,8258,0.8619190268700072,0.35872681281618884,1.0,0.528033758416333,86440,15211,0,8509
Q99.100,0.5851372931599618,0.8603122730573711,0.3494155247143295,0.9379480550005876,0.5091547049441786,86791,14860,528,7981,0.8651053013798112,0.36411485301039836,1.0,0.5338477947173599,86791,14860,0,8509
Q99.200,0.6464382472038296,0.8592501815541032,0.3414468316562415,0.8852979198495711,0.4928199928036375,87122,14529,976,7533,0.8681100217864923,0.3693462974216512,1.0,0.5394490759818683,87122,14529,0,8509
Q99.300,0.7097922767400758,0.8581608569353667,0.33432669025889367,0.8438124338935244,0.47890611972652997,87355,14296,1329,7180,0.8702251270878721,0.3731199298399474,1.0,0.5434629878009836,87355,14296,0,8509
Q99.400,0.8044194054603608,0.8566902687000726,0.32553456707258605,0.7979786108825949,0.4624238090373548,87583,14068,1719,6790,0.8722948438634713,0.37688798334588297,1.0,0.5474490124171653,87583,14068,0,8509
Q99.500,0.9108605986833593,0.8542937545388526,0.3135752422384813,0.7454459983546833,0.44145178689494385,87766,13885,2166,6343,0.8739560639070443,0.37996784853085647,1.0,0.5506908714364301,87766,13885,0,8509
Q99.600,1.0997382197380128,0.8495370370370371,0.29075438414444327,0.6585967798801269,0.4034121585141993,87981,13670,2905,5604,0.8759077705156136,0.3836512015870869,1.0,0.5545490093847758,87981,13670,0,8509
Q99.700,1.6199696511030197,0.850526506899056,0.2875980994073995,0.6330943706663533,0.39552129221732746,88307,13344,3122,5387,0.8788671023965141,0.38937445659634834,1.0,0.5605032606547659,88307,13344,0,8509
Q99.800,2.7643288779258834,0.9472948438634713,0.6691277687398323,0.6283934657421554,0.6481212121212121,99007,2644,3162,5347,0.9756172839506173,0.7620376203762038,0.9950640498295922,0.8630988786952091,99007,2644,42,8467
Q99.900,6.852649537086576,0.9230392156862746,0.8163265306122449,0.004700904924197908,0.00934797849964945,101642,9,8469,40,0.999537037037037,0.9989381783860312,0.9950640498295922,0.9969973506034736,101642,9,42,8467
Q100.000,23.82763671875,0.9228576615831517,0.8666666666666667,0.0015277941003643202,0.0030502111684655095,101649,2,8496,13,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
