,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09441721132897604,0.07859201241364022,1.0,0.14573075177475014,1892,99759,0,8509,0.09441721132897604,0.07859201241364022,1.0,0.14573075177475014,1892,99759,0,8509
Q91.000,0.10286855482933914,0.0792736894081258,1.0,0.14690192151649603,2823,98828,0,8509,0.10286855482933914,0.0792736894081258,1.0,0.14690192151649603,2823,98828,0,8509
Q92.000,0.11716594045025418,0.08045422741627428,1.0,0.14892667430931733,4398,97253,0,8509,0.11716594045025418,0.08045422741627428,1.0,0.14892667430931733,4398,97253,0,8509
Q93.000,0.14051379811183734,0.08245954065316406,1.0,0.15235588501239938,6970,94681,0,8509,0.14051379811183734,0.08245954065316406,1.0,0.15235588501239938,6970,94681,0,8509
Q94.000,0.17720588235294119,0.08582119659498931,1.0,0.1580761120967517,11012,90639,0,8509,0.17720588235294119,0.08582119659498931,1.0,0.1580761120967517,11012,90639,0,8509
Q95.000,0.2355392156862745,0.09176894372425098,1.0,0.16811055901848246,17438,84213,0,8509,0.2355392156862745,0.09176894372425098,1.0,0.16811055901848246,17438,84213,0,8509
Q96.000,0.3219135802469136,0.102263030754624,1.0,0.18555104889005192,26953,74698,0,8509,0.3219135802469136,0.102263030754624,1.0,0.18555104889005192,26953,74698,0,8509
Q97.000,0.451397966594045,0.12342079689018465,1.0,0.21972318339100347,41217,60434,0,8509,0.451397966594045,0.12342079689018465,1.0,0.21972318339100347,41217,60434,0,8509
Q98.000,0.6574709513435003,0.1840102071709701,1.0,0.310825373052547,63918,37733,0,8509,0.6574709513435003,0.1840102071709701,1.0,0.310825373052547,63918,37733,0,8509
Q99.000,0.8208877995642702,0.30131019830028327,1.0,0.46308743095050203,81920,19731,0,8509,0.8208877995642702,0.30131019830028327,1.0,0.46308743095050203,81920,19731,0,8509
Q100.000,0.922803195352215,0.7777777777777778,0.0008226583617346339,0.0016435783047663768,101649,2,8502,7,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
