,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.5349927836656608,0.8599854756717502,0.3524264800034146,0.9703842989775532,0.5170643121047029,86479,15172,252,8257,0.8622730573710966,0.35931759638528776,1.0,0.5286735010872942,86479,15172,0,8509
Q99.100,0.5851372931599618,0.8606209150326798,0.3500021913485559,0.9385356681161123,0.5098640107259146,86820,14831,523,7986,0.8653685548293392,0.36456726649528703,1.0,0.5343338880341612,86820,14831,0,8509
Q99.200,0.6464382472038296,0.8595315904139433,0.34207065439209106,0.8864731460806206,0.49365183246073296,87143,14508,966,7543,0.8683006535947713,0.36968327757744274,1.0,0.5398084121042949,87143,14508,0,8509
Q99.300,0.7097922767400758,0.8583333333333333,0.3346843699044957,0.8442825243859443,0.4793487689330754,87370,14281,1325,7184,0.8703612926652142,0.37336551118911804,1.0,0.543723441643503,87370,14281,0,8509
Q99.400,0.8044194054603608,0.8567810457516339,0.32567399021394994,0.79786108825949,0.46254471129279506,87594,14057,1720,6789,0.8723946986201888,0.3770717007887973,1.0,0.5476427996781978,87594,14057,0,8509
Q99.500,0.9108605986833593,0.8544026870007262,0.3138718607870279,0.746151134093313,0.44186936701813,87772,13879,2160,6349,0.8740105301379811,0.38006968018581383,1.0,0.5507978120853158,87772,13879,0,8509
Q99.600,1.0997382197380128,0.84960058097313,0.29094682230869,0.6590668703725467,0.40368557443132735,87984,13667,2901,5608,0.875935003631082,0.38370310245310246,1.0,0.554603226332084,87984,13667,0,8509
Q99.700,1.6199696511030197,0.8511256354393609,0.28861505491561745,0.6330943706663533,0.39648193125782,88373,13278,3122,5387,0.8794662309368192,0.39055400009179786,1.0,0.5617243200422497,88373,13278,0,8509
Q99.800,2.7643288779258834,0.9472948438634713,0.6691277687398323,0.6283934657421554,0.6481212121212121,99007,2644,3162,5347,0.9756172839506173,0.7620376203762038,0.9950640498295922,0.8630988786952091,99007,2644,42,8467
Q99.900,6.852649537086576,0.9230392156862746,0.8163265306122449,0.004700904924197908,0.00934797849964945,101642,9,8469,40,0.999537037037037,0.9989381783860312,0.9950640498295922,0.9969973506034736,101642,9,42,8467
Q100.000,23.82763671875,0.9228576615831517,0.8666666666666667,0.0015277941003643202,0.0030502111684655095,101649,2,8496,13,0.9234295570079883,0.9743589743589743,0.008931719355976026,0.01770117619657622,101649,2,8433,76
