,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q91.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q92.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q93.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q94.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q95.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q96.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q97.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q98.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q99.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q100.000,5.159067577850355e-17,0.34803601722562966,0.02810304449648712,0.9,0.05450416351249054,,2523,4980,16,144,0.3501239723345948,0.0311284046692607,1.0,0.060377358490566045,2523,4980,0,160
Q_off_f1_best,0.009984120726585388,0.9433642176693201,0.17067307692307693,0.44375,0.24652777777777776,0.8369577169132346,7158,345,89,71,0.9549784679629388,0.31683168316831684,1.0,0.48120300751879697,7158,345,0,160
