,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q91.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q92.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q93.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q94.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q95.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q96.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q97.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q98.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q99.000,3.681747157504534e-17,0.10726869372308495,0.02230802230802231,0.975,0.04361806235146093,0.8369577169132346,666,6837,4,156,0.10779068250032624,0.022866942975560956,1.0,0.04471147128685203,666,6837,0,160
Q100.000,5.159067577850355e-17,0.34803601722562966,0.02810304449648712,0.9,0.05450416351249054,0.8369577169132346,2523,4980,16,144,0.3501239723345948,0.0311284046692607,1.0,0.060377358490566045,2523,4980,0,160
Q_off_f1_best,0.009984120726585388,0.9445386924181131,0.17444717444717445,0.44375,0.2504409171075838,0.8468570904971345,7167,336,89,71,0.9561529427117317,0.3225806451612903,1.0,0.4878048780487805,7167,336,0,160
