,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q91.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q92.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q93.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q94.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q95.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q96.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q97.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q98.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q99.000,3.681747157504534e-17,0.14067597546652746,0.023155707288110436,0.975,0.04523705959112658,0.6530633579901371,922,6581,4,156,0.14119796424376876,0.023735350838154576,1.0,0.04637009129111723,922,6581,0,160
Q100.000,5.159067577850355e-17,0.5000652485971552,0.036372821419550394,0.9,0.0699198834668609,0.6530633579901371,3688,3815,16,144,0.5021532037061203,0.04025157232704402,1.0,0.0773881499395405,3688,3815,0,160
Q_off_f1_best,0.009984120726585388,0.6373482970116142,0.04766839378238342,0.8625,0.09034369885433714,0.6208379148340663,4746,2757,22,138,0.6402192352864413,0.054850874185807336,1.0,0.10399740006499837,4746,2757,0,160
