,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0033717744518071413,0.8442708940435948,0.044233807266982623,0.3076923076923077,0.07734806629834255,,7187,1210,126,56,0.8589579205035552,0.1307471264367816,1.0,0.23125794155019058,7187,1210,0,182
Q91.000,0.0034574323799461126,0.8532462991024595,0.04709840201850295,0.3076923076923077,0.08169219547775346,,7264,1133,126,56,0.8679333255624199,0.13840304182509505,1.0,0.24315297261189045,7264,1133,0,182
Q92.000,0.0037857352290302515,0.8904301200606132,0.05516431924882629,0.25824175824175827,0.0909090909090909,,7592,805,135,47,0.9061662198391421,0.18439716312056736,1.0,0.311377245508982,7592,805,0,182
Q93.000,0.004248355515301228,0.9144422426856277,0.06875,0.24175824175824176,0.1070559610705596,,7801,596,138,44,0.9305280335703462,0.23393316195372751,1.0,0.3791666666666667,7801,596,0,182
Q94.000,0.004939558915793896,0.9375218556941368,0.08644859813084112,0.2032967032967033,0.12131147540983608,,8006,391,145,37,0.9544235924932976,0.31762652705061084,1.0,0.4821192052980133,8006,391,0,182
Q95.000,0.006794807384721935,0.953374519174729,0.11888111888111888,0.18681318681318682,0.1452991452991453,,8145,252,148,34,0.9706259470800792,0.41935483870967744,1.0,0.5909090909090909,8145,252,0,182
Q96.000,0.07782046496868134,0.9653805804872363,0.11409395973154363,0.09340659340659341,0.1027190332326284,,8265,132,165,17,0.9846135913276606,0.5796178343949044,1.0,0.7338709677419354,8265,132,0,182
Q97.000,0.31192553788423605,0.9681781093367525,0.09009009009009009,0.054945054945054944,0.06825938566552901,,8296,101,172,10,0.988227066091619,0.6431095406360424,1.0,0.7827956989247311,8296,101,0,182
Q98.000,0.9705120325088551,0.9733069122275323,0.14925373134328357,0.054945054945054944,0.08032128514056225,,8340,57,172,10,0.9933558689823989,0.7615062761506276,1.0,0.8646080760095012,8340,57,0,182
Q99.000,8.993314027787543,0.9769203869914909,0.2777777777777778,0.054945054945054944,0.09174311926605504,,8371,26,172,10,0.9969693437463574,0.875,1.0,0.9333333333333333,8371,26,0,182
Q100.000,46.90579605102539,0.9786688425224385,0.4,0.01098901098901099,0.021390374331550804,,8394,3,180,2,0.9996503088938105,0.9837837837837838,1.0,0.9918256130790191,8394,3,0,182
Q_off_f1_best,15.779011726379395,0.9780860240121226,0.38461538461538464,0.054945054945054944,0.09615384615384616,0.6001338782689265,8381,16,172,10,0.9981349807669891,0.9191919191919192,1.0,0.9578947368421054,8381,16,0,182
