,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0033717744518071413,0.9505769903252127,0.12883435582822086,0.23076923076923078,0.16535433070866143,0.6025863501747746,8113,284,140,42,0.9668959086140576,0.3905579399141631,1.0,0.5617283950617283,8113,284,0,182
Q91.000,0.0034574323799461126,0.9510432451334654,0.13043478260869565,0.23076923076923078,0.16666666666666669,0.6027342313515947,8117,280,140,42,0.9673621634223103,0.3939393939393939,1.0,0.5652173913043478,8117,280,0,182
Q92.000,0.0037857352290302515,0.953374519174729,0.13666666666666666,0.22527472527472528,0.1701244813278008,0.6027289966196718,8138,259,141,41,0.969810001165637,0.4126984126984127,1.0,0.5842696629213483,8138,259,0,182
Q93.000,0.004248355515301228,0.955356102109803,0.14487632508833923,0.22527472527472528,0.1763440860215054,0.6027813439389003,8155,242,141,41,0.9717915841007111,0.42924528301886794,1.0,0.6006600660066006,8155,242,0,182
Q94.000,0.004939558915793896,0.9575708124490033,0.15267175572519084,0.21978021978021978,0.18018018018018017,0.6029946592647557,8175,222,142,40,0.9741228581419746,0.4504950495049505,1.0,0.621160409556314,8175,222,0,182
Q95.000,0.006794807384721935,0.9590861405758246,0.15510204081632653,0.2087912087912088,0.17798594847775173,0.6029095948710096,8190,207,144,38,0.9758713136729222,0.46786632390745503,1.0,0.6374781085814362,8190,207,0,182
Q96.000,0.07782046496868134,0.9656137078913626,0.12582781456953643,0.1043956043956044,0.11411411411411412,0.5994356958987184,8265,132,163,19,0.9846135913276606,0.5796178343949044,1.0,0.7338709677419354,8265,132,0,182
Q97.000,0.31192553788423605,0.9679449819326261,0.08849557522123894,0.054945054945054944,0.06779661016949153,0.5822854054365308,8294,103,172,10,0.9879939386874927,0.6385964912280702,1.0,0.7794432548179872,8294,103,0,182
Q98.000,0.9705120325088551,0.9741228581419746,0.16666666666666666,0.054945054945054944,0.08264462809917354,0.6009792874744643,8347,50,172,10,0.9941718148968411,0.7844827586206896,1.0,0.8792270531400966,8347,50,0,182
Q99.000,8.993314027787543,0.9769203869914909,0.2777777777777778,0.054945054945054944,0.09174311926605504,0.614624924914314,8371,26,172,10,0.9969693437463574,0.875,1.0,0.9333333333333333,8371,26,0,182
Q100.000,46.90579605102539,0.9785522788203753,0.3333333333333333,0.01098901098901099,0.02127659574468085,0.5454283123093413,8393,4,180,2,0.9995337451917473,0.978494623655914,1.0,0.9891304347826088,8393,4,0,182
Q_off_f1_best,15.779011726379395,0.9779694603100595,0.37037037037037035,0.054945054945054944,0.09569377990430622,0.609179495031585,8380,17,172,10,0.998018417064926,0.914572864321608,1.0,0.9553805774278215,8380,17,0,182
