,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0033717744518071413,0.8250378832031705,0.03848845346396081,0.3021978021978022,0.06828057107386717,0.6256427269289005,7023,1374,127,55,0.8398414733651941,0.11696658097686376,1.0,0.20943613348676637,7023,1374,0,182
Q91.000,0.0034574323799461126,0.8267863387341182,0.038896746817538894,0.3021978021978022,0.06892230576441102,0.6256427269289005,7038,1359,127,55,0.8415899288961417,0.11810512654120701,1.0,0.21125943122460825,7038,1359,0,182
Q92.000,0.0037857352290302515,0.8337801608579088,0.03994082840236687,0.2967032967032967,0.07040417209908736,0.6256427269289005,7099,1298,128,54,0.8487003147219956,0.12297297297297298,1.0,0.2190132370637786,7099,1298,0,182
Q93.000,0.004248355515301228,0.8420561837043945,0.04215456674473068,0.2967032967032967,0.07382091592617908,0.6256427269289005,7170,1227,128,54,0.8569763375684811,0.12916962384669978,1.0,0.22878692646134507,7170,1227,0,182
Q94.000,0.004939558915793896,0.8500990791467538,0.043801652892561986,0.29120879120879123,0.07614942528735633,0.6256427269289005,7240,1157,129,53,0.8651357967129036,0.13592233009708737,1.0,0.23931623931623933,7240,1157,0,182
Q95.000,0.006794807384721935,0.8665345611376617,0.047036688617121354,0.27472527472527475,0.08032128514056225,0.6256427269289005,7384,1013,132,50,0.8819209698100011,0.15230125523012553,1.0,0.2643427741466957,7384,1013,0,182
Q96.000,0.07782046496868134,0.9583867583634457,0.14285714285714285,0.19230769230769232,0.16393442622950818,0.6256427269289005,8187,210,147,35,0.9755216225667327,0.4642857142857143,1.0,0.6341463414634146,8187,210,0,182
Q97.000,0.31192553788423605,0.9689940552511948,0.18181818181818182,0.13186813186813187,0.15286624203821655,0.6256427269289005,8289,108,158,24,0.9874111201771768,0.6275862068965518,1.0,0.771186440677966,8289,108,0,182
Q98.000,0.9705120325088551,0.9727240937172165,0.1388888888888889,0.054945054945054944,0.07874015748031496,0.6256427269289005,8335,62,172,10,0.992773050472083,0.7459016393442623,1.0,0.8544600938967136,8335,62,0,182
Q99.000,8.993314027787543,0.9769203869914909,0.2777777777777778,0.054945054945054944,0.09174311926605504,0.6256427269289005,8371,26,172,10,0.9969693437463574,0.875,1.0,0.9333333333333333,8371,26,0,182
Q100.000,46.90579605102539,0.9782025877141858,0.2222222222222222,0.01098901098901099,0.020942408376963352,0.6256427269289005,8390,7,180,2,0.9991840540855578,0.9629629629629629,1.0,0.9811320754716981,8390,7,0,182
Q_off_f1_best,15.779011726379395,0.9778528966079962,0.35714285714285715,0.054945054945054944,0.09523809523809525,0.6256427269289005,8379,18,172,10,0.9979018533628629,0.91,1.0,0.9528795811518325,8379,18,0,182
