,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0033717744518071413,0.9487119710922018,0.0425531914893617,0.06593406593406594,0.05172413793103448,,8127,270,170,12,0.9685278004429421,0.4026548672566372,1.0,0.5741324921135647,8127,270,0,182
Q91.000,0.0034574323799461126,0.95011073551696,0.044444444444444446,0.06593406593406594,0.05309734513274336,,8139,258,170,12,0.9699265648677002,0.41363636363636364,1.0,0.5852090032154341,8139,258,0,182
Q92.000,0.0037857352290302515,0.9544235924932976,0.05150214592274678,0.06593406593406594,0.05783132530120482,,8176,221,170,12,0.9742394218440378,0.45161290322580644,1.0,0.6222222222222222,8176,221,0,182
Q93.000,0.004248355515301228,0.9561720480242453,0.05504587155963303,0.06593406593406594,0.060000000000000005,,8191,206,170,12,0.9759878773749854,0.4690721649484536,1.0,0.6385964912280702,8191,206,0,182
Q94.000,0.004939558915793896,0.9597855227882037,0.06417112299465241,0.06593406593406594,0.06504065040650406,,8222,175,170,12,0.979601352138944,0.5098039215686274,1.0,0.6753246753246753,8222,175,0,182
Q95.000,0.006794807384721935,0.965846835295489,0.07633587786259542,0.054945054945054944,0.06389776357827477,,8276,121,172,10,0.9858957920503555,0.6006600660066007,1.0,0.7505154639175259,8276,121,0,182
Q96.000,0.07782046496868134,0.9688774915491316,0.09523809523809523,0.054945054945054944,0.06968641114982578,,8302,95,172,10,0.9889264483039981,0.6570397111913358,1.0,0.7930283224400871,8302,95,0,182
Q97.000,0.31192553788423605,0.9717915841007111,0.125,0.054945054945054944,0.07633587786259542,,8327,70,172,10,0.9918405408555776,0.7222222222222222,1.0,0.8387096774193548,8327,70,0,182
Q98.000,0.9705120325088551,0.9745891129502273,0.17857142857142858,0.054945054945054944,0.08403361344537814,,8351,46,172,10,0.9946380697050938,0.7982456140350878,1.0,0.8878048780487805,8351,46,0,182
Q99.000,8.993314027787543,0.9769203869914909,0.2777777777777778,0.054945054945054944,0.09174311926605504,,8371,26,172,10,0.9969693437463574,0.875,1.0,0.9333333333333333,8371,26,0,182
Q100.000,46.90579605102539,0.9784357151183122,0.2857142857142857,0.01098901098901099,0.021164021164021166,,8392,5,180,2,0.9994171814896841,0.9732620320855615,1.0,0.986449864498645,8392,5,0,182
Q_off_f1_best,15.779011726379395,0.9779694603100595,0.37037037037037035,0.054945054945054944,0.09569377990430622,0.5231682691489765,8380,17,172,10,0.998018417064926,0.914572864321608,1.0,0.9553805774278215,8380,17,0,182
