,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0033717744518071413,0.9431169133931694,0.041916167664670656,0.07692307692307693,0.05426356589147287,0.5247465408237113,8077,320,168,14,0.9626996153397832,0.36254980079681276,1.0,0.5321637426900584,8077,320,0,182
Q91.000,0.0034574323799461126,0.9446322415199907,0.04361370716510903,0.07692307692307693,0.05566600397614314,0.5244920019839634,8090,307,168,14,0.9642149434666045,0.3721881390593047,1.0,0.5424739195230999,8090,307,0,182
Q92.000,0.0037857352290302515,0.9491782259004546,0.04642857142857143,0.07142857142857142,0.05627705627705627,0.5264164203070956,8130,267,169,13,0.9688774915491316,0.4053452115812918,1.0,0.5768621236133122,8130,267,0,182
Q93.000,0.004248355515301228,0.954656719897424,0.05194805194805195,0.06593406593406594,0.05811138014527845,0.5259930613628363,8178,219,170,12,0.9744725492481642,0.4538653366583541,1.0,0.6243567753001715,8178,219,0,182
Q94.000,0.004939558915793896,0.9607180324047092,0.062146892655367235,0.06043956043956044,0.061281337047353765,0.5225518794650628,8231,166,171,11,0.9806504254575126,0.5229885057471264,1.0,0.6867924528301886,8231,166,0,182
Q95.000,0.006794807384721935,0.965846835295489,0.07633587786259542,0.054945054945054944,0.06389776357827477,0.5246797979916951,8276,121,172,10,0.9858957920503555,0.6006600660066007,1.0,0.7505154639175259,8276,121,0,182
Q96.000,0.07782046496868134,0.9693437463573843,0.09900990099009901,0.054945054945054944,0.0706713780918728,0.5238062521020721,8306,91,172,10,0.9893927031122508,0.6666666666666666,1.0,0.8,8306,91,0,182
Q97.000,0.31192553788423605,0.9726075300151533,0.136986301369863,0.054945054945054944,0.0784313725490196,0.5129782091196882,8334,63,172,10,0.9926564867700198,0.7428571428571429,1.0,0.8524590163934427,8334,63,0,182
Q98.000,0.9705120325088551,0.9734234759295955,0.15151515151515152,0.054945054945054944,0.08064516129032259,0.5097300579615692,8341,56,172,10,0.9934724326844621,0.7647058823529411,1.0,0.8666666666666666,8341,56,0,182
Q99.000,8.993314027787543,0.9743559855461009,0.1724137931034483,0.054945054945054944,0.08333333333333333,0.42684658440285456,8349,48,172,10,0.9944049423009674,0.7913043478260869,1.0,0.883495145631068,8349,48,0,182
Q100.000,46.90579605102539,0.03974822240354354,0.02161520190023753,1.0,0.042315740525459195,0.4928015892646117,159,8238,0,182,0.03974822240354354,0.02161520190023753,1.0,0.042315740525459195,159,8238,0,182
Q_off_f1_best,15.779011726379395,0.9757547499708591,0.21739130434782608,0.054945054945054944,0.08771929824561403,0.49086310259943694,8361,36,172,10,0.9958037067257256,0.8348623853211009,1.0,0.9099999999999999,8361,36,0,182
