,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.14588890969753265,0.8901168431265027,0.1593783881460065,0.6125,0.25293948953254947,20661,2326,279,441,0.9017589741426583,0.2356227407163983,0.9958333333333333,0.38107892638851987,20661,2326,3,717
Q91.000,0.15155967101454734,0.899059349559202,0.16871287128712872,0.5916666666666667,0.26255778120184897,20888,2099,294,426,0.911334205087105,0.2546164772727273,0.9958333333333333,0.4055429864253394,20888,2099,3,717
Q92.000,0.15796420276165013,0.906820770236639,0.17895644674428632,0.5763888888888888,0.2731161566304705,21083,1904,305,415,0.9195596237398237,0.27355971003433804,0.9958333333333333,0.4292128105357677,21083,1904,3,717
Q93.000,0.1653121367096901,0.9161007297422702,0.19480519480519481,0.5625,0.28938906752411575,21313,1674,315,405,0.92926139958662,0.2998745294855709,0.9958333333333333,0.4609450337512054,21313,1674,3,717
Q94.000,0.17289449274539953,0.9244948749314549,0.21267454350161116,0.55,0.3067389620449264,21521,1466,324,396,0.9380351794828532,0.32844709115895554,0.9958333333333333,0.4939717533585946,21521,1466,3,717
Q95.000,0.18309257552027702,0.9337748344370861,0.2373300370828183,0.5333333333333333,0.32848588537211293,21753,1234,336,384,0.9478213185978824,0.3675038441824705,0.9958333333333333,0.5368775739423436,21753,1234,3,717
Q96.000,0.19629001915454916,0.9421689796262708,0.265658747300216,0.5125,0.34992887624466573,21967,1020,351,369,0.9568481882988147,0.41278065630397237,0.9958333333333333,0.5836385836385837,21967,1020,3,717
Q97.000,0.21535015851259257,0.9508583962542709,0.30668983492615115,0.49027777777777776,0.3773383217530732,22189,798,367,353,0.9662125110726789,0.47326732673267324,0.9958333333333333,0.6416107382550335,22189,798,3,717
Q98.000,0.24809849411249163,0.9610663517104653,0.37988165680473374,0.44583333333333336,0.41022364217252394,22463,524,399,321,0.9777702788206015,0.5777598710717163,0.9958333333333333,0.7312595614482408,22463,524,3,717
Q99.000,0.38364496529102415,0.9708524908254946,0.532150776053215,0.3333333333333333,0.40990606319385137,22776,211,480,240,0.9909731302990678,0.7726293103448276,0.9958333333333333,0.8701456310679613,22776,211,3,717
Q100.000,356.7481384277344,0.9704306744843295,0.7021276595744681,0.04583333333333333,0.08604954367666232,22973,14,687,33,0.970979035727844,0.7666666666666667,0.06388888888888888,0.11794871794871793,22973,14,674,46
Q_off_f1_best,0.8220261931419373,0.9728772092630869,0.6287625418060201,0.2611111111111111,0.36898920510304223,22876,111,532,188,0.9951912937107183,0.8659420289855072,0.9958333333333333,0.9263565891472869,22876,111,3,717
