,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.17451332956552507,0.24219409282700421,0.0373550880206097,0.9666666666666667,0.07193054981397272,5044,17936,24,696,0.24320675105485232,0.038593481989708404,1.0,0.07431874483897605,5044,17936,0,720
Q91.000,0.18041521474719047,0.2490717299578059,0.03763469973466183,0.9652777777777778,0.07244488455725231,5208,17772,25,695,0.250126582278481,0.03893575600259572,1.0,0.07495315427857588,5208,17772,0,720
Q92.000,0.18776043593883524,0.2572995780590717,0.038036339754816115,0.9652777777777778,0.07318871103622579,5403,17577,25,695,0.2583544303797468,0.039350713231677326,1.0,0.07572172266919074,5403,17577,0,720
Q93.000,0.19557956889271735,0.26552742616033753,0.03824229343073773,0.9597222222222223,0.07355367502261961,5602,17378,29,691,0.2667510548523207,0.03978340148082661,1.0,0.07652247847805292,5602,17378,0,720
Q94.000,0.20497865855693823,0.27362869198312234,0.038446471542895516,0.9541666666666667,0.07391468072516004,5798,17182,33,687,0.2750210970464135,0.0402189699474919,1.0,0.07732789174095155,5798,17182,0,720
Q95.000,0.21734516546130184,0.28379746835443037,0.03886745347253745,0.9513888888888888,0.07468382032272132,6041,16939,35,685,0.28527426160337555,0.04077241066878079,1.0,0.07835029109309538,6041,16939,0,720
Q96.000,0.23339778780937198,0.2958649789029536,0.039242843951985226,0.9444444444444444,0.07535460992907803,6332,16648,40,680,0.29755274261603376,0.041455550437586364,1.0,0.07961079168509508,6332,16648,0,720
Q97.000,0.2561446365714076,0.3123206751054852,0.039820394659104336,0.9361111111111111,0.07639125014167517,6728,16252,46,674,0.31426160337552744,0.0424228140466651,1.0,0.0813927198733891,6728,16252,0,720
Q98.000,0.29989338040351876,0.33658227848101263,0.04099614513859145,0.9305555555555556,0.0785324972161988,7307,15673,50,670,0.33869198312236287,0.04392118587201854,1.0,0.08414655525039444,7307,15673,0,720
Q99.000,0.532017629742625,0.7561181434599156,0.0904823567497572,0.7763888888888889,0.16207596404755,17361,5619,161,559,0.7629113924050633,0.11358258400378608,1.0,0.2039949001274968,17361,5619,0,720
Q100.000,981.130859375,0.9707594936708861,0.7872340425531915,0.05138888888888889,0.09647979139504563,22970,10,683,37,0.9712658227848101,0.8305084745762712,0.06805555555555555,0.1258023106546855,22970,10,671,49
Qbest,0.7847718596458435,0.9332911392405063,0.24019312009656005,0.5527777777777778,0.33487589398401346,21721,1259,322,398,0.9468776371308016,0.3638201111672562,1.0,0.5335309373842163,21721,1259,0,720
