,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.17451332956552507,0.4691561181434599,0.049798830942078494,0.9111111111111111,0.09443604693010868,10463,12517,64,656,0.4718565400843882,0.054392989348039586,1.0,0.10317403453464212,10463,12517,0,720
Q91.000,0.18041521474719047,0.4920253164556962,0.05172277227722772,0.9069444444444444,0.09786436867740726,11008,11972,67,653,0.4948523206751055,0.05672864796722345,1.0,0.1073665374291679,11008,11972,0,720
Q92.000,0.18776043593883524,0.5170042194092827,0.054045065269809595,0.9027777777777778,0.10198478073272142,11603,11377,70,650,0.519957805907173,0.059518888980739024,1.0,0.11235078411484747,11603,11377,0,720
Q93.000,0.19557956889271735,0.5432911392405063,0.05645302897278314,0.8930555555555556,0.10619322873658134,12233,10747,77,643,0.5465400843881857,0.06278887241649952,1.0,0.11815869368999754,12233,10747,0,720
Q94.000,0.20497865855693823,0.5717299578059072,0.05959275172800299,0.8861111111111111,0.11167512690355329,12912,10068,82,638,0.5751898734177215,0.06674082313681869,1.0,0.12513034410844628,12912,10068,0,720
Q95.000,0.21734516546130184,0.610210970464135,0.06407369498464688,0.8694444444444445,0.11935176358436606,13836,9144,94,626,0.6141772151898734,0.072992700729927,1.0,0.1360544217687075,13836,9144,0,720
Q96.000,0.23339778780937198,0.6506751054852321,0.06879634911580149,0.8375,0.1271481286241434,14818,8162,117,603,0.6556118143459916,0.08106282368835847,1.0,0.1499687565090606,14818,8162,0,720
Q97.000,0.2561446365714076,0.7036708860759494,0.07782987273945077,0.8069444444444445,0.14196701282834454,16096,6884,139,581,0.709535864978903,0.09468700683850605,1.0,0.17299375300336378,16096,6884,0,720
Q98.000,0.29989338040351876,0.7870886075949367,0.10033259423503325,0.7541666666666667,0.1771037181996086,18111,4869,177,543,0.7945569620253164,0.1288244766505636,1.0,0.2282453637660485,18111,4869,0,720
Q99.000,0.532017629742625,0.9454430379746835,0.2713487629688747,0.4722222222222222,0.34465281297516476,22067,913,380,340,0.9614767932489452,0.44090630740967546,1.0,0.6119847003824904,22067,913,0,720
Q100.000,981.130859375,0.9711814345991561,1.0,0.05138888888888889,0.09775429326287978,22980,0,683,37,0.9716877637130802,1.0,0.06805555555555555,0.12743823146944083,22980,0,671,49
Qbest,0.7847718596458435,0.95957805907173,0.3255131964809384,0.30833333333333335,0.31669044222539233,22520,460,498,222,0.980590717299578,0.6101694915254238,1.0,0.7578947368421053,22520,460,0,720
