,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.33811951279640196,0.7864860302186207,0.12191328018666148,0.5358974358974359,0.1986377316648186,,18008,4516,543,627,0.8094032244450072,0.20576855434400282,1.0,0.3413068844807468,18008,4516,0,1170
Q91.000,0.36454331755638136,0.8050561323541825,0.12632719393282774,0.4982905982905983,0.20155574762316336,,18492,4032,587,583,0.8298303367941251,0.22491349480968859,1.0,0.36723163841807904,18492,4032,0,1170
Q92.000,0.3991647076606749,0.8222756816071579,0.12723706790880118,0.44358974358974357,0.1977519527529053,,18964,3560,651,519,0.8497509918122732,0.24735729386892177,1.0,0.39661016949152544,18964,3560,0,1170
Q93.000,0.44305578470230117,0.8392842069722293,0.1282412626832018,0.3888888888888889,0.19287833827893172,,19431,3093,715,455,0.8694606229425171,0.2744546094299789,1.0,0.43070127001656544,19431,3093,0,1170
Q94.000,0.4959391784667968,0.854773360344391,0.13335485954149176,0.352991452991453,0.19357862666979142,,19840,2684,757,413,0.8867223769730733,0.3035806953814219,1.0,0.46576433121019106,19840,2684,0,1170
Q95.000,0.5657924652099615,0.870684561492361,0.13937547600913938,0.3128205128205128,0.1928345626975764,,20264,2260,804,366,0.9046172026673419,0.34110787172011664,1.0,0.5086956521739131,20264,2260,0,1170
Q96.000,0.6883397555351294,0.8917447455051912,0.15925744992672203,0.27863247863247864,0.20267329810382345,,20803,1721,844,326,0.9273655777834051,0.4047042545831892,1.0,0.5762127554789461,20803,1721,0,1170
Q97.000,0.8614130663871766,0.9100194141976872,0.19206145966709348,0.2564102564102564,0.21961932650073207,,21262,1262,870,300,0.9467375706930025,0.4810855263157895,1.0,0.6496390893947808,21262,1262,0,1170
Q98.000,1.1362265014648476,0.9266903013421119,0.23725671918443003,0.2188034188034188,0.22765673632725655,,21701,823,914,256,0.9652654680509833,0.5870546914199699,1.0,0.7398039835599115,21701,823,0,1170
Q99.000,1.8816189002991015,0.9436566219296024,0.3446327683615819,0.1564102564102564,0.21516754850088185,,22176,348,987,183,0.9853127374018739,0.7707509881422925,1.0,0.8705357142857143,22176,348,0,1170
Q100.000,353.0625305175781,0.9510424580062463,1.0,0.008547008547008548,0.016949152542372885,,22524,0,1160,10,0.9697813792521314,1.0,0.38803418803418804,0.5591133004926109,22524,0,716,454
Q_off_f1_best,1.5761198997497559,0.9395627585042626,0.30791788856304986,0.1794871794871795,0.22678185745140392,0.751030885194444,22052,472,960,210,0.9800793449818519,0.7125456760048721,1.0,0.8321479374110953,22052,472,0,1170
