,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.33811951279640196,0.8017219549252975,0.11059602649006622,0.4282051282051282,0.17578947368421052,0.6992100923307636,18495,4029,669,501,0.8299569511268675,0.22504327755337564,1.0,0.36740461610927927,18495,4029,0,1170
Q91.000,0.36454331755638136,0.8132860639824429,0.11206485455412495,0.4017094017094017,0.17524235645041014,0.6973217172338111,18800,3724,700,470,0.8428294082890183,0.23906824683285655,1.0,0.38588390501319264,18800,3724,0,1170
Q92.000,0.3991647076606749,0.8259474972566895,0.11476264997391758,0.37606837606837606,0.17585931254996004,0.6986189090611041,19130,3394,730,440,0.8567569848906896,0.2563540753724803,1.0,0.4080920823160098,19130,3394,0,1170
Q93.000,0.44305578470230117,0.8417320840719169,0.12236533957845433,0.3572649572649573,0.18229393807239425,0.6986513530866221,19526,2998,752,418,0.8734700768126952,0.2807101727447217,1.0,0.43836642937429754,19526,2998,0,1170
Q94.000,0.4959391784667968,0.8576010804423061,0.12745098039215685,0.32222222222222224,0.1826550387596899,0.6946052036422309,19943,2581,793,377,0.8910694690638981,0.3119168221807518,1.0,0.47551310709205447,19943,2581,0,1170
Q95.000,0.5657924652099615,0.8737233054781801,0.1384920634920635,0.2982905982905983,0.189159891598916,0.6964054675961975,20353,2171,821,349,0.9083734278720351,0.35019455252918286,1.0,0.5187319884726224,20353,2171,0,1170
Q96.000,0.6883397555351294,0.8943614417152022,0.16115912557193696,0.2709401709401709,0.20210392094357668,0.6911316058692192,20874,1650,853,317,0.9303621169916435,0.4148936170212766,1.0,0.5864661654135339,20874,1650,0,1170
Q97.000,0.8614130663871766,0.9137334346247995,0.1986206896551724,0.24615384615384617,0.21984732824427478,0.6938436607789298,21362,1162,882,288,0.9509580484510847,0.5017152658662093,1.0,0.6681896059394632,21362,1162,0,1170
Q98.000,1.1362265014648476,0.9312484173208407,0.2576557550158395,0.20854700854700856,0.2305148795465281,0.7068972962553144,21821,703,926,244,0.970330041360682,0.6246663107314468,1.0,0.7689779822543543,21821,703,0,1170
Q99.000,1.8816189002991015,0.9467375706930025,0.4025423728813559,0.1623931623931624,0.23142509135200973,0.7132077540841526,22242,282,980,190,0.9880982527222082,0.8057851239669421,1.0,0.8924485125858123,22242,282,0,1170
Q100.000,353.0625305175781,0.9567823077572382,0.6188925081433225,0.3247863247863248,0.4260089686098655,0.8422482305673568,22290,234,790,380,0.9607917616274162,0.6699576868829337,0.405982905982906,0.5055880787653007,22290,234,695,475
Q_off_f1_best,1.5761198997497559,0.9432345741537942,0.3504273504273504,0.1752136752136752,0.2336182336182336,0.7122643159736926,22144,380,965,205,0.9839621845192876,0.7548387096774194,1.0,0.8602941176470589,22144,380,0,1170
