,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.33811951279640196,0.7836583101207056,0.14270231213872833,0.6752136752136753,0.23560990158067405,0.8074617653799859,17778,4746,380,790,0.7996961256014181,0.19776876267748478,1.0,0.3302286198137172,17778,4746,0,1170
Q91.000,0.36454331755638136,0.7999071494893222,0.14789982252021297,0.6410256410256411,0.24034609838166962,0.8074617653799859,18203,4321,420,750,0.8176331560732675,0.21307594245128392,1.0,0.35129860381324124,18203,4321,0,1170
Q92.000,0.3991647076606749,0.816324807968262,0.15231643356643357,0.5957264957264957,0.24260355029585798,0.8074617653799859,18645,3879,473,697,0.8362876677639909,0.23172905525846701,1.0,0.37626628075253254,18645,3879,0,1170
Q93.000,0.44305578470230117,0.8355279817675361,0.16039850560398505,0.5504273504273505,0.24840887174541948,0.8074617653799859,19153,3371,526,644,0.8577276947750485,0.25765249944946045,1.0,0.409735597968832,19153,3371,0,1170
Q94.000,0.4959391784667968,0.8505528825863088,0.16311452117078715,0.4905982905982906,0.24482832160375345,0.8074617653799859,19579,2945,596,574,0.8757069300244787,0.284325637910085,1.0,0.44276253547776717,19579,2945,0,1170
Q95.000,0.5657924652099615,0.8662530598463746,0.16538332775359893,0.4222222222222222,0.23767139764253065,0.8074617653799859,20031,2493,676,494,0.8947834894910104,0.3194103194103194,1.0,0.4841713221601489,20031,2493,0,1170
Q96.000,0.6883397555351294,0.8879041107453364,0.18029259896729777,0.3581196581196581,0.23983972524327418,0.8074617653799859,20619,1905,751,419,0.9195998987085338,0.3804878048780488,1.0,0.5512367491166078,20619,1905,0,1170
Q97.000,0.8614130663871766,0.9058411412171857,0.20011305822498587,0.30256410256410254,0.24089826471588974,0.8074617653799859,21109,1415,816,354,0.9402802397231367,0.4526112185686654,1.0,0.6231691078561917,21109,1415,0,1170
Q98.000,1.1362265014648476,0.9251709293492023,0.2514427040395713,0.2606837606837607,0.2559798573227025,0.8074617653799859,21616,908,865,305,0.9616780619566135,0.563041385948027,1.0,0.7204433497536946,21616,908,0,1170
Q99.000,1.8816189002991015,0.9433189837089558,0.36334913112164297,0.19658119658119658,0.2551303383250138,0.8074617653799859,22121,403,940,230,0.9829914746349286,0.743801652892562,1.0,0.8530805687203791,22121,403,0,1170
Q100.000,353.0625305175781,0.950873638895923,1.0,0.005128205128205128,0.010204081632653062,0.8074617653799859,22524,0,1164,6,0.9692749219211615,1.0,0.37777777777777777,0.5483870967741935,22524,0,728,442
Q_off_f1_best,1.5761198997497559,0.9392251202836162,0.3269230769230769,0.21794871794871795,0.2615384615384615,0.8074617653799859,21999,525,915,255,0.9778424917700683,0.6902654867256637,1.0,0.8167539267015707,21999,525,0,1170
