,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.33811951279640196,0.7568160715793028,0.09986057859881492,0.4897435897435897,0.16589461493920094,,17359,5165,597,573,0.7820123237950536,0.18468823993685873,1.0,0.31179213857428384,17359,5165,0,1170
Q91.000,0.36454331755638136,0.7735291635013084,0.10370230449565546,0.46923076923076923,0.1698638613861386,,17779,4745,621,549,0.7997383303789989,0.1978021978021978,1.0,0.3302752293577982,17779,4745,0,1170
Q92.000,0.3991647076606749,0.7930277707436482,0.10628426824124843,0.4307692307692308,0.1705006765899865,,18286,4238,666,504,0.8211361526124757,0.21634615384615385,1.0,0.35573122529644274,18286,4238,0,1170
Q93.000,0.44305578470230117,0.8117244872119523,0.11108484991727724,0.4017094017094017,0.17404184410294388,,18763,3761,700,470,0.8412678315185279,0.23727438653417157,1.0,0.38354368136371086,18763,3761,0,1170
Q94.000,0.4959391784667968,0.8293238794631552,0.11495176848874598,0.36666666666666664,0.17503059975520197,,19221,3303,741,429,0.8605976196505445,0.26156941649899396,1.0,0.41467304625199364,19221,3303,0,1170
Q95.000,0.5657924652099615,0.8468810669367772,0.1195046439628483,0.3299145299145299,0.17545454545454545,,19680,2844,784,386,0.8799696125601418,0.2914798206278027,1.0,0.4513888888888889,19680,2844,0,1170
Q96.000,0.6883397555351294,0.8678990461720266,0.12962962962962962,0.2931623931623932,0.17976939203354297,,20221,2303,827,343,0.9028023972313666,0.3368845378635186,1.0,0.5039844927848374,20221,2303,0,1170
Q97.000,0.8614130663871766,0.8892124588503418,0.14872042491549975,0.26324786324786326,0.19006479481641467,,20761,1763,862,308,0.9255929771250105,0.39890896692806,1.0,0.570314404094565,20761,1763,0,1170
Q98.000,1.1362265014648476,0.9128049295180214,0.18802228412256267,0.23076923076923078,0.20721412125863395,,21358,1166,900,270,0.9507892293407614,0.5008561643835616,1.0,0.6674272675413576,21358,1166,0,1170
Q99.000,1.8816189002991015,0.9398581919473284,0.2985781990521327,0.16153846153846155,0.20965058236272882,,22080,444,981,189,0.981261078754115,0.724907063197026,1.0,0.8405172413793104,22080,444,0,1170
Q100.000,353.0625305175781,0.9510424580062463,1.0,0.008547008547008548,0.016949152542372885,,22524,0,1160,10,0.9697813792521314,1.0,0.38803418803418804,0.5591133004926109,22524,0,716,454
Q_off_f1_best,1.5761198997497559,0.933316451422301,0.2638248847926267,0.19572649572649573,0.22473012757605496,0.6775861493229633,21885,639,941,229,0.9730311471258547,0.6467661691542289,1.0,0.785498489425982,21885,639,0,1170
