,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.33811951279640196,0.7925635181902592,0.10353588820664832,0.41794871794871796,0.16595961310028848,0.6607398831559728,18290,4234,681,489,0.821304971722799,0.21650629163582533,1.0,0.3559476726498327,18290,4234,0,1170
Q91.000,0.36454331755638136,0.8056047944627331,0.10668498168498168,0.39829059829059826,0.168291802094619,0.6604056148275648,18622,3902,704,466,0.835316957879632,0.2306782334384858,1.0,0.37487984620314,18622,3902,0,1170
Q92.000,0.3991647076606749,0.8181396134042374,0.10654299323138632,0.36324786324786323,0.16476061252180654,0.6615639614041319,18960,3564,745,425,0.8495821727019499,0.24714828897338403,1.0,0.39634146341463417,18960,3564,0,1170
Q93.000,0.44305578470230117,0.8360344390985059,0.1200671704450042,0.36666666666666664,0.18089816571790007,0.6724950556064035,19380,3144,741,429,0.8673081792858952,0.2712100139082058,1.0,0.4266958424507658,19380,3144,0,1170
Q94.000,0.4959391784667968,0.8507639064742128,0.11961414790996784,0.31794871794871793,0.17383177570093458,0.6625062990739603,19786,2738,798,372,0.884443318983709,0.2993858751279427,1.0,0.4608113430484443,19786,2738,0,1170
Q95.000,0.5657924652099615,0.8719507048197856,0.13650546021840873,0.29914529914529914,0.18746652383502946,0.6692108284875999,20310,2214,820,350,0.9065586224360598,0.34574468085106386,1.0,0.5138339920948617,20310,2214,0,1170
Q96.000,0.6883397555351294,0.8919979741706762,0.15533498759305212,0.2675213675213675,0.1965463108320251,0.6727054674444126,20822,1702,857,313,0.9281674685574407,0.4073816155988858,1.0,0.5789213260761998,20822,1702,0,1170
Q97.000,0.8614130663871766,0.9138178441799611,0.20136986301369864,0.2512820512820513,0.22357414448669202,0.6748674348501199,21358,1166,876,294,0.9507892293407614,0.5008561643835616,1.0,0.6674272675413576,21358,1166,0,1170
Q98.000,1.1362265014648476,0.9312484173208407,0.2513542795232936,0.19829059829059828,0.22169135212613475,0.6794026922090322,21833,691,938,232,0.9708364986916519,0.6286942504030091,1.0,0.7720224348399868,21833,691,0,1170
Q99.000,1.8816189002991015,0.9469063898033258,0.4043478260869565,0.15897435897435896,0.22822085889570548,0.6925594086156153,22250,274,984,186,0.9884358909428548,0.8102493074792244,1.0,0.8951798010711552,22250,274,0,1170
Q100.000,353.0625305175781,0.9510424580062463,1.0,0.008547008547008548,0.016949152542372885,0.7605929933047674,22524,0,1160,10,0.9706676795813286,1.0,0.405982905982906,0.5775075987841946,22524,0,695,475
Q_off_f1_best,1.5761198997497559,0.9433611884865367,0.35570469798657717,0.1811965811965812,0.24009060022650056,0.6807307912395818,22140,384,958,212,0.9837933654089643,0.752895752895753,1.0,0.8590308370044053,22140,384,0,1170
