,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.28878799527883614,0.41187635996701627,0.1593616193071234,0.9000439689286238,0.2707791348824904,,136183,259152,5456,49128,0.41575261324816243,0.16409052202410135,0.9319947237285652,0.2790503773916096,136183,259152,3712,50872
Q99.100,0.3265721102058888,0.4191376670022826,0.16099296594467855,0.8994210757731204,0.27310175257072444,,139484,255851,5490,49094,0.42308948944143276,0.16585648940575046,0.9319947237285652,0.2815998582922556,139484,255851,3712,50872
Q99.200,0.3772121183872224,0.43107759396691403,0.16383279193138606,0.8990363476476623,0.27715855018849805,,144877,250458,5511,49073,0.43412258651001623,0.16763985496891004,0.9241352777370658,0.2837981912035669,144877,250458,4141,50443
Q99.300,0.3986077284514904,0.43602959643847006,0.16504929480344308,0.8989447457130295,0.2788929086015852,,147110,248225,5516,49068,0.43908570209304343,0.1688932192266999,0.9241352777370658,0.28559215517534225,147110,248225,4141,50443
Q99.400,0.4412522242665292,0.44475561156563737,0.16724673350218336,0.8988531437783966,0.2820190779471232,,151041,244294,5521,49063,0.4478228303316819,0.17114580117189224,0.9241352777370658,0.2888059979216824,151041,244294,4141,50443
Q99.500,0.4652181577682497,0.44875855431755496,0.16826164505728203,0.898706580682984,0.28345332886479985,,152850,242485,5529,49055,0.45184355406195337,0.17220272558444397,0.9241352777370658,0.29030939938764705,152850,242485,4141,50443
Q99.600,0.5371933808326722,0.4581424656438159,0.17070207803961154,0.898450095266012,0.28689517190543884,,157086,238249,5543,49041,0.4612585821003336,0.17472946946919207,0.9241352777370658,0.29389179552313593,157086,238249,4141,50443
Q99.700,0.695827704429627,0.46853767011395386,0.17319632907940083,0.8958302799355122,0.2902725052016705,,161906,233429,5686,48898,0.4711203572198551,0.17658533488071848,0.9171185695441888,0.29614905656470647,161906,233429,4524,50060
Q99.800,1.2076626536846164,0.5168419204345671,0.1793901247794303,0.8344020225707167,0.295294224435281,,186992,208343,9039,45545,0.5268770600930389,0.19372840098605668,0.9171185695441888,0.3198854904516801,186992,208343,4524,50060
Q99.900,1.7993713855743425,0.6822716977944919,0.2462701994969507,0.7856697933460355,0.37499672091010045,,264082,131253,11699,42885,0.6948917471811593,0.2700705165280064,0.8896929503151106,0.4143600682593857,264082,131253,6021,48563
Q100.000,18.428876876831055,0.8786537132239358,0.38,0.0003480873516048659,0.0006955375773327965,,395304,31,54565,19,0.880213994074489,0.9587765957446809,0.013208998974058332,0.026058985109151365,395304,31,53863,721
Q_off_f1_best,6.95352029800415,0.953456066536421,0.9921877285894022,0.6212443206800528,0.7640743119162695,0.8425840993183027,395068,267,20674,33910,0.964513612450241,0.9931804250102166,0.7123882456397479,0.8296705641375779,395068,267,15699,38885
