,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.012810074444860242,0.31720154072177437,0.14644004792135523,0.9584493624505349,0.25406229664235275,0.8462509161769071,90399,304936,2268,52316,0.31925524372164765,0.14864200839810596,0.9753773999706874,0.2579707335982169,90399,304936,1344,53240
Q91.000,0.0148107624705881,0.3244228405557445,0.1476825439882905,0.9575150227172798,0.2558967893557903,0.8484628654795893,93699,301636,2319,52265,0.3265898972926238,0.1500242338168825,0.9753773999706874,0.260049821716407,93699,301636,1344,53240
Q92.000,0.01748016215860845,0.3328488016731901,0.14912731886294278,0.9561043529239337,0.2580115686953083,0.8497842145644197,97567,297768,2396,52188,0.3351870003267255,0.15167745464490837,0.9753773999706874,0.26252983293556087,97567,297768,1344,53240
Q93.000,0.02173551941290498,0.3397144819400825,0.15035859400007498,0.9552249743514583,0.25981986022349296,0.8568478106627173,100704,294631,2444,52140,0.34215936646374123,0.1530452380336389,0.9753773999706874,0.26457616379471,100704,294631,1344,53240
Q94.000,0.02949615001678505,0.5353608093901346,0.1929520462442453,0.88916165909424,0.31709340842420247,0.867602011460453,192335,203000,6050,48534,0.5458204699068054,0.2077739619107087,0.9753773999706874,0.34257328906390755,192335,203000,1344,53240
Q95.000,0.04258375205099617,0.7279643669193788,0.287878977464683,0.8429942840392789,0.4291910345020567,0.8840899867617567,281511,113824,8570,46014,0.7424225249433787,0.3157271421099776,0.962168400996629,0.4754421143635681,281511,113824,2065,52519
Q96.000,0.06145336851477623,0.7934628233081955,0.35103233376590076,0.8276051590209585,0.492969504509666,0.8884071755489389,311820,83515,9410,45174,0.8097879840593529,0.38607259949718453,0.962168400996629,0.5510392512774239,311820,83515,2065,52519
Q97.000,0.09086621932685404,0.5449180852553459,0.18477685881019354,0.806316869412282,0.300655112817395,0.8388671695618863,201157,194178,10572,44012,0.5638259331124047,0.21288868531031996,0.962168400996629,0.3486379824814708,201157,194178,2065,52519
Q98.000,0.15098568320274372,0.9233728737839477,0.6805480731243041,0.6942877033562949,0.6873492336991022,0.8876115408421402,377546,17789,16687,37897,0.9556475721185369,0.7466207073368752,0.9603180419170453,0.8400926348855285,377546,17789,2166,52418
Q99.000,0.28878799527884136,0.9455679800141803,0.836381114191183,0.6854206360838341,0.7534133472955011,0.8920109593353057,388016,7319,17171,37413,0.9749888313229714,0.8737428625644741,0.9279275978308662,0.9000204348173749,388016,7319,3934,50650
Q100.000,18.428876876831055,0.949259755644905,0.997555701795619,0.5831928770335629,0.7360656685357535,0.8892446182142398,395257,78,22751,31833,0.9582991605155595,0.9978320084496081,0.6577018906639308,0.7928270135376868,395257,78,18684,35900
Q_off_f1_best,6.95352029800415,0.9507466899597483,0.9950833689610945,0.596969808002345,0.7462498568647659,0.8892905855240985,395174,161,21999,32585,0.9616908821365624,0.9957260419431909,0.687179393228785,0.813167992715763,395174,161,17075,37509
