,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.900,1.7993706235885636,0.9548163113804929,0.9876989663714798,0.6354792613219992,0.7733743576023098,394903,432,19897,34687,0.9715215405439646,0.9898674797701419,0.7731752894621134,0.8682047747868216,394903,432,12381,42203
Q99.910,1.8473922206997846,0.9548407602257295,0.9882865937072504,0.6352960574527334,0.7734186814167187,394924,411,19907,34677,0.9715682156121436,0.990355282301591,0.7731752894621134,0.8683923537521349,394924,411,12381,42203
Q99.920,1.8958708993911566,0.9548674316932604,0.9887361697273868,0.6352227759050271,0.77350198545487,394940,395,19911,34673,0.9716037775688513,0.990727264190807,0.7731752894621134,0.8685353254717952,394940,395,12381,42203
Q99.930,1.9452909237742224,0.95488299004932,0.9891009729236212,0.6351128535834677,0.7735320696618433,394953,382,19917,34667,0.9710570124844694,0.9909748145348013,0.7684303092481313,0.8656279021772778,394953,382,12640,41944
Q99.940,1.9981384906529962,0.9549074388945565,0.9895232657721953,0.6350395720357614,0.7736068025085366,394968,367,19921,34663,0.9710903518188829,0.9913261326841719,0.7684303092481313,0.8657619072191548,394968,367,12640,41944
Q99.950,2.158966286540033,0.9541539699368109,0.9903821159344944,0.62820606771215,0.7687737509388276,395002,333,20294,34290,0.9702746494368987,0.9920479510937052,0.761083834090576,0.8613518556914783,395002,333,13041,41543
Q99.960,2.5123707129477246,0.9541784187820475,0.9914351851851851,0.6277297376520592,0.768733734182895,395039,296,20320,34264,0.9681831618580233,0.9927559286361077,0.7431664956763887,0.85001833516685,395039,296,14019,40565
Q99.970,3.1182727558135452,0.9541539699368109,0.9918025664050053,0.6272900483658215,0.7685142581390911,395052,283,20344,34240,0.9672274342715022,0.9929959163469868,0.7350505642679174,0.8447714998578782,395052,283,14462,40122
Q99.980,4.722744796561799,0.9542139807387552,0.9931793115458292,0.6269053202403635,0.7686381095711944,395100,235,20365,34219,0.9635978920650161,0.9939238804426518,0.70425399384435,0.8243834441346772,395100,235,16143,38441
Q99.990,9.075223480891696,0.9492530877780223,0.9959700093720713,0.5840722556060384,0.7363327713236483,395206,129,22703,31881,0.9627910801722088,0.9966142620928584,0.6956617323757878,0.819377461293629,395206,129,16612,37972
Q100.000,18.428874969473544,0.8786826073137609,0.5135135135135135,0.0003480873516048659,0.0006957031178484466,395317,18,54565,19,0.8802428881643141,0.9756427604871448,0.013208998974058332,0.02606510854436672,395317,18,53863,721
Q_off_f1_best,6.95352029800415,0.9527070428232638,0.994859146558897,0.6133482339147003,0.7588512625232331,395162,173,21105,33479,0.9626932847912625,0.9954646742692358,0.6956617323757878,0.8189886658973999,395162,173,16612,37972
