,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0128100789152086,0.29405933552040825,0.14267083276728706,0.9620035175142899,0.248489236549828,79792,315540,2074,52510,0.29815121044817255,0.14693788170028468,0.9957313498461088,0.2560857529889864,79792,315540,233,54351
Q91.000,0.014810760775581014,0.30128290614247993,0.14387745589936776,0.9613989447457131,0.2502969106978475,83075,312257,2107,52477,0.30458129962037356,0.14734666237050062,0.9885863989447458,0.2564674122271282,83075,312257,623,53961
Q92.000,0.01748015217483045,0.30783301771886307,0.14497681863798095,0.9607210904294299,0.2519355171908518,86059,309273,2144,52440,0.30961112741044994,0.14686369868115073,0.9753773999706874,0.2552883382043026,86059,309273,1344,53240
Q93.000,0.021735525857657197,0.31531219160910035,0.14620194857764998,0.9594569837314965,0.25373915318536605,89493,305839,2213,52371,0.3172436632615866,0.14826820838868326,0.9753773999706874,0.2574075999062038,89493,305839,1344,53240
Q94.000,0.02949612278491297,0.3246428222157025,0.1475693069866872,0.9560860325370072,0.2556757498260776,93875,301457,2397,52187,0.32698325909725373,0.15009994445963737,0.9753773999706874,0.26016355511250217,93875,301457,1344,53240
Q95.000,0.042583777010441165,0.33858320219774357,0.14950122026505427,0.9494357320826616,0.25832564863046137,100510,294822,2760,51824,0.34173045635185234,0.1529612540294545,0.9753773999706874,0.26445065889143315,100510,294822,1344,53240
Q96.000,0.061453354060649876,0.3503942958241094,0.1498818621587702,0.9320496848893448,0.25823693333807085,106773,288559,3709,50875,0.35404831124032043,0.1539794416526425,0.962168400996629,0.2654740662484646,106773,288559,2065,52519
Q97.000,0.090866241231561,0.35734670471821406,0.14917287385204464,0.9135827348673604,0.2564686762293185,110909,284423,4717,49867,0.36324113834582455,0.15586955618474396,0.962168400996629,0.2682784795901166,110909,284423,2065,52519
Q98.000,0.15098552018404027,0.37238506743481004,0.15099282956425814,0.9027370658068299,0.25871302412029695,118267,277065,5309,49275,0.37898185439059734,0.15864479453885116,0.9571119742048952,0.27217550769487253,118267,277065,2341,52243
Q99.000,0.28878802597523345,0.4088340934752265,0.1586602895536559,0.9000622893155503,0.2697668799916537,134812,260520,5455,49129,0.4127081499657714,0.16336964340766622,0.9319947237285652,0.2780073010252038,134812,260520,3712,50872
Q100.000,18.428874969482422,0.8786506814605393,0.37254901960784315,0.0003480873516048659,0.0006955248467099845,395300,32,54565,19,0.8802109727149068,0.9575033200531209,0.013208998974058332,0.026058514194842508,395300,32,53863,721
Qbest,6.95352029800415,0.9531134700699686,0.9875666074600356,0.6213542430016122,0.7627829568072689,394905,427,20668,33916,0.9652268423439042,0.9892694695046867,0.7212003517514289,0.8342286785975396,394905,427,15218,39366
