,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.012810074444860242,0.2940573747719034,0.14266966985733032,0.9620035175142899,0.24848747270115962,,79792,315543,2074,52510,0.2981492224155904,0.14693668997064024,0.9957313498461088,0.25608394310188043,79792,315543,233,54351
Q91.000,0.0148107624705881,0.30128089722816775,0.14387627249223414,0.9613989447457131,0.25029511996775744,,83075,312260,2107,52477,0.30457926871281277,0.14734545533980847,0.9885863989447458,0.256465583821485,83075,312260,623,53961
Q92.000,0.01748016215860845,0.3078309651292788,0.14497561622930696,0.9607210904294299,0.25193370165745854,,86059,309276,2144,52440,0.30960906296466695,0.14686248331108145,0.9753773999706874,0.2552865020378806,86059,309276,1344,53240
Q93.000,0.02173551941290498,0.31531008914938025,0.14620072415015647,0.9594569837314965,0.2537373091374211,,89493,305842,2213,52371,0.3172415479230706,0.14826696966152578,0.9753773999706874,0.2574057331276924,89493,305842,1344,53240
Q94.000,0.02949615001678505,0.3246406575405795,0.14756805515104043,0.9560860325370072,0.25567387092112065,,93875,301460,2397,52187,0.3269810788164092,0.15009867493656612,0.9753773999706874,0.2601616481465193,93875,301460,1344,53240
Q95.000,0.04258375205099617,0.3385809445700226,0.1494999264385589,0.9494357320826616,0.2583237171419101,,100510,294825,2760,51824,0.3417281777386596,0.15295993564420438,0.9753773999706874,0.2644486885600113,100510,294825,1344,53240
Q96.000,0.06145336851477623,0.35039195944158835,0.14988053747823601,0.9320496848893448,0.2582349671718005,,106773,288562,3709,50875,0.354045950493311,0.15397808731650253,0.962168400996629,0.2654720533784894,106773,288562,2065,52519
Q97.000,0.09086621932685404,0.357344321977956,0.1491715351503023,0.9135827348673604,0.25646669769618674,,110909,284426,4717,49867,0.36323871630226773,0.15586816839543546,0.962168400996629,0.2682764239685949,110909,284426,2065,52519
Q98.000,0.15098568320274372,0.3723825844207513,0.1509914415201184,0.9027370658068299,0.25871098661948355,,118267,277068,5309,49275,0.3789793273900413,0.15864334929595428,0.9571119742048952,0.27217338074213,118267,277068,2341,52243
Q99.000,0.28878799527884136,0.40883136742391407,0.15865875240592664,0.9000622893155503,0.269764658078828,,134812,260523,5455,49129,0.412705398082766,0.16336806949372984,0.9319947237285652,0.2780050221460794,134812,260523,3712,50872
Q100.000,18.428876876831055,0.8786514906016416,0.37254901960784315,0.0003480873516048659,0.0006955248467099845,,395303,32,54565,19,0.8802117714521948,0.9575033200531209,0.013208998974058332,0.026058514194842508,395303,32,53863,721
Q_off_f1_best,6.95352029800415,0.953116005325403,0.9875669694852085,0.6213725633885387,0.7627968693774739,0.828039753646876,394908,427,20667,33917,0.9652270742066905,0.9892694695046867,0.7212003517514289,0.8342286785975396,394908,427,15218,39366
