,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0128100789152086,0.3164214002964978,0.14630224630811864,0.9585043236113147,0.2538568097954113,90045,305290,2265,52319,0.31846843542948844,0.14849524447047666,0.9753773999706874,0.25774967684464817,90045,305290,1344,53240
Q91.000,0.014810760775581014,0.3240472173880187,0.1476419090652358,0.9577898285211783,0.2558455921934795,93515,301820,2304,52280,0.3261809347904845,0.14994648791753507,0.9753773999706874,0.25993301500815347,93515,301820,1344,53240
Q92.000,0.01748015217483045,0.3322842556104543,0.14902918165724402,0.9561959548585666,0.2578680052568651,97308,298027,2391,52193,0.33461134115251856,0.15156561817648684,0.9753773999706874,0.2623622955222483,97308,298027,1344,53240
Q93.000,0.021735525857657197,0.33963224491519584,0.15034255265161126,0.9552249743514583,0.25979591023239124,100667,294668,2444,52140,0.34207712943885454,0.15302896167952448,0.9753773999706874,0.26455184202418935,100667,294668,1344,53240
Q94.000,0.02949612278491297,0.5647816606989258,0.20369756502838632,0.8893631833504324,0.33147492514586735,205561,189774,6039,48545,0.57521687237036,0.21908202819590641,0.9753773999706874,0.35779810348187824,205561,189774,1344,53240
Q95.000,0.042583777010441165,0.6428868307406445,0.23542292229881387,0.8647039425472666,0.370086642882346,242048,153287,7385,47199,0.6547111813459756,0.25518692360766937,0.962168400996629,0.4033872268520296,242048,153287,2065,52519
Q96.000,0.061453354060649876,0.7937584320733287,0.3499033611464668,0.8158984317748791,0.4897669661611551,312592,82743,10049,44535,0.8115038484705025,0.3882760864100782,0.962168400996629,0.5532800269692277,312592,82743,2065,52519
Q97.000,0.090866241231561,0.8870974553197354,0.5252322002052157,0.722098050710831,0.6081294791980066,359707,35628,15169,39415,0.9162226978633932,0.5958115420831112,0.962168400996629,0.7359158136634649,359707,35628,2065,52519
Q98.000,0.15098552018404027,0.9263845269926364,0.6985292757376745,0.6917594899604279,0.695127900661825,379039,16296,16825,37759,0.9586970099062275,0.7624247372180835,0.9581012750989301,0.8491357964555071,379039,16296,2287,52297
Q99.000,0.28878802597523345,0.9439232395164463,0.8225572502307591,0.6856954418877327,0.747916791559259,387261,8074,17156,37428,0.9733107514908239,0.8625093658470131,0.9279275978308662,0.8940233699297488,387261,8074,3934,50650
Q100.000,18.428874969482422,0.9490019314587737,0.9973590719024115,0.5811776344716401,0.7344052042458127,395251,84,22861,31723,0.958285824781794,0.9976656291685193,0.6577018906639308,0.7927744898860525,395251,84,18684,35900
Qbest,6.95352029800415,0.9510467439694701,0.9950734422041785,0.5994613806243588,0.7481907462242904,395173,162,21863,32721,0.9616886595142681,0.9956996097794059,0.687179393228785,0.8131591783643163,395173,162,17075,37509
