,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.900,1.7993713855743425,0.9544984763924172,0.9842978022602078,0.6350762128096146,0.7720318033005946,0.885021896188533,394782,553,19919,34665,0.9723216845698892,0.9872100284478572,0.7819873955737945,0.8726960468611035,394782,553,11900,42684
Q99.910,1.847392544305322,0.9545118121261827,0.9846031475484347,0.6349846108749817,0.7720580045886887,0.8859571432637028,394793,542,19924,34660,0.9717704742409189,0.987385668070845,0.7772424153598124,0.8698014371969534,394793,542,12159,42425
Q99.920,1.8958708703994573,0.9537716789022024,0.985458516538782,0.6282243880990767,0.7672995379331178,0.8856536063097417,394829,506,20293,34291,0.9709592171035231,0.9881025158711497,0.769895940202257,0.8654570916654654,394829,506,12560,42024
Q99.930,1.9452908421277801,0.9537961277474389,0.9857701374116024,0.6282243880990767,0.7673939800828018,0.8857268225623811,394840,495,20293,34291,0.9709836659487596,0.9883581457701263,0.769895940202257,0.8655551321792323,394840,495,12560,42024
Q99.940,1.998137712979275,0.9538072408589101,0.9861075157476917,0.6280961453905907,0.7674004767713848,0.8866557424807132,394852,483,20300,34284,0.9703857805516104,0.9885615497560745,0.7647479114758904,0.8623695899183969,394852,483,12841,41743
Q99.950,2.1589661912918103,0.9538694742831487,0.9870986321094313,0.6279679026821047,0.7676046087180464,0.8860442612021324,394887,448,20307,34277,0.9693944910083815,0.9892591704627187,0.7559358053642093,0.8570004361642469,394887,448,13322,41262
Q99.960,2.5123711229323136,0.9540094994876855,0.9895989830116723,0.6275098930089403,0.7680165029821966,0.88377632411393,394975,360,20332,34252,0.9680409140311923,0.9912034208918754,0.7431664956763887,0.8494487430503932,394975,360,14019,40565
Q99.970,3.118272536325401,0.9540784007788069,0.9909688250788781,0.6271984464311886,0.7681951285186973,0.8831022046615578,395023,312,20349,34235,0.9671629782249694,0.9922837216204184,0.7350505642679174,0.844513671093898,395023,312,14462,40122
Q99.980,4.72274449129065,0.9541317437138684,0.9920568198289608,0.6269419610142166,0.7683292358468325,0.8831191166399206,395061,274,20363,34221,0.963511209795541,0.9929226398036937,0.70425399384435,0.824038842860052,395061,274,16143,38441
Q99.990,9.075223175620547,0.9507133506253348,0.9952021513919873,0.5966217206507402,0.7460112018509397,0.8847828740043352,395178,157,22018,32566,0.9616997726257392,0.9958317846333563,0.687179393228785,0.8132032520325202,395178,157,17075,37509
Q100.000,18.428876876822176,0.9490019314587737,0.9973590719024115,0.5811776344716401,0.7344052042458127,0.8850757592429255,395251,84,22861,31723,0.958285824781794,0.9976656291685193,0.6577018906639308,0.7927744898860525,395251,84,18684,35900
Q_off_f1_best,6.95352029800415,0.9510467439694701,0.9950734422041785,0.5994613806243588,0.7481907462242904,0.884961910041764,395173,162,21863,32721,0.9616886595142681,0.9956996097794059,0.687179393228785,0.8131591783643163,395173,162,17075,37509
