,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.3360071657820571,0.14887179118429567,0.9482449069324345,0.2573416629584422,99416,295916,2825,51759,0.3392988913486073,0.152481985129856,0.9753773999706874,0.263734086293159,99416,295916,1344,53240
Q99.100,0.3377519359169267,0.14881790686399002,0.9447090722556061,0.2571306047550662,100394,294938,3018,51566,0.3414726304465722,0.15291029301104608,0.9753773999706874,0.2643744941181144,100394,294938,1344,53240
Q99.200,0.33873656415864295,0.1485758097414903,0.9408068298402462,0.2566244980872972,101050,294282,3231,51353,0.34293068039367347,0.15319893416819655,0.9753773999706874,0.26480579747628735,101050,294282,1344,53240
Q99.300,0.3397634225055344,0.1482549620934072,0.9361351311739704,0.25597186703970226,101767,293565,3486,51098,0.34452431120475824,0.1535156644223699,0.9753773999706874,0.2652788192999808,101767,293565,1344,53240
Q99.400,0.34108811422576657,0.14794900980155276,0.9310970247691631,0.2553271657192522,102638,292694,3761,50823,0.3464602281314734,0.15390218943497894,0.9753773999706874,0.2658557168466835,102638,292694,1344,53240
Q99.500,0.3427195298677975,0.1478960233395537,0.9277993551223802,0.255123965068626,103552,291780,3941,50643,0.3484917184541114,0.15430989507854617,0.9753773999706874,0.2664637991611695,103552,291780,1344,53240
Q99.600,0.3481561002498244,0.1484782525455729,0.9235307049684889,0.2558266407845824,106231,289101,4174,50410,0.35444616328381295,0.15551745189737717,0.9753773999706874,0.268262266171191,106231,289101,1344,53240
Q99.700,0.35889366014989466,0.14988082833291413,0.9170452879964824,0.2576514067470326,111416,283916,4528,50056,0.3659705367224104,0.15790909845887363,0.9753773999706874,0.2718129371521928,111416,283916,1344,53240
Q99.800,0.370495825887499,0.15040396812290907,0.9010515902095853,0.2577792919101654,117509,277823,5401,49183,0.3772970954578188,0.15828046511909738,0.9571119742048952,0.2716391524762771,117509,277823,2341,52243
Q99.900,0.40457329812676146,0.15749940590498332,0.8985233768137183,0.268018645725746,132979,262353,5539,49045,0.4076805448128095,0.1612648499341424,0.9241352777370658,0.2746093962654473,132979,262353,4141,50443
Q100.000,0.9456476320024182,0.944710119258472,0.5863073428110802,0.7235586705855753,393459,1873,22581,32003,0.962012909076361,0.9545818278813745,0.7212003517514289,0.8216398985629755,393459,1873,15218,39366
Qbest,0.9482103325954178,0.922526270293633,0.6256595339293566,0.7456306016178509,392464,2868,20433,34151,0.9604259461766196,0.9325414559567211,0.7263483804777957,0.8166304493352146,392464,2868,14937,39647
