,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.0128100789152086,0.23263009095031073,0.13329868189984054,0.9678660413307929,0.23432510112837981,51834,343498,1754,52830,0.23652859644911495,0.1371174783084892,1.0,0.24116677638700498,51834,343498,0,54584
Q90.100,0.012988105935044592,0.23776216004765333,0.13394047259367964,0.9664920123113,0.23527549152308047,54218,341114,1829,52755,0.24182736333004384,0.13794358323772168,1.0,0.24244362421771246,54218,341114,0,54584
Q90.200,0.013164101047441373,0.24290311969345388,0.134569295470921,0.9648981386486882,0.23619737827547393,56618,338714,1916,52668,0.24716169240480446,0.13878534851435806,1.0,0.24374277153357357,56618,338714,0,54584
Q90.300,0.013350131402723522,0.24831524106722144,0.13518853435346237,0.9627180126044262,0.23708472725714147,59172,336160,2035,52549,0.25283830759519554,0.13969248408164936,1.0,0.24514066036719,59172,336160,0,54584
Q90.400,0.013543948754668241,0.2536051173996924,0.13568188118734925,0.9594203429576432,0.23774211048386912,61732,333600,2215,52369,0.25852825860827355,0.1406137295715434,1.0,0.2465580168395187,61732,333600,0,54584
Q90.500,0.013741537248715767,0.2590350198703758,0.13602609027150384,0.9544005569397626,0.23811482715592303,64449,330883,2489,52095,0.26456716364832544,0.14160485852226,1.0,0.24808033614285618,64449,330883,0,54584
Q90.600,0.013949639033526187,0.26436268103379296,0.13609492385920471,0.9468525575260149,0.237983519861123,67258,328074,2901,51683,0.2708105513029099,0.14264434560364608,1.0,0.24967409352258016,67258,328074,0,54584
Q90.700,0.014159485646523544,0.2695858782528294,0.13592171096508826,0.9371610728418585,0.2374104559177413,70137,325195,3430,51154,0.27720952355550815,0.14372569310046104,1.0,0.2513289575769575,70137,325195,0,54584
Q90.800,0.014379647545516504,0.27415562016020767,0.1351652980139557,0.9230360545214715,0.23580095241438215,72964,322368,4201,50383,0.28349291867815324,0.14480358241898172,1.0,0.25297541804160023,72964,322368,0,54584
Q90.900,0.014598021962679928,0.2780696841188133,0.13387655337990537,0.9051187161072842,0.23325260022000954,75703,319629,5179,49405,0.2895807217347238,0.14586345209813661,1.0,0.2545913334281723,75703,319629,0,54584
Q91.000,0.014810760775581014,0.281294730571929,0.13207283718408883,0.8837754653378279,0.2298034713472133,78319,317013,6344,48240,0.2953951404262129,0.14689031396916552,1.0,0.2561540753811174,78319,317013,0,54584
Q91.100,0.015039145113900325,0.28397967620622516,0.1293487265161149,0.8553239044408618,0.22471439607434485,81080,314252,7897,46687,0.30153184149930207,0.14798989252675987,1.0,0.2578243824099003,81080,314252,0,54584
Q91.200,0.015284746795892716,0.28624009815165496,0.12605289591973018,0.8230433826762421,0.21862271340350672,83859,311473,9659,44925,0.307708550040452,0.14911338944481323,1.0,0.25952772078803543,83859,311473,0,54584
Q91.300,0.015534298922866596,0.28835827132175784,0.12251024045527031,0.7895720357613952,0.21210950476776375,86639,308693,11486,43098,0.3138874812187164,0.15025448899875302,1.0,0.26125434055822394,86639,308693,0,54584
Q91.400,0.01576815504953266,0.2906653686465918,0.11952748159887709,0.7613219991206214,0.20661623406164778,89219,306113,13028,41556,0.31962188497408406,0.15132923201468268,1.0,0.2628774251651292,89219,306113,0,54584
Q91.500,0.01602706178091468,0.2932102881426755,0.11665453910411269,0.7342627876300748,0.2013241107712091,91841,303491,14505,40079,0.32544963948826006,0.1524373385463939,1.0,0.26454772584627984,91841,303491,0,54584
Q91.600,0.016285222314298166,0.29611972012553456,0.11419016188813556,0.7106111681078704,0.19676205984330258,94441,300891,15796,38788,0.33122849598591736,0.15355228919051972,1.0,0.26622510419232354,94441,300891,0,54584
Q91.700,0.01654856588318945,0.29966927159736484,0.11227764151168051,0.6910266744833651,0.1931692477876106,97107,298225,16865,37719,0.33715404653313064,0.15471260653781507,1.0,0.2679672944797775,97107,298225,0,54584
Q91.800,0.01685068935528398,0.3040589798984699,0.11067071058758332,0.673182617616884,0.19009066101059222,100056,295276,17839,36745,0.34370860338374276,0.15601669239124222,1.0,0.26992117573755575,100056,295276,0,54584
Q91.900,0.017148687897250058,0.30840423545728535,0.1093520666995536,0.6579034149201232,0.1875336177679369,102845,292487,18673,35911,0.3499075382960375,0.15727041441088424,1.0,0.2717954463407651,102845,292487,0,54584
Q92.000,0.01748015217483045,0.31379635309702253,0.1083396003106777,0.6439799208559285,0.1854757859411771,106031,289301,19433,35151,0.3569888601427822,0.158727481570874,1.0,0.27396861487342805,106031,289301,0,54584
Q92.100,0.017802452575415375,0.31869060002311544,0.10734723901903824,0.6309541257511359,0.18347841837767576,108944,286388,20144,34440,0.3634634020572729,0.1600835259200169,1.0,0.2759862067570711,108944,286388,0,54584
Q92.200,0.018117099251598122,0.323086976235564,0.10619513639886823,0.617470320973179,0.18122281308305685,111658,283674,20880,33704,0.3694956391859814,0.16136794990805833,1.0,0.27789289332607003,111658,283674,0,54584
Q92.300,0.01848658105358482,0.3280501249122058,0.10449533990440338,0.5995713029459182,0.17797294541499556,114868,280464,21857,32727,0.3766303043234737,0.16291397053556506,1.0,0.28018232588699077,114868,280464,0,54584
Q92.400,0.018866093248128903,0.3328487984423759,0.10223584214993295,0.5781914114026088,0.17374931871108396,118194,277138,23024,31560,0.3840227953662461,0.16454742223910382,1.0,0.28259462705730687,118194,277138,0,54584
Q92.500,0.019268391421064738,0.3371162617021844,0.0992572563879898,0.5528176755093067,0.1682971176155631,121499,273833,24409,30175,0.3913686110296144,0.16620333295779452,1.0,0.2850331983467406,121499,273833,0,54584
Q92.600,0.019707508545368912,0.3420527387334525,0.09598760370683972,0.5254470174410083,0.1623224659929878,125214,270118,25903,28681,0.39962570790992097,0.16810490850071758,1.0,0.2878250185875566,125214,270118,0,54584
Q92.700,0.020164708193391577,0.34674472568212733,0.09248676960380327,0.49754506815183935,0.15597916295738976,128848,266484,27426,27158,0.4077027711839543,0.17000759963621415,1.0,0.2906093938006453,128848,266484,0,54584
Q92.800,0.02061464583873749,0.3520879453053459,0.08984772628123897,0.4754140407445405,0.15113306115792968,132460,262872,28634,25950,0.4157309364414691,0.17194193841036237,1.0,0.2934308138909794,132460,262872,0,54584
Q92.900,0.021167008256539704,0.35912481440980093,0.08785985302622114,0.45647076066246517,0.14735696627751557,136660,258672,29668,24916,0.4250660123223002,0.1742472610261256,1.0,0.29678120922140055,136660,258672,0,54584
Q93.000,0.021735525857657197,0.3668529236568604,0.08709014556265218,0.4449105965117983,0.1456664457327259,140768,254564,30299,24285,0.4325940842290561,0.17463775869168394,0.9867910010259416,0.29675684758864057,140768,254564,721,53863
