,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.12173605739738085,0.12137087001282995,1.0,0.21646874064321164,187,395145,0,54584,0.12173605739738085,0.12137087001282995,1.0,0.21646874064321164,187,395145,0,54584
Q91.000,0.121782732776785,0.12137653766444004,1.0,0.21647775495149635,208,395124,0,54584,0.121782732776785,0.12137653766444004,1.0,0.21647775495149635,208,395124,0,54584
Q92.000,0.1218227402448457,0.12138139607285019,1.0,0.21648548209901758,226,395106,0,54584,0.1218227402448457,0.12138139607285019,1.0,0.21648548209901758,226,395106,0,54584
Q93.000,0.12189386463250917,0.12139003420377265,1.0,0.21649922061232504,258,395074,0,54584,0.12189386463250917,0.12139003420377265,1.0,0.21649922061232504,258,395074,0,54584
Q94.000,0.1219738795686306,0.12139975357077723,1.0,0.216514678524254,294,395038,0,54584,0.1219738795686306,0.12139975357077723,1.0,0.216514678524254,294,395038,0,54584
Q95.000,0.12208501142435477,0.12141325527390495,1.0,0.21653615150866,344,394988,0,54584,0.12208501142435477,0.12141325527390495,1.0,0.21653615150866,344,394988,0,54584
Q96.000,0.12223615074813965,0.12143162241047911,1.0,0.21656536160352957,412,394920,0,54584,0.12223615074813965,0.12143162241047911,1.0,0.21656536160352957,412,394920,0,54584
Q97.000,0.12256510104108323,0.12147161715877834,1.0,0.21662896376552762,560,394772,0,54584,0.12256510104108323,0.12147161715877834,1.0,0.21662896376552762,560,394772,0,54584
Q98.000,0.12424985997386179,0.12167686882242007,1.0,0.2169552964931178,1318,394014,0,54584,0.12424985997386179,0.12167686882242007,1.0,0.2169552964931178,1318,394014,0,54584
Q99.000,0.3022919833924555,0.14420132371826533,0.9627546533782794,0.25083291170658595,83455,311877,2033,52551,0.30681060464620064,0.1489490013944185,1.0,0.25927869942642706,83455,311877,0,54584
Q100.000,0.8783772970954579,0.4469578783151326,0.010497581708925693,0.02051337128128021,394623,709,54011,573,0.9604726215560238,0.9814485321052907,0.687179393228785,0.8083661990043317,394623,709,17075,37509
