,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6777798522390847,0.25644535460228496,0.87179393228785,0.3963122126723965,257358,137974,6998,47586,0.6887441211248322,0.2757004194379846,0.962168400996629,0.4285918303227149,257358,137974,2065,52519
Q99.100,0.6824384996310422,0.25536418850024384,0.8442400703502858,0.3921204901293397,260958,134374,8502,46082,0.6964766756461206,0.28054526374403016,0.9599516341785138,0.4341967881469696,260958,134374,2186,52398
Q99.200,0.5991273926688537,0.21184642806413034,0.8470247691631247,0.33892539961220847,223323,172009,8350,46234,0.6130966669333832,0.2339084657592817,0.962168400996629,0.3763292155120525,223323,172009,2065,52519
Q99.300,0.6165595355577486,0.21877026975466443,0.8403561483218526,0.34716335674497456,231530,163802,8714,45870,0.6310689106410975,0.24235892691951896,0.9599516341785138,0.3870095722051525,231530,163802,2186,52398
Q99.400,0.7089278887614577,0.2750477155446641,0.8553971859885681,0.416252117321922,272267,123065,7893,46691,0.7216124787738155,0.29862706097581826,0.9599516341785138,0.4555416936539055,272267,123065,2186,52398
Q99.500,0.5975470976804559,0.2057643993672653,0.810255752601495,0.3281859871477123,224619,170713,10357,44227,0.6157082655429014,0.2348517105835212,0.9599516341785138,0.3773780586614811,224619,170713,2186,52398
Q99.600,0.6023079863796797,0.20758275560405243,0.8085702770042503,0.3303542691187808,226853,168479,10449,44135,0.6206736368566577,0.23722705397121474,0.9599516341785138,0.3804386101843818,226853,168479,2186,52398
Q99.700,0.6541687781719254,0.23813301394225037,0.8414187307635937,0.3712088453875717,248393,146939,8656,45928,0.6682047315498894,0.2622877569258266,0.9571119742048952,0.41174152565749544,248393,146939,2341,52243
Q99.800,0.5468042923567955,0.19323252660558,0.8615528359958963,0.31566617665814184,198989,196343,7557,47027,0.5574396109495995,0.20878886180008463,0.9492158874395428,0.34228824168673344,198989,196343,2772,51812
Q99.900,0.8195796548689088,0.37447125915854673,0.7266048658947677,0.49423038580400763,329081,66251,14923,39661,0.8433196418887081,0.43177549252528025,0.9222849186574821,0.5881864970177068,329081,66251,4242,50342
Q100.000,0.9523822224593035,0.9822290733523356,0.6186977868972593,0.7591889036261044,394721,611,20813,33771,0.9623574178291059,0.9842809364548495,0.7009196834237139,0.8187771523958312,394721,611,16325,38259
