,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.500,0.46521833449602146,0.9571675601667867,0.9434189708430649,0.6882236552835996,0.7958645382032351,393079,2253,17018,37566,0.9840948088087554,0.9566180151731043,0.910175142899018,0.9328188662948984,393079,2253,4903,49681
Q99.510,0.46834026571810206,0.9571964544492749,0.9439055038954511,0.688077092188187,0.7959395596244727,393100,2232,17026,37558,0.9841414841881596,0.9570049891164063,0.910175142899018,0.9330028075908241,393100,2232,4903,49681
Q99.520,0.4719330085754382,0.9572253487317632,0.9445269063372663,0.687820606771215,0.7959886784052241,393127,2205,17040,37544,0.9842014953902506,0.9575029873183518,0.910175142899018,0.933239410162487,393127,2205,4903,49681
Q99.530,0.47774579276144485,0.9572786920225109,0.9453666154504924,0.6876007621280962,0.7961393646921567,393163,2169,17052,37532,0.984281510326372,0.9581677917068466,0.910175142899018,0.9335550669898716,393163,2169,4903,49681
Q99.540,0.48493784580826665,0.9573186994905716,0.9463127885561471,0.687179393228785,0.7961919317349636,393204,2128,17075,37509,0.9843726384480659,0.958926055318574,0.910175142899018,0.933914825223464,393204,2128,4903,49681
Q99.550,0.492432812660929,0.9573542616844033,0.94725935659953,0.6867213835556207,0.7962190005841432,393245,2087,17100,37484,0.9844637665697596,0.9596855200123628,0.910175142899018,0.9342748608394763,393245,2087,4903,49681
Q99.560,0.5013154654741279,0.9574098276122655,0.9483570452129007,0.6863183350432361,0.7963352677337755,393292,2040,17122,37462,0.9819655224530801,0.9596439169139466,0.8887219698080023,0.9228223029657389,393292,2040,6074,48510
Q99.570,0.5100144625365659,0.9574698388143564,0.9494611385824775,0.6859519273047047,0.796477307778215,393339,1993,17142,37442,0.9807097324833969,0.960052915355475,0.8775098930089403,0.9169274946159368,393339,1993,6686,47898
Q99.580,0.5222223138570777,0.9575431858391344,0.951103539462978,0.6852740729884215,0.7965968140386745,393409,1923,17179,37405,0.9795295121756061,0.960930516050386,0.8664993404660707,0.9112750953720473,393409,1923,7287,47297
Q99.590,0.5303136337280256,0.9576120875896834,0.9522451162672236,0.6849626264106697,0.7967862584845546,393457,1875,17196,37388,0.9796361987571013,0.9618685430732937,0.8664993404660707,0.9116966729634912,393457,1875,7287,47297
Q99.600,0.5371934030055987,0.9576387592350573,0.9528131134167792,0.6847427817675509,0.7968361919177922,393481,1851,17208,37376,0.979689542047849,0.9623382436721738,0.8664993404660707,0.9119076080669417,393481,1851,7287,47297
Q99.610,0.5431294944882252,0.9576765440660034,0.9535269497754185,0.6845046167375055,0.7969243238631517,393511,1821,17221,37363,0.9791249922207701,0.9627104066838678,0.8612963505789242,0.9091840878763852,393511,1821,7571,47013
Q99.620,0.5482056881427758,0.9576632082433165,0.9539833409985181,0.6840282866774147,0.7967606325089094,393531,1801,17247,37337,0.9791694449630598,0.9631048469701315,0.8612963505789242,0.9093599489351826,393531,1801,7571,47013
Q99.630,0.5552768022775625,0.9575476311133634,0.9546899026140441,0.682471053788656,0.7959488910730311,393564,1768,17332,37252,0.9792427919878377,0.9637563805580042,0.8612963505789242,0.9096502684661153,393564,1768,7571,47013
Q99.640,0.5622749481200903,0.9573120315792282,0.95543254376931,0.6798512384581562,0.79442113375578,393601,1731,17475,37109,0.9793250295610736,0.9644879369768586,0.8612963505789242,0.9099759987612264,393601,1731,7571,47013
Q99.650,0.5718634654581318,0.9570853225935508,0.9566117841979911,0.6769749377106844,0.7928592885036261,393656,1676,17632,36952,0.9794472746023702,0.9655774404896383,0.8612963505789242,0.9104606237835638,393656,1676,7571,47013
Q99.660,0.5848179096579468,0.9567341459294624,0.9571703811705895,0.6735123845815624,0.790670165175499,393687,1645,17821,36763,0.9795161763529192,0.9661926096428131,0.8612963505789242,0.9107340036031847,393687,1645,7571,47013
Q99.670,0.6017285447537617,0.9564585389272664,0.9585888766577554,0.6700498314524402,0.7887597317173111,393752,1580,18010,36574,0.9796606477653607,0.9674850287078386,0.8612963505789242,0.9113077526968221,393752,1580,7571,47013
Q99.680,0.6312415610313136,0.956442980467465,0.9603916098639367,0.6685475597244613,0.78832589840248,393827,1505,18092,36492,0.9752198188106225,0.9675960813865863,0.8233181884801407,0.8896455473180968,393827,1505,9644,44940
Q99.690,0.6626264865755832,0.9564385351932361,0.9618969660162129,0.6673750549611608,0.7880157914661186,393889,1443,18156,36428,0.9753576223117204,0.9688894638121726,0.8233181884801407,0.8901918448602018,393889,1443,9644,44940
Q99.700,0.6958277280926445,0.9564941011210981,0.9638560602045684,0.6663857540671259,0.7879811962479149,393968,1364,18210,36374,0.9755332106437646,0.9705425017277125,0.8233181884801407,0.8908889065101895,393968,1364,9644,44940
Qbest,6.95352029800415,0.9526622747357284,0.9942975942975943,0.6133299135277737,0.7586738278151699,395140,192,21106,33478,0.9626508059282177,0.9949690808091395,0.6956617323757878,0.8188208910165179,395140,192,16612,37972
