,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6537597477436075,0.48848110275863266,0.06066582252949811,0.5426480906083994,0.10913122354364038,,78997,83829,4563,5414,0.5148868943247513,0.10635780227277573,1.0,0.19226655617972113,78997,83829,0,9977
Q99.100,0.7029751884937283,0.4929659785999086,0.06052166825159625,0.535832414553473,0.10875911666276741,,79840,82986,4631,5346,0.5197652818527456,0.10732226799909642,1.0,0.19384107246939966,79840,82986,0,9977
Q99.200,0.7672764587402343,0.4983304687997315,0.06028820029576641,0.5271123584243761,0.1082009711134886,,80854,81972,4718,5259,0.5256332355341053,0.10850580212944132,1.0,0.19576947981869197,80854,81972,0,9977
Q99.300,0.8363179117441185,0.5032782995665585,0.05997818974918211,0.5181918412348401,0.1075123472835976,,81798,81028,4807,5170,0.5310961036556078,0.10963133893742102,1.0,0.1975995722009863,81798,81028,0,9977
Q99.400,0.9279615771770435,0.5098059640168284,0.0591670599339311,0.5026561090508169,0.1058720457688126,,83081,79745,4962,5015,0.538520743274133,0.1111990370254787,1.0,0.20014242871041835,83081,79745,0,9977
Q99.500,1.0516530752182076,0.5184111386955088,0.05880368652490814,0.48922521800140323,0.10498806220558818,,84702,78124,5096,4881,0.5479013674531114,0.1132450255956232,1.0,0.2034503150553641,84702,78124,0,9977
Q99.600,1.2076574707031245,0.5281794876246362,0.058460551160695554,0.4747920216497945,0.1041030261740984,,86534,76292,5240,4737,0.5585030352482306,0.11564988582225365,1.0,0.20732290173098103,86534,76292,0,9977
Q99.700,1.446813035011298,0.5409223219504291,0.05800777515773373,0.45614914302896664,0.10292654242808033,,88922,73904,5426,4551,0.5723222397759298,0.11894231113124545,1.0,0.21259775405399645,88922,73904,0,9977
Q99.800,1.8866068220138477,0.5617784413465045,0.05905707196029777,0.4413150245564799,0.10417356740642596,,92674,70152,5574,4403,0.5853486339936228,0.1077987485374167,0.8495539741405232,0.19132103154449526,92674,70152,1501,8476
Q99.900,2.7529450345040143,0.5934619190639051,0.06042882147024504,0.41525508669940864,0.10550441193322892,,98409,64417,5834,4143,0.6151166357065561,0.10905645763602667,0.7903177307807958,0.19166494488265537,98409,64417,2092,7885
Q100.000,264.7657775878906,0.9065988437700734,0.0004863024801426487,0.00030069159065851457,0.00037160906726124113,,156660,6166,9974,3,0.9099436931071798,0.08611234622795316,0.058233938057532325,0.06948098541018895,156660,6166,9396,581
Q_off_f1_best,0.14067327976226807,0.3871807781114911,0.07041256874652908,0.7879121980555277,0.12927256431971978,0.5457588381199818,59045,103781,2116,7861,0.3994259358923167,0.08770372193603966,1.0,0.1612639915949408,59045,103781,0,9977
