,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6537597477436075,0.6336811282211535,0.07531060847403631,0.473889946877819,0.1299668760394189,0.5987647847526618,104774,58052,5249,4728,0.6640567582738726,0.1466580428934719,1.0,0.25580083583314106,104774,58052,0,9977
Q99.100,0.7029751884937283,0.6440686793632056,0.0752147461790843,0.4572516788613812,0.12918023502760867,0.6000946247340349,106735,56091,5415,4562,0.675404940886443,0.1510110794938548,1.0,0.2623972647774344,106735,56091,0,9977
Q99.200,0.7672764587402343,0.6566957749576107,0.07567028393554268,0.4410143329658214,0.12917620809112795,0.5978639337305425,109079,53747,5577,4400,0.6889695202050891,0.15656581507752182,1.0,0.27074259508012105,109079,53747,0,9977
Q99.300,0.8363179117441185,0.6752255458527919,0.0763170942211286,0.4165580835922622,0.1290002172765931,0.6009095174856378,112525,50301,5821,4156,0.708911303623201,0.16551644049238529,1.0,0.2840224895025265,112525,50301,0,9977
Q99.400,0.9279615771770435,0.6874128342679235,0.07892069684278967,0.4136513982158966,0.13255179058936886,0.602826663216004,114660,48166,5850,4127,0.7212664131988449,0.17159417298728996,1.0,0.29292425132119787,114660,48166,0,9977
Q99.500,1.0516530752182076,0.6983038488915123,0.0795819454694138,0.3999198155758244,0.13274777921948297,0.6037412411042788,116679,46147,5987,3990,0.7329502381324399,0.17776708716413656,1.0,0.3018713786478268,116679,46147,0,9977
Q99.600,1.2076574707031245,0.7174181003802017,0.07691972646892287,0.35401423273529115,0.12637981930405223,0.6054110050009868,120440,42386,6445,3532,0.7547149065699091,0.1905353016442908,1.0,0.32008341353865893,120440,42386,0,9977
Q99.700,1.446813035011298,0.7463932917831287,0.08138125510178841,0.329758444422171,0.13054519482580748,0.6100363596396015,125689,37137,6687,3290,0.7850905366226281,0.21176295793182492,1.0,0.3495121823054422,125689,37137,0,9977
Q99.800,1.8866068220138477,0.7549984664618091,0.0830541668814101,0.3230429988974642,0.13213619498595824,0.609918264700642,127243,35583,6754,3223,0.7940834360514575,0.21898595258999123,1.0,0.3592920035291787,127243,35583,0,9977
Q99.900,2.7529450345040143,0.8004837878972009,0.10478771454381211,0.3255487621529518,0.15854343103995316,0.6290962187125435,135078,27748,6729,3248,0.8223931297489048,0.20223103904318326,0.7050215495639972,0.31430550280390535,135078,27748,2943,7034
Q100.000,264.7657775878906,0.906621991516351,0.07044218161528805,0.050616417760849956,0.058905867257669435,0.6460582030377582,156162,6664,9472,505,0.9070617986956245,0.08019323671497584,0.058233938057532325,0.06747183834630124,156162,6664,9396,581
Q_off_f1_best,0.14067327976226807,0.4028170807219782,0.07087484118069494,0.7715746216297484,0.1298243542933275,0.5521126701789609,61910,100916,2279,7698,0.41600550916361406,0.08996961034510745,1.0,0.16508645652353768,61910,100916,0,9977
