,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6537597477436075,0.9381955174389334,0.4174688894106598,0.17820988273027966,0.24978926664793483,160345,2481,8199,1778,0.9629404582096376,0.7093145869947276,0.6067956299488825,0.6540622299049266,160345,2481,3923,6054
Q99.100,0.7029751884937283,0.9388841628906905,0.4274353876739563,0.17239651197754835,0.2456967359474323,160522,2304,8257,1720,0.9639647459824193,0.7243359655419956,0.6067956299488825,0.6603763294245979,160522,2304,3923,6054
Q99.200,0.7672764587402343,0.9397116948201131,0.441527446300716,0.16688383281547559,0.24221704975269134,160720,2106,8312,1665,0.9651105594231582,0.7419117647058824,0.6067956299488825,0.6675855985003032,160720,2106,3923,6054
Q99.300,0.8363179117441185,0.9402788146039132,0.45129224652087474,0.15926631251879322,0.2354422877463328,160894,1932,8388,1589,0.9661174863862317,0.758076634109692,0.6067956299488825,0.6740522184490342,160894,1932,3923,6054
Q99.400,0.9279615771770435,0.9408112127682968,0.4613251155624037,0.15004510373859878,0.2264407805173196,161078,1748,8480,1497,0.9671822827149992,0.7759548833632401,0.6067956299488825,0.6810281793126722,161078,1748,3923,6054
Q99.500,1.0516530752182076,0.9412857415669866,0.47107155083875385,0.13791720958203868,0.21336641339742596,161281,1545,8601,1376,0.9683570308385849,0.7966837741808133,0.6067956299488825,0.688893946290396,161281,1545,3923,6054
Q99.600,1.2076574707031245,0.9415635145223173,0.4762465645857872,0.1215796331562594,0.1937080804854679,161492,1334,8764,1213,0.9695780744547259,0.8194369247428263,0.6067956299488825,0.6972646127267492,161492,1334,3923,6054
Q99.700,1.446813035011298,0.9417139748731214,0.4776049033474776,0.10153352711235843,0.16746569680939,161718,1108,8964,1013,0.9708859221194076,0.8452946104440101,0.6067956299488825,0.7064589532644846,161718,1108,3923,6054
Q99.800,1.8866068220138477,0.9431549220788991,0.5420765027322404,0.09942868597774883,0.1680359109003134,161988,838,8985,992,0.9637622032024907,0.844555741049898,0.4563496040894056,0.592529932326913,161988,838,5424,4553
Q99.900,2.7529450345040143,0.9446768863966482,0.6351263771872975,0.09822591961511476,0.1701388888888889,162263,563,8997,980,0.961933531246564,0.8755801104972376,0.39711336072967823,0.5464073920838505,162263,563,6015,3962
Q100.000,264.7657775878906,0.9421248473695479,0.0,0.0,0.0,162802,24,9977,0,0.9421248473695479,0.0,0.0,0.0,162802,24,9977,0
Q_off_f1_best,0.14067327976226807,0.8974091884978849,0.25209492739717265,0.39500851959506866,0.3077704021866458,151134,11692,6036,3941,0.9096369854690023,0.3411473008001803,0.6067956299488825,0.43674926955957144,151134,11692,3923,6054
