,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.08936395049095153,0.3057523148148148,0.06711219212695115,0.8545655006514985,0.12445080208439768,44308,118515,1451,8526,0.31414930555555554,0.07764685739189989,1.0,0.1441044565931725,44308,118515,0,9977
Q91.000,0.09708472825586804,0.322037037037037,0.06812485392606443,0.8472486719454746,0.1261095943546823,47195,115628,1524,8453,0.3308564814814815,0.07943155129174793,1.0,0.14717292855983832,47195,115628,0,9977
Q92.000,0.10691508919000625,0.33794560185185185,0.06910012214042849,0.8392302295279142,0.127686829484022,50024,112799,1604,8373,0.3472280092592593,0.08126181012575748,1.0,0.15030922088389717,50024,112799,0,9977
Q93.000,0.12049175083637237,0.3531539351851852,0.0699717814839222,0.8301092512779392,0.12906443092123204,52743,110080,1695,8282,0.362962962962963,0.08310219312493232,1.0,0.15345217404678776,52743,110080,0,9977
Q94.000,0.14027271062135724,0.3724884259259259,0.07066046868595251,0.8120677558384284,0.13000850462940675,56264,106559,1875,8102,0.3833391203703704,0.085613029450127,1.0,0.15772292175507657,56264,106559,0,9977
Q95.000,0.1690919302403927,0.3959085648148148,0.07041061483018456,0.7754836123083091,0.1290995403008485,60676,102147,2240,7737,0.4088715277777778,0.08898184153258892,1.0,0.16342208499520888,60676,102147,0,9977
Q96.000,0.21038010776042973,0.4092939814814815,0.06659011548561371,0.7091310013029969,0.12174765969162996,63651,99172,2902,7075,0.426087962962963,0.09140715902115457,1.0,0.16750331581686617,63651,99172,0,9977
Q97.000,0.276996396780015,0.4184953703703704,0.06432140484648932,0.669640172396512,0.11736907752578044,65635,97188,3296,6681,0.43756944444444446,0.09309942611860215,1.0,0.17034027078246913,65635,97188,0,9977
Q98.000,0.3961983668804178,0.43647569444444445,0.0651827824321904,0.6566102034679764,0.11859267372079761,68872,93951,3426,6551,0.45630208333333333,0.09599915325994919,1.0,0.17518107194591984,68872,93951,0,9977
Q99.000,0.6765824258327489,0.445630787037037,0.06104222931500123,0.5980755738197855,0.11077797064857188,71038,91785,4010,5967,0.46883680555555557,0.09804249130323696,1.0,0.17857686215197915,71038,91785,0,9977
Q100.000,306.1107482910156,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923
Qbest,0.136281818151474,0.36875,0.07069648163710872,0.8178811265911596,0.13014354066985645,55560,107263,1817,8160,0.3792650462962963,0.08509894234049813,1.0,0.15685010651092227,55560,107263,0,9977
