,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6537597477436075,0.4452874082047187,0.06098620781318693,0.5978751127593465,0.11068227784684467,,70982,91844,4012,5965,0.46850459772110437,0.09798568075347915,1.0,0.17848262044043722,70982,91844,0,9977
Q99.100,0.7029751884937283,0.4459644797833371,0.060861461576273965,0.5956700410945174,0.11043902439024392,,71121,91705,4034,5943,0.46930898190424936,0.09811962785940481,1.0,0.178704806598662,71121,91705,0,9977
Q99.200,0.7672764587402343,0.4462248919289596,0.060376042425299266,0.5899569008720056,0.1095416224666406,,71223,91603,4091,5886,0.4698992494343269,0.09821815317975979,1.0,0.17886820190575223,71223,91603,0,9977
Q99.300,0.8363179117441185,0.44652581263056773,0.05994760363692402,0.5848451438308109,0.10874832264797973,,71326,91500,4142,5835,0.47049530390097394,0.0983178454231008,1.0,0.17903350261094264,71326,91500,0,9977
Q99.400,0.9279615771770435,0.4467283554104963,0.05931697476223805,0.5776285456550065,0.10758589790260703,,71433,91393,4214,5763,0.4711145061138985,0.0984216237545625,1.0,0.17920554662451615,71433,91393,0,9977
Q99.500,1.0516530752182076,0.4467052076642188,0.0582688538120293,0.5661020346797635,0.10566193046292573,,71544,91282,4329,5648,0.4717568560731006,0.09852951342596708,1.0,0.1793843719659103,71544,91282,0,9977
Q99.600,1.2076574707031245,0.4463232698506392,0.05684944257141084,0.5509672246166182,0.10306456300212802,,71629,91197,4480,5497,0.4722487456814986,0.09861229169549489,1.0,0.17952155176291712,71629,91197,0,9977
Q99.700,1.446813035011298,0.4461959572461126,0.05554057697492586,0.536834719855668,0.10066628450066253,,71748,91078,4621,5356,0.464251199342604,0.08513972316531732,0.8495539741405232,0.1547689695154796,71748,91078,1501,8476
Q99.800,1.8866068220138477,0.4461670225632657,0.05357496224548248,0.515585847449133,0.09706392935315873,,71955,90871,4833,5144,0.46544909521246736,0.08531712079881627,0.8495539741405232,0.15506201748929788,71955,90871,1501,8476
Q99.900,2.7529450345040143,0.4472086711457556,0.05151353108322062,0.4924325949684274,0.09327005220692929,,72366,90460,5064,4913,0.4644074466299775,0.08017692816106564,0.7903177307807958,0.14558446114362736,72366,90460,2092,7885
Q100.000,264.7657775878906,0.4423129228080531,0.04162820063880134,0.3932043700511176,0.0752859445766485,,72510,90316,6054,3923,0.4423129228080531,0.04162820063880134,0.3932043700511176,0.0752859445766485,72510,90316,6054,3923
Q_off_f1_best,0.14067327976226807,0.394229266853006,0.07320678528293044,0.8140723664428184,0.1343334187871621,0.4993392803398684,60002,102824,1855,8122,0.4049640341892213,0.08844779744860418,1.0,0.16252097281271888,60002,102824,0,9977
