,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.08936395049095153,0.35892939814814817,0.07110033188664794,0.8374260799839631,0.1310721877524767,53668,109155,1622,8355,0.36831597222222223,0.08374743981465937,1.0,0.15455158044752884,53668,109155,0,9977
Q91.000,0.09708472825586804,0.3732638888888889,0.07205097626156672,0.8296080986268417,0.13258686145417847,56223,106600,1700,8277,0.38310185185185186,0.08558291944380109,1.0,0.157671823885456,56223,106600,0,9977
Q92.000,0.10691508919000625,0.3832696759259259,0.07273660185070507,0.8240954194647689,0.1336747551111653,58007,104816,1755,8222,0.3934259259259259,0.08691296507626772,1.0,0.15992626432636053,58007,104816,0,9977
Q93.000,0.12049175083637237,0.39288194444444446,0.07182225750290916,0.7980354816076977,0.13178410050151448,59928,102895,2015,7962,0.40454282407407405,0.08839216103196541,1.0,0.1624270445831875,59928,102895,0,9977
Q94.000,0.14027271062135724,0.40715277777777775,0.07038052316126935,0.7591460358825298,0.1288182869582965,62782,100041,2403,7574,0.42105902777777776,0.09068516061008199,1.0,0.16629026209425393,62782,100041,0,9977
Q95.000,0.1690919302403927,0.41339699074074077,0.0690627534564385,0.7339881727974341,0.12624664902466146,64112,98711,2654,7323,0.42875578703703704,0.09179486235831003,1.0,0.1681540471074032,64112,98711,0,9977
Q96.000,0.21038010776042973,0.41640625,0.06474172286940527,0.6773579232234138,0.11818714421874589,65197,97626,3219,6758,0.4350347222222222,0.09272046318411196,1.0,0.1697057322673924,65197,97626,0,9977
Q97.000,0.276996396780015,0.43463541666666666,0.06562345251064673,0.6641274932344392,0.11944441940746484,68479,94344,3351,6626,0.45402777777777775,0.09563750347485166,1.0,0.1745787327862255,68479,94344,0,9977
Q98.000,0.3961983668804178,0.4420601851851852,0.06314629683914727,0.6261401222812468,0.11472278845977266,70141,92682,3730,6247,0.4636458333333333,0.09718582881189179,1.0,0.17715472850598385,70141,92682,0,9977
Q99.000,0.6765824258327489,0.44582175925925926,0.0599911777679753,0.5861481407236644,0.10884252452120828,71190,91633,4129,5848,0.4697164351851852,0.09818915461076666,1.0,0.1788201134540762,71190,91633,0,9977
Q100.000,306.1107482910156,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923
