,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.000,0.6537597477436075,0.4460628577050167,0.05989837294051224,0.5848451438308109,0.10866731227651967,0.49586649246591574,71246,91580,4142,5835,0.4700323489754229,0.09824039701842315,1.0,0.17890508723797227,71246,91580,0,9977
Q99.100,0.7029751884937283,0.44641586083574936,0.05989069690992768,0.5843439911797134,0.10864602454319286,0.4958502242258763,71312,91514,4147,5830,0.4704142867890025,0.09830428313840636,1.0,0.17901101661463378,71312,91514,0,9977
Q99.200,0.7672764587402343,0.4468093725224678,0.0598601686201933,0.5835421469379573,0.10858192601434208,0.4959046555483887,71388,91438,4155,5822,0.470854093968276,0.09837795197949022,1.0,0.1791331513932778,71388,91438,0,9977
Q99.300,0.8363179117441185,0.4472028842091862,0.05983864660725679,0.5828405332264208,0.10853436610517475,0.4959020793948937,71463,91363,4162,5815,0.47128811421098016,0.098450759818433,1.0,0.17925384262960734,71463,91363,0,9977
Q99.400,0.9279615771770435,0.447006128365827,0.0586554725855027,0.5700110253583242,0.10636566822215779,0.49593500337524127,71557,91269,4290,5687,0.47183208624850265,0.09854216462872607,1.0,0.1794053388238044,71557,91269,0,9977
Q99.500,1.0516530752182076,0.4464505824551657,0.05680736602524312,0.5503658414353012,0.10298489267327475,0.49586506496293964,71657,91169,4486,5491,0.47241077990544145,0.09863959029521681,1.0,0.17956678635386011,71657,91169,0,9977
Q99.600,1.2076574707031245,0.44557096809661867,0.051548654071225546,0.4944372055728175,0.09336348925458728,0.49571950828928074,72063,90763,5044,4933,0.4660740843619613,0.08540996987071615,0.8495539741405232,0.15521535306182246,72063,90763,1501,8476
Q99.700,1.446813035011298,0.44627118742151467,0.051520066977133586,0.4934349002706224,0.09329871508168137,0.4958372772848053,72194,90632,5054,4923,0.46683217305255115,0.0855228639464019,0.8495539741405232,0.15540175092817526,72194,90632,1501,8476
Q99.800,1.8866068220138477,0.44701191530239637,0.05157037611477317,0.4932344392101834,0.0933776091081594,0.49591674438719646,72324,90502,5056,4921,0.46758447480657167,0.08563519165875245,0.8495539741405232,0.15558716901473085,72324,90502,1501,8476
Q99.900,2.7529450345040143,0.4473764923062678,0.05114316306607042,0.48832314322942766,0.0925892492326989,0.49573992453656646,72436,90390,5105,4872,0.46481253218983465,0.08023403714067667,0.7903177307807958,0.14567860178102943,72436,90390,2092,7885
Q100.000,264.7657775878906,0.4423129228080531,0.04162820063880134,0.3932043700511176,0.0752859445766485,0.49440922306730406,72510,90316,6054,3923,0.4423129228080531,0.04162820063880134,0.3932043700511176,0.0752859445766485,72510,90316,6054,3923
Q_off_f1_best,0.14067327976226807,0.42593010538011494,0.06869114604482085,0.7121379172095821,0.12529648799499166,0.49437608394582244,66497,96329,2872,7105,0.442550187207398,0.09385171109815062,1.0,0.17159859996732107,66497,96329,0,9977
