,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.2579513888888889,0.064752173496956,0.8816277438107648,0.12064354194955355,35778,127045,1181,8796,0.26478587962962963,0.07281312489965115,1.0,0.1357424200164627,35778,127045,0,9977
Q91.000,0.27993055555555557,0.06620729386972309,0.8754134509371555,0.12310424536280092,39638,123185,1243,8734,0.2871238425925926,0.07492377705351376,1.0,0.13940295796393715,39638,123185,0,9977
Q92.000,0.3028472222222222,0.0678036377860356,0.8686980054124487,0.12578917577393653,43665,119158,1310,8667,0.31042824074074077,0.07726023154063577,1.0,0.14343838058542757,43665,119158,0,9977
Q93.000,0.3237847222222222,0.06944589923536189,0.8638869399619123,0.12855736531233217,47331,115492,1358,8619,0.33164351851851853,0.07951764977803281,1.0,0.14732070345377493,47331,115492,0,9977
Q94.000,0.3516377314814815,0.07088799192734611,0.8449433697504259,0.13080211331528274,52333,110490,1547,8430,0.3605902777777778,0.08281936131886741,1.0,0.15296985679678637,52333,110490,0,9977
Q95.000,0.38336805555555553,0.07371311034013965,0.8369249273328656,0.13549256007918606,57896,104927,1627,8350,0.3927835648148148,0.08682900508250366,1.0,0.1597841144769821,57896,104927,0,9977
Q96.000,0.40349537037037037,0.07431894872568653,0.814573519093916,0.13621050867342663,61597,101226,1850,8127,0.4142013888888889,0.08971880255029091,1.0,0.16466413599603896,61597,101226,0,9977
Q97.000,0.4172106481481481,0.07127668622948032,0.7559386589155057,0.13027031695310476,64552,98271,2435,7542,0.4313020833333333,0.09216798462789151,1.0,0.16877986889405794,64552,98271,0,9977
Q98.000,0.43092592592592593,0.06607211259858761,0.6742507767866092,0.12035065748278023,67737,95086,3250,6727,0.4497337962962963,0.09496207037682153,1.0,0.1734527121001391,67737,95086,0,9977
Q99.000,0.4429282407407407,0.06552060988750918,0.6520998296080986,0.11907681607701741,70032,92791,3471,6506,0.4630150462962963,0.09708274949400592,1.0,0.17698345824648543,70032,92791,0,9977
Q100.000,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923,0.44232060185185185,0.041629525871216946,0.3932043700511176,0.07528811184785007,72510,90313,6054,3923
Qbest,0.39275462962962965,0.07440276096992515,0.8319134008218904,0.13658954020340322,59568,103255,1677,8300,0.4024594907407407,0.08811113466157977,1.0,0.16195245477197284,59568,103255,0,9977
