,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q95.000,0.06690972222222222,0.05827176357211693,1.0,0.11012627489072366,1585,161238,0,9977,0.06690972222222222,0.05827176357211693,1.0,0.11012627489072366,1585,161238,0,9977
Q95.100,0.0672511574074074,0.05829185070929444,1.0,0.11016214604737955,1644,161179,0,9977,0.0672511574074074,0.05829185070929444,1.0,0.11016214604737955,1644,161179,0,9977
Q95.200,0.06763310185185185,0.05831433748319598,1.0,0.11020230080577907,1710,161113,0,9977,0.06763310185185185,0.05831433748319598,1.0,0.11020230080577907,1710,161113,0,9977
Q95.300,0.06799189814814814,0.0583354772317983,1.0,0.1102400486174415,1772,161051,0,9977,0.06799189814814814,0.0583354772317983,1.0,0.1102400486174415,1772,161051,0,9977
Q95.400,0.06836805555555556,0.05835765633499646,1.0,0.1102796507129435,1837,160986,0,9977,0.06836805555555556,0.05835765633499646,1.0,0.1102796507129435,1837,160986,0,9977
Q95.500,0.06879050925925925,0.058382585288782256,1.0,0.11032416084747355,1910,160913,0,9977,0.06879050925925925,0.058382585288782256,1.0,0.11032416084747355,1910,160913,0,9977
Q95.600,0.06934606481481481,0.058415401009403144,1.0,0.11038274944543097,2006,160817,0,9977,0.06934606481481481,0.058415401009403144,1.0,0.11038274944543097,2006,160817,0,9977
Q95.700,0.07012152777777778,0.05846126801828196,1.0,0.1104646334914774,2140,160683,0,9977,0.07012152777777778,0.05846126801828196,1.0,0.1104646334914774,2140,160683,0,9977
Q95.800,0.07094907407407407,0.058510295161186276,1.0,0.11055215131804937,2283,160540,0,9977,0.07094907407407407,0.058510295161186276,1.0,0.11055215131804937,2283,160540,0,9977
Q95.900,0.07219328703703703,0.058584162252938894,1.0,0.1106839953627433,2498,160325,0,9977,0.07219328703703703,0.058584162252938894,1.0,0.1106839953627433,2498,160325,0,9977
Q96.000,0.0738136574074074,0.05868064132876922,1.0,0.11085617142317457,2778,160045,0,9977,0.0738136574074074,0.05868064132876922,1.0,0.11085617142317457,2778,160045,0,9977
Q96.100,0.0758738425925926,0.05880376740183655,1.0,0.11107585600329543,3134,159689,0,9977,0.0758738425925926,0.05880376740183655,1.0,0.11107585600329543,3134,159689,0,9977
Q96.200,0.07854745370370371,0.05896432708446609,1.0,0.11136225381039283,3596,159227,0,9977,0.07854745370370371,0.05896432708446609,1.0,0.11136225381039283,3596,159227,0,9977
Q96.300,0.08201388888888889,0.05915289121395992,0.9995990778791219,0.1116959915777213,4199,158624,4,9973,0.08203703703703703,0.05917521248391172,1.0,0.11173828803100046,4199,158624,0,9977
Q96.400,0.08616898148148149,0.0593796353108674,0.9990979252280244,0.11209698278285708,4922,157901,9,9968,0.08622106481481481,0.05943006230715162,1.0,0.11219251637569931,4922,157901,0,9977
Q96.500,0.09081597222222222,0.05954376721350736,0.9967926230329759,0.11237478601332225,5748,157075,32,9945,0.09100115740740741,0.05972391830088834,1.0,0.11271599568432289,5748,157075,0,9977
Q96.600,0.09632523148148148,0.05975255695165584,0.9942868597774882,0.11273047529759367,6725,156098,57,9920,0.0966550925925926,0.06007526719855487,1.0,0.11334151273487378,6725,156098,0,9977
Q96.700,0.10360532407407408,0.06001651607888857,0.990678560689586,0.11317665244897375,8019,154804,93,9884,0.10414351851851852,0.06054702908709135,1.0,0.11418075281246066,8019,154804,0,9977
Q96.800,0.11288773148148148,0.060277856187332016,0.9845644983461963,0.11360074939718628,9684,153139,154,9823,0.11377893518518518,0.061165060447779494,1.0,0.1152790696330874,9684,153139,0,9977
Q96.900,0.12368055555555556,0.06047913494702172,0.9754435200962213,0.11389649603258198,11640,151183,245,9732,0.12509837962962964,0.06190742119632663,1.0,0.11659664479335269,11640,151183,0,9977
Q97.000,0.13528935185185184,0.06075611246558687,0.9666232334369049,0.11432635884061407,13734,149089,333,9644,0.1372164351851852,0.0627223919630845,1.0,0.11804097182373714,13734,149089,0,9977
Q97.100,0.14958333333333335,0.06135715886892753,0.9602084795028566,0.11534386438065883,16268,146555,397,9580,0.15188078703703703,0.06373776607977921,1.0,0.11983736614837635,16268,146555,0,9977
Q97.200,0.16462962962962963,0.061991094769643984,0.9530921118572717,0.1164106017016588,18939,143884,468,9509,0.16733796296296297,0.0648442425305958,1.0,0.1217910374882506,18939,143884,0,9977
Q97.300,0.18077546296296296,0.062494597056809036,0.9419665230029067,0.1172127365020766,21840,140983,579,9398,0.1841261574074074,0.0660903550609433,1.0,0.1239864046179561,21840,140983,0,9977
Q97.400,0.19810763888888888,0.06294015281289937,0.9280344793023955,0.11788522137696153,24974,137849,718,9259,0.2022627314814815,0.0674915102891237,1.0,0.1264488000861834,24974,137849,0,9977
Q97.500,0.21574652777777778,0.06359932702067604,0.9169088904480305,0.11894808698761498,28133,134690,829,9148,0.2205439814814815,0.06896527888184589,1.0,0.1290318408732314,28133,134690,0,9977
Q97.600,0.23532986111111112,0.0643375797086977,0.9040793825799338,0.12012651906109541,31645,131178,957,9020,0.24086805555555554,0.07068116609401014,1.0,0.13203027816742982,31645,131178,0,9977
Q97.700,0.2553472222222222,0.06506174196621597,0.8898466472887642,0.12125764860139862,35246,127577,1099,8878,0.2617071759259259,0.07253151489596812,1.0,0.1352529298927005,35246,127577,0,9977
Q97.800,0.2726851851851852,0.06555875130479187,0.8750125288162774,0.12197848260444322,38390,124433,1247,8730,0.27990162037037036,0.07422810802767651,1.0,0.13819803721941726,38390,124433,0,9977
Q97.900,0.2875636574074074,0.06585875021106113,0.8600781798135713,0.1223488818073586,41110,121713,1396,8581,0.2956423611111111,0.07576125749867112,1.0,0.1408514332907452,41110,121713,0,9977
Q98.000,0.30265625,0.06619147800420762,0.845143830810865,0.12276780839369562,43867,118956,1545,8432,0.31159722222222225,0.07738127554621392,1.0,0.14364696566121948,43867,118956,0,9977
Q98.100,0.3180787037037037,0.066291366761832,0.8262002605993786,0.12273492056401782,46721,116102,1734,8243,0.3281134259259259,0.07913292459489685,1.0,0.1466601987416946,46721,116102,0,9977
Q98.200,0.33446180555555555,0.06660889659156558,0.8089606094016237,0.1230832577184381,49724,113099,1906,8071,0.3454918981481481,0.08106373297799734,1.0,0.14997031258220409,49724,113099,0,9977
Q98.300,0.349375,0.06709259775710097,0.7957301794126491,0.1237510326874815,52433,110390,2038,7939,0.36116898148148147,0.08288816702252279,1.0,0.1530872153685632,52433,110390,0,9977
Q98.400,0.36244791666666665,0.06701815038893691,0.7771875313220407,0.1233956889486541,54877,107946,2223,7754,0.3753125,0.08460605649449217,1.0,0.15601250977326037,54877,107946,0,9977
