,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.07297086715698242,0.2603889978761943,0.06378646527469273,0.8634860178410344,0.11879727242014107,36381,126445,1362,8615,0.2682708054837011,0.07313336558619578,1.0,0.13629874521000826,36381,126445,0,9977
Q91.000,0.0803600944578648,0.2844047846391556,0.06521739130434782,0.8545655006514985,0.1211862780632369,40620,122206,1451,8526,0.29280162960133793,0.07547869241884357,1.0,0.14036297129994374,40620,122206,0,9977
Q92.000,0.09023584425449373,0.31098418430235586,0.0669672983637273,0.8454445224015235,0.12410434475554313,45304,117522,1542,8435,0.31990764049235254,0.07825159413015004,1.0,0.14514533445837818,45304,117522,0,9977
Q93.000,0.10390732288360602,0.33969896355966045,0.06863695491867797,0.8303097123383782,0.12679268386010561,50417,112409,1693,8284,0.34949624717163474,0.08152076217868057,1.0,0.15075209839607745,50417,112409,0,9977
Q94.000,0.12402902245521549,0.369293357175512,0.07001467867596606,0.8079583040994287,0.12886260091119814,55754,107072,1916,8061,0.3803811276424599,0.08523780638877734,1.0,0.15708595090768818,55754,107072,0,9977
Q95.000,0.15367359668016434,0.3974294427758777,0.07021756397732148,0.7708730079182119,0.1287110486327275,60986,101840,2286,7691,0.4106583797734993,0.08922614629260309,1.0,0.16383401481189547,60986,101840,0,9977
Q96.000,0.19699515998363498,0.4177473770709999,0.06784719838272876,0.7131402225117771,0.12390613435500021,65073,97753,2862,7115,0.43430958953258914,0.09261115752343822,1.0,0.16952262822092143,65073,97753,0,9977
Q97.000,0.25832430422306074,0.433487844539736,0.06572551963961117,0.6668337175503658,0.11965719732736217,68255,94571,3324,6653,0.4527236216963826,0.09542985040364235,1.0,0.17423270028378085,68255,94571,0,9977
Q98.000,0.3750189244747173,0.4579029299259851,0.06487902764636772,0.6254385085697103,0.11756283205847998,72887,89939,3737,6240,0.479528711885789,0.09985387725689579,1.0,0.18157662453477474,72887,89939,0,9977
Q99.000,0.6537597477436075,0.48848110275863266,0.06066582252949811,0.5426480906083994,0.10913122354364038,78997,83829,4563,5414,0.5148868943247513,0.10635780227277573,1.0,0.19226655617972113,78997,83829,0,9977
Q100.000,264.7657775878906,0.9065988437700734,0.0004863024801426487,0.00030069159065851457,0.00037160906726124113,156660,6166,9974,3,0.9099436931071798,0.08611234622795316,0.058233938057532325,0.06948098541018895,156660,6166,9396,581
Qbest,0.14067327976226807,0.3871807781114911,0.07041256874652908,0.7879121980555277,0.12927256431971978,59045,103781,2116,7861,0.3994259358923167,0.08770372193603966,1.0,0.1612639915949408,59045,103781,0,9977
