,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q95.000,0.07068287037037037,0.05849451522311404,1.0,0.11052398360474133,2237,160586,0,9977,0.07068287037037037,0.05849451522311404,1.0,0.11052398360474133,2237,160586,0,9977
Q95.100,0.07286458333333333,0.058624093638724686,1.0,0.11075526051409,2614,160209,0,9977,0.07286458333333333,0.058624093638724686,1.0,0.11075526051409,2614,160209,0,9977
Q95.200,0.07429976851851852,0.058709647047746824,1.0,0.11090792874412916,2862,159961,0,9977,0.07429976851851852,0.058709647047746824,1.0,0.11090792874412916,2862,159961,0,9977
Q95.300,0.07454861111111111,0.058724506312722566,1.0,0.1109344422700587,2905,159918,0,9977,0.07454861111111111,0.058724506312722566,1.0,0.1109344422700587,2905,159918,0,9977
Q95.400,0.07881944444444444,0.05897028134292623,0.999799538939561,0.11137162954279017,3645,159178,2,9975,0.07883101851851852,0.05898140758475954,1.0,0.11139271598597683,3645,159178,0,9977
Q95.500,0.08895833333333333,0.05957167179425909,0.9994988473489025,0.11244164806170084,5400,157423,5,9972,0.08898726851851851,0.059599761051373955,1.0,0.11249485559007087,5400,157423,0,9977
Q95.600,0.10739583333333333,0.060647220411867535,0.9979953893956099,0.11434575897471232,8601,154222,20,9957,0.10751157407407408,0.06076163679437755,1.0,0.11456228182987323,8601,154222,0,9977
Q95.700,0.12005208333333334,0.06147682658831082,0.9981958504560489,0.11582050670744827,10786,152037,18,9959,0.12015625,0.06158109792980854,1.0,0.11601769860050816,10786,152037,0,9977
Q95.800,0.1289236111111111,0.06196041764064204,0.9962914703818784,0.11666529735566483,12338,150485,37,9940,0.12913773148148147,0.06217671473619923,1.0,0.11707414382858385,12338,150485,0,9977
Q95.900,0.15298032407407408,0.06311662352971324,0.9874711837225619,0.11864947702461025,16583,146240,125,9852,0.1537037037037037,0.0638662885601439,1.0,0.12006450293031035,16583,146240,0,9977
Q96.000,0.2258564814814815,0.06754651333393884,0.969028766162173,0.12628993912793585,29360,133463,309,9668,0.22764467592592594,0.06955521472392638,1.0,0.13006381300638128,29360,133463,0,9977
Q96.100,0.23352430555555556,0.06828724919276379,0.9708329157061241,0.1275993123390353,30667,132156,291,9686,0.23520833333333332,0.07019481753005988,1.0,0.13118138189468148,30667,132156,0,9977
Q96.200,0.25951967592592595,0.06965580635277295,0.9570011025358324,0.12985970853649412,35297,127526,429,9548,0.26200231481481484,0.07255841690726748,1.0,0.13529970165446162,35297,127526,0,9977
Q96.300,0.27134837962962965,0.06924277327784796,0.9339480805853463,0.12892692342283135,37571,125252,659,9318,0.275162037037037,0.07377855341679669,1.0,0.13741856397118576,37571,125252,0,9977
Q96.400,0.2937326388888889,0.07047694972940653,0.9215194948381277,0.13093974977034986,41563,121260,783,9194,0.2982638888888889,0.07602276796939887,1.0,0.14130327021400146,41563,121260,0,9977
Q96.500,0.30319444444444443,0.07106512231311224,0.9169088904480305,0.13190679432460492,43244,119579,829,9148,0.30799189814814815,0.07700916977986354,1.0,0.14300559724222944,43244,119579,0,9977
Q96.600,0.31147569444444445,0.07136565262528707,0.9094918312117871,0.1323463992707384,44749,118074,903,9074,0.3167013888888889,0.07791426853363113,1.0,0.14456487089576028,44749,118074,0,9977
