,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q99.800,1.8866068220138477,0.7660920238653264,0.08732547105869595,0.32284253783702516,0.13746745764158594,129162,33664,6756,3221,0.8051885673281135,0.2286152929584565,1.0,0.3721511432727815,129162,33664,0,9977
Q99.810,1.9422411755324087,0.7655133302083876,0.08782489001646379,0.32615014533426884,0.1383856425959003,129029,33797,6723,3254,0.795732712973733,0.20050623329311854,0.8495539741405232,0.3244401913875598,129029,33797,1501,8476
Q99.820,2.006913745403278,0.7703454222438267,0.09192307692307693,0.3353713541144633,0.14429566379886583,129772,33054,6631,3346,0.8000324068447886,0.204093426438719,0.8495539741405232,0.329120313743763,129772,33054,1501,8476
Q99.830,2.070048352479935,0.7752180228352517,0.09368841844490738,0.3335672045705122,0.14628892942702038,130632,32194,6649,3328,0.801589092781954,0.1967364455200978,0.7903177307807958,0.31504714719514143,130632,32194,2092,7885
Q99.840,2.1401360530853197,0.7832907993495484,0.09586018183423073,0.32655106745514684,0.148212173596579,132097,30729,6719,3258,0.8100669548561078,0.20420054902367016,0.7903177307807958,0.3245456977629602,132097,30729,2092,7885
Q99.850,2.2133570206164,0.7769598907426376,0.0937739981228135,0.33046005813370755,0.14609181141439206,130964,31862,6680,3297,0.8035103557229909,0.19837975193096336,0.7903177307807958,0.3171506717078272,130964,31862,2092,7885
Q99.860,2.3045272426605106,0.7827468273120258,0.08512687757743596,0.28345193946075975,0.13093198759201816,132433,30393,7149,2828,0.8120113655434222,0.20599299858926798,0.7903177307807958,0.32680551238213656,132433,30393,2092,7885
Q99.870,2.3888490169048158,0.785848625313218,0.09738731492239401,0.3276536032875614,0.15014697776961233,132528,30298,6708,3269,0.8125611245175142,0.20650551292459995,0.7903177307807958,0.3274501661129568,132528,30298,2092,7885
Q99.880,2.5160779304503333,0.7910395074159592,0.09035615751191373,0.288864388092613,0.1376543357294677,133812,29014,7095,2882,0.8199915510726087,0.21369142795197701,0.7903177307807958,0.3364194897175527,133812,29014,2092,7885
Q99.890,2.6318745167254534,0.793927188764084,0.09197414918340709,0.28956600180414954,0.13960568280661062,134304,28522,7088,2889,0.8228387238647478,0.2165792292690966,0.7903177307807958,0.3399879268713349,134304,28522,2092,7885
Q99.900,2.752945034503838,0.8000439807179274,0.10371517027863777,0.32234138518592764,0.1569354641942174,135034,27792,6761,3216,0.8221385045398517,0.2019755355194395,0.7050215495639972,0.3139968305693815,135034,27792,2943,7034
Q99.910,2.9195659658906696,0.8064616933733789,0.101700668726026,0.3002906685376366,0.1519423876660919,136363,26463,6981,2996,0.8298293432405688,0.2099889542347076,0.7050215495639972,0.32359571237981316,136363,26463,2943,7034
Q99.920,3.1318086986534013,0.8107093048153099,0.10460221936202038,0.3013932043700511,0.15530420411114554,137086,25740,6970,3007,0.8328385502566507,0.20972644376899696,0.6846747519294377,0.3210961737331955,137086,25740,3146,6831
Q99.930,3.3886658592223666,0.8099743638709976,0.10499032347249102,0.3045003508068558,0.15614319122144268,136928,25898,6939,3038,0.8319242142786873,0.20871398453970486,0.6846747519294377,0.3199082096192572,136928,25898,3146,6831
Q99.940,3.7087480406759945,0.8191871668894637,0.10412478594296776,0.2803447930239551,0.15184994163793805,138761,24065,7180,2797,0.842531669010376,0.2210965820818229,0.6846747519294377,0.33425488708927653,138761,24065,3146,6831
Q99.950,4.153735461234614,0.8238919463203764,0.111372876847665,0.29377568407336874,0.1615142998842784,139440,23386,7046,2931,0.8464609989409906,0.22606479796141246,0.6846747519294377,0.33990147783251234,139440,23386,3146,6831
Q99.960,4.745931030273288,0.8379657760571286,0.11315732989911999,0.2642076776586148,0.15845155085357057,142167,20659,7341,2636,0.8622419749657124,0.2484903601309567,0.6846747519294377,0.36464088397790057,142167,20659,3146,6831
Q99.970,6.22184994649844,0.8464609989409906,0.10585210228084377,0.2228124686779593,0.14352120859965137,144048,18778,7754,2223,0.8731272026527317,0.26674216095903786,0.6846747519294377,0.3839150227617603,144048,18778,3146,6831
Q99.980,9.864946825024825,0.8606216327262837,0.11725447639717851,0.21659817580435,0.15214559791600663,146557,16269,7816,2161,0.8739200129627379,0.21511964492473948,0.4469279342487722,0.2904412962058297,146557,16269,5518,4459
Q99.990,24.398292833258004,0.8808990584654202,0.13282548476454292,0.19224215696101032,0.1571036572879551,150304,12522,8059,1918,0.8917206298501762,0.2322501532801962,0.3796732484714844,0.2882032944040781,150304,12522,6189,3788
Q100.000,264.7657775749608,0.9047528110044386,0.036204922724670865,0.025358324145534728,0.029826112584733274,156091,6735,9724,253,0.906650926199198,0.07941498086386004,0.058233938057532325,0.06719481871277395,156091,6735,9396,581
Qbest,0.14067327976226807,0.4028170807219782,0.07087484118069494,0.7715746216297484,0.1298243542933275,61910,100916,2279,7698,0.41600550916361406,0.08996961034510745,1.0,0.16508645652353768,61910,100916,0,9977
