,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q93.000,0.12049175083637237,0.8694097222222222,0.19887097545806823,0.4166583141224817,0.2692357512953368,146077,16746,5820,4157,0.8803877314814815,0.26552631578947367,0.6067956299488825,0.36940537572077975,146077,16746,3923,6054
Q93.100,0.12228389815241099,0.8711921296296297,0.20106129205004625,0.41395208980655507,0.27065993839701163,146412,16411,5847,4130,0.8823263888888889,0.269485866904073,0.6067956299488825,0.37321990012946177,146412,16411,3923,6054
Q93.200,0.12406697729229928,0.8727430555555555,0.2029573215963602,0.41134609602084793,0.2718060798728392,146706,16117,5873,4104,0.8840277777777777,0.2730594019214289,0.6067956299488825,0.3766330720418067,146706,16117,3923,6054
Q93.300,0.12586741900444032,0.8743576388888888,0.204968319420698,0.4085396411747018,0.2729799417339182,147013,15810,5901,4076,0.8858043981481482,0.27689352360043906,0.6067956299488825,0.38026443893093814,147013,15810,3923,6054
Q93.400,0.1277574578225613,0.8758796296296296,0.20678901896631052,0.40543249473789716,0.27388448777845487,147307,15516,5932,4045,0.8875057870370371,0.2806675938803894,0.6067956299488825,0.38380828604938666,147307,15516,3923,6054
Q93.500,0.12970014616847045,0.8774016203703704,0.2088831168831169,0.40302696201262905,0.2751565333424573,147594,15229,5956,4021,0.8891666666666667,0.28445237983367005,0.6067956299488825,0.38733205374280233,147594,15229,3923,6054
Q93.600,0.1316719019412996,0.8789814814814815,0.21121850736808748,0.4008218903477999,0.2766516776202006,147889,14934,5978,3999,0.8908738425925926,0.2884505431675243,0.6067956299488825,0.39102212175036327,147889,14934,3923,6054
Q93.700,0.13371676354110262,0.8806655092592592,0.21374784853700515,0.39831612709231234,0.2782036473100214,148205,14618,6003,3974,0.8927025462962963,0.29285990712074306,0.6067956299488825,0.39505367222421617,148205,14618,3923,6054
Q93.800,0.13586693570017816,0.8820833333333333,0.2154544957040442,0.39460759747419066,0.2787256637168141,148487,14336,6040,3937,0.8943344907407408,0.29691025012260913,0.6067956299488825,0.3987222972305463,148487,14336,3923,6054
Q93.900,0.1379939589202404,0.8834664351851852,0.2173066221480245,0.3914002205071665,0.27945754463806494,148758,14065,6072,3905,0.8959027777777778,0.3009095879516875,0.6067956299488825,0.40231259968102073,148758,14065,3923,6054
Q94.000,0.14027271062135724,0.8848668981481481,0.21919592298980747,0.3879923824797033,0.28013170749357746,149034,13789,6106,3871,0.8975,0.30509499571637355,0.6067956299488825,0.406036217303823,149034,13789,3923,6054
Q94.100,0.1427605011612177,0.8864409722222222,0.22140711645101663,0.3841836223313621,0.28091905163252595,149344,13479,6144,3833,0.8992939814814814,0.3099370296421441,0.6067956299488825,0.41030159268044736,149344,13479,3923,6054
Q94.200,0.14521733987331506,0.8879861111111111,0.22383840763205937,0.380976245364338,0.28199421322056534,149643,13180,6176,3801,0.9010243055555556,0.31475512113964854,0.6067956299488825,0.4145013864640033,149643,13180,3923,6054
Q94.300,0.14788819812238244,0.8895138888888889,0.22635845091564094,0.37786909892753334,0.28311805346951036,149938,12885,6207,3770,0.9027314814814815,0.31965784888325677,0.6067956299488825,0.4187301148153271,149938,12885,3923,6054
Q94.400,0.15073972725868223,0.8909548611111111,0.22853643600734844,0.37406033877919215,0.283726764739423,150225,12598,6245,3732,0.9043923611111111,0.32457645292730003,0.6067956299488825,0.4229278004820287,150225,12598,3923,6054
