,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,2.0413589477539062,0.9804305283757339,0.782608695652174,0.5454545454545454,0.6428571428571429,984,5,15,18,0.9951076320939335,0.868421052631579,1.0,0.9295774647887324,984,5,0,33
Q91.000,2.1185526537895245,0.9804305283757339,0.782608695652174,0.5454545454545454,0.6428571428571429,984,5,15,18,0.9951076320939335,0.868421052631579,1.0,0.9295774647887324,984,5,0,33
Q92.000,2.6302066421508803,0.9716242661448141,0.75,0.18181818181818182,0.2926829268292683,987,2,27,6,0.974559686888454,0.8181818181818182,0.2727272727272727,0.4090909090909091,987,2,24,9
Q93.000,2.919597222805023,0.9696673189823874,0.75,0.09090909090909091,0.16216216216216214,988,1,30,3,0.9755381604696673,0.9,0.2727272727272727,0.41860465116279066,988,1,24,9
Q94.000,3.15592924118042,0.9686888454011742,0.6666666666666666,0.06060606060606061,0.1111111111111111,988,1,31,2,0.9686888454011742,0.6666666666666666,0.06060606060606061,0.1111111111111111,988,1,31,2
Q95.000,3.408133339881902,0.9686888454011742,0.6666666666666666,0.06060606060606061,0.1111111111111111,988,1,31,2,0.9686888454011742,0.6666666666666666,0.06060606060606061,0.1111111111111111,988,1,31,2
Q96.000,4.521423683166508,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q97.000,5.281942758560225,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q98.000,7.294656858444251,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q99.000,11.314674043655403,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q100.000,13.274076461791992,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q_off_f1_best,10.700702667236328,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
