,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.1724920272827148,0.10098039215686275,0.029787234042553193,0.8484848484848485,0.05755395683453238,75,912,5,28,0.10588235294117647,0.03492063492063492,1.0,0.06748466257668712,75,912,0,33
Q81.000,1.2377538263797772,0.10686274509803921,0.029978586723768737,0.8484848484848485,0.057911065149948295,81,906,5,28,0.11176470588235295,0.03514376996805112,1.0,0.06790123456790124,81,906,0,33
Q82.000,1.2804364442825324,0.10784313725490197,0.030010718113612004,0.8484848484848485,0.057971014492753624,82,905,5,28,0.11274509803921569,0.035181236673773986,1.0,0.06797116374871266,82,905,0,33
Q83.000,1.3559700191020967,0.11274509803921569,0.03017241379310345,0.8484848484848485,0.05827263267429761,87,900,5,28,0.11764705882352941,0.03536977491961415,1.0,0.06832298136645962,87,900,0,33
Q84.000,1.4302009344100954,0.11568627450980393,0.03027027027027027,0.8484848484848485,0.05845511482254697,90,897,5,28,0.12058823529411765,0.035483870967741936,1.0,0.06853582554517135,90,897,0,33
Q85.000,1.5245822370052364,0.11764705882352941,0.030335861321776816,0.8484848484848485,0.05857740585774059,92,895,5,28,0.12254901960784313,0.03556034482758621,1.0,0.06867845993756504,92,895,0,33
Q86.000,1.6238023400306714,0.12549019607843137,0.030601092896174863,0.8484848484848485,0.05907172995780591,100,887,5,28,0.1303921568627451,0.035869565217391305,1.0,0.06925498426023086,100,887,0,33
Q87.000,1.7300413727760318,0.13137254901960785,0.030803080308030802,0.8484848484848485,0.05944798301486199,106,881,5,28,0.13627450980392156,0.036105032822757115,1.0,0.06969376979936644,106,881,0,33
Q88.000,1.882144665718079,0.13823529411764707,0.03,0.8181818181818182,0.05787781350482315,114,873,6,27,0.14411764705882352,0.03642384105960265,1.0,0.07028753993610223,114,873,0,33
Q89.000,2.096136426925665,0.1411764705882353,0.030100334448160536,0.8181818181818182,0.05806451612903226,117,870,6,27,0.14705882352941177,0.036544850498338874,1.0,0.07051282051282053,117,870,0,33
Q90.000,2.4751029014587447,0.15,0.030405405405405407,0.8181818181818182,0.05863192182410425,126,861,6,27,0.15588235294117647,0.03691275167785235,1.0,0.07119741100323625,126,861,0,33
Q91.000,2.7237778902053864,0.15490196078431373,0.030577576443941108,0.8181818181818182,0.05895196506550218,131,856,6,27,0.1607843137254902,0.03712035995500562,1.0,0.07158351409978307,131,856,0,33
Q92.000,2.9061412334442207,0.1568627450980392,0.02957906712172924,0.7878787878787878,0.05701754385964913,134,853,7,26,0.1568627450980392,0.02957906712172924,0.7878787878787878,0.05701754385964913,134,853,7,26
Q93.000,3.1677827596664514,0.1607843137254902,0.0286368843069874,0.7575757575757576,0.05518763796909492,139,848,8,25,0.16176470588235295,0.029748283752860413,0.7878787878787878,0.057331863285556776,139,848,7,26
Q94.000,3.449003982543952,0.15980392156862744,0.027522935779816515,0.7272727272727273,0.05303867403314917,139,848,9,24,0.16176470588235295,0.029748283752860413,0.7878787878787878,0.057331863285556776,139,848,7,26
Q95.000,3.8397278189659407,0.1627450980392157,0.02761795166858458,0.7272727272727273,0.05321507760532151,142,845,9,24,0.16470588235294117,0.029850746268656716,0.7878787878787878,0.05752212389380531,142,845,7,26
Q96.000,5.02883243560791,0.1607843137254902,0.023174971031286212,0.6060606060606061,0.04464285714285715,144,843,13,20,0.16666666666666666,0.02991944764096663,0.7878787878787878,0.057649667405764965,144,843,7,26
Q97.000,6.102208113670368,0.20588235294117646,0.023312883435582823,0.5757575757575758,0.044811320754716985,191,796,14,19,0.21274509803921568,0.031630170316301706,0.7878787878787878,0.06081871345029241,191,796,7,26
Q98.000,8.179357433319108,0.5411764705882353,0.019867549668874173,0.2727272727272727,0.03703703703703704,543,444,24,9,0.557843137254902,0.05531914893617021,0.7878787878787878,0.10337972166998012,543,444,7,26
Q99.000,12.265392827987679,0.9686274509803922,1.0,0.030303030303030304,0.05882352941176471,987,0,32,1,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q100.000,12.927144050598145,0.9686274509803922,1.0,0.030303030303030304,0.05882352941176471,987,0,32,1,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Qbest,0.6017211675643921,0.07352941176470588,0.03278688524590164,0.9696969696969697,0.06342913776015857,43,944,1,32,0.07450980392156863,0.033776867963152504,1.0,0.06534653465346534,43,944,0,33
