,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,2.0413589477539062,0.13013698630136986,0.02967032967032967,0.8181818181818182,0.05726405090137857,106,883,6,27,0.1360078277886497,0.036026200873362446,1.0,0.06954689146469968,106,883,0,33
Q91.000,2.1185526537895245,0.13307240704500978,0.029768467475192944,0.8181818181818182,0.0574468085106383,109,880,6,27,0.13894324853228962,0.03614457831325301,1.0,0.06976744186046512,109,880,0,33
Q92.000,2.6302066421508803,0.15655577299412915,0.030577576443941108,0.8181818181818182,0.05895196506550218,133,856,6,27,0.162426614481409,0.03712035995500562,1.0,0.07158351409978307,133,856,0,33
Q93.000,2.919597222805023,0.16046966731898238,0.030716723549488054,0.8181818181818182,0.05921052631578947,137,852,6,27,0.16634050880626222,0.03728813559322034,1.0,0.0718954248366013,137,852,0,33
Q94.000,3.15592924118042,0.16144814090019569,0.030751708428246014,0.8181818181818182,0.059275521405049394,138,851,6,27,0.16731898238747553,0.03733031674208145,1.0,0.07197382769901853,138,851,0,33
Q95.000,3.408133339881902,0.1634050880626223,0.030821917808219176,0.8181818181818182,0.0594059405940594,140,849,6,27,0.16927592954990214,0.03741496598639456,1.0,0.07213114754098361,140,849,0,33
Q96.000,4.521423683166508,0.16144814090019569,0.026436781609195402,0.696969696969697,0.05094130675526024,142,847,10,23,0.1643835616438356,0.029782359679266894,0.7878787878787878,0.05739514348785872,142,847,7,26
Q97.000,5.281942758560225,0.15949119373776907,0.024193548387096774,0.6363636363636364,0.04661487236403995,142,847,12,21,0.1643835616438356,0.029782359679266894,0.7878787878787878,0.05739514348785872,142,847,7,26
Q98.000,7.294656858444251,0.17221135029354206,0.01893491124260355,0.48484848484848486,0.03644646924829156,160,829,17,16,0.18199608610567514,0.0304093567251462,0.7878787878787878,0.05855855855855856,160,829,7,26
Q99.000,11.314674043655403,0.9686888454011742,1.0,0.030303030303030304,0.05882352941176471,989,0,32,1,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q100.000,13.274076461791992,0.9686888454011742,1.0,0.030303030303030304,0.05882352941176471,989,0,32,1,0.9696673189823874,1.0,0.06060606060606061,0.1142857142857143,989,0,31,2
Q_off_f1_best,10.700702667236328,0.9677103718199609,0.5,0.030303030303030304,0.05714285714285715,988,1,32,1,0.9686888454011742,0.6666666666666666,0.06060606060606061,0.1111111111111111,988,1,31,2
