,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.1724920272827148,0.1284313725490196,0.028634361233480177,0.7878787878787878,0.05526036131774708,105,882,7,26,0.1284313725490196,0.028634361233480177,0.7878787878787878,0.05526036131774708,105,882,7,26
Q81.000,1.2377538263797772,0.1392156862745098,0.028985507246376812,0.7878787878787878,0.05591397849462366,116,871,7,26,0.1392156862745098,0.028985507246376812,0.7878787878787878,0.05591397849462366,116,871,7,26
Q82.000,1.2804364442825324,0.14705882352941177,0.02924634420697413,0.7878787878787878,0.05639913232104122,124,863,7,26,0.14705882352941177,0.02924634420697413,0.7878787878787878,0.05639913232104122,124,863,7,26
Q83.000,1.3559700191020967,0.15784313725490196,0.029612756264236904,0.7878787878787878,0.0570801317233809,135,852,7,26,0.15784313725490196,0.029612756264236904,0.7878787878787878,0.0570801317233809,135,852,7,26
Q84.000,1.4302009344100954,0.17058823529411765,0.03005780346820809,0.7878787878787878,0.0579064587973274,148,839,7,26,0.17058823529411765,0.03005780346820809,0.7878787878787878,0.0579064587973274,148,839,7,26
Q85.000,1.5245822370052364,0.18823529411764706,0.030696576151121605,0.7878787878787878,0.05909090909090909,166,821,7,26,0.18823529411764706,0.030696576151121605,0.7878787878787878,0.05909090909090909,166,821,7,26
Q86.000,1.6238023400306714,0.2068627450980392,0.03140096618357488,0.7878787878787878,0.06039488966318234,185,802,7,26,0.2068627450980392,0.03140096618357488,0.7878787878787878,0.06039488966318234,185,802,7,26
Q87.000,1.7300413727760318,0.2235294117647059,0.032059186189889025,0.7878787878787878,0.061611374407582936,202,785,7,26,0.2235294117647059,0.032059186189889025,0.7878787878787878,0.061611374407582936,202,785,7,26
Q88.000,1.882144665718079,0.25392156862745097,0.03333333333333333,0.7878787878787878,0.06396063960639606,233,754,7,26,0.25392156862745097,0.03333333333333333,0.7878787878787878,0.06396063960639606,233,754,7,26
Q89.000,2.096136426925665,0.2931372549019608,0.03513513513513514,0.7878787878787878,0.06727037516170764,273,714,7,26,0.2931372549019608,0.03513513513513514,0.7878787878787878,0.06727037516170764,273,714,7,26
Q90.000,2.4751029014587447,0.37549019607843137,0.039634146341463415,0.7878787878787878,0.07547169811320754,357,630,7,26,0.37549019607843137,0.039634146341463415,0.7878787878787878,0.07547169811320754,357,630,7,26
Q91.000,2.7237778902053864,0.44019607843137254,0.04406779661016949,0.7878787878787878,0.08346709470304975,423,564,7,26,0.44019607843137254,0.04406779661016949,0.7878787878787878,0.08346709470304975,423,564,7,26
Q92.000,2.9061412334442207,0.4764705882352941,0.04371584699453552,0.7272727272727273,0.08247422680412371,462,525,9,24,0.47843137254901963,0.047186932849364795,0.7878787878787878,0.08904109589041097,462,525,7,26
Q93.000,3.1677827596664514,0.5107843137254902,0.04669260700389105,0.7272727272727273,0.08775137111517367,497,490,9,24,0.5127450980392156,0.050387596899224806,0.7878787878787878,0.0947176684881603,497,490,7,26
Q94.000,3.449003982543952,0.55,0.05063291139240506,0.7272727272727273,0.09467455621301775,537,450,9,24,0.5519607843137255,0.0546218487394958,0.7878787878787878,0.10216110019646366,537,450,7,26
Q95.000,3.8397278189659407,0.6127450980392157,0.056372549019607844,0.696969696969697,0.10430839002267574,602,385,10,23,0.615686274509804,0.06326034063260341,0.7878787878787878,0.11711711711711713,602,385,7,26
Q96.000,5.02883243560791,0.7705882352941177,0.08298755186721991,0.6060606060606061,0.145985401459854,766,221,13,20,0.7764705882352941,0.10526315789473684,0.7878787878787878,0.18571428571428572,766,221,7,26
Q97.000,6.102208113670368,0.8627450980392157,0.12056737588652482,0.5151515151515151,0.19540229885057472,863,124,16,17,0.8715686274509804,0.17333333333333334,0.7878787878787878,0.28415300546448086,863,124,7,26
Q98.000,8.179357433319108,0.95,0.17857142857142858,0.15151515151515152,0.16393442622950818,964,23,28,5,0.9705882352941176,0.5306122448979592,0.7878787878787878,0.6341463414634148,964,23,7,26
Q99.000,12.265392827987679,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q100.000,12.927144050598145,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
