,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.1724920272827148,0.9176470588235294,0.2782608695652174,0.9696969696969697,0.4324324324324325,904,83,1,32,0.9186274509803921,0.28448275862068967,1.0,0.44295302013422816,904,83,0,33
Q81.000,1.2377538263797772,0.9215686274509803,0.2803738317757009,0.9090909090909091,0.42857142857142855,910,77,3,30,0.9245098039215687,0.3,1.0,0.4615384615384615,910,77,0,33
Q82.000,1.2804364442825324,0.9274509803921569,0.297029702970297,0.9090909090909091,0.44776119402985076,916,71,3,30,0.9303921568627451,0.3173076923076923,1.0,0.4817518248175182,916,71,0,33
Q83.000,1.3559700191020967,0.9333333333333333,0.3157894736842105,0.9090909090909091,0.46875,922,65,3,30,0.9362745098039216,0.336734693877551,1.0,0.5038167938931297,922,65,0,33
Q84.000,1.4302009344100954,0.942156862745098,0.3488372093023256,0.9090909090909091,0.5042016806722689,931,56,3,30,0.9450980392156862,0.3707865168539326,1.0,0.5409836065573771,931,56,0,33
Q85.000,1.5245822370052364,0.9450980392156862,0.3614457831325301,0.9090909090909091,0.5172413793103449,934,53,3,30,0.9480392156862745,0.38372093023255816,1.0,0.5546218487394958,934,53,0,33
Q86.000,1.6238023400306714,0.95,0.38461538461538464,0.9090909090909091,0.5405405405405405,939,48,3,30,0.9529411764705882,0.4074074074074074,1.0,0.5789473684210525,939,48,0,33
Q87.000,1.7300413727760318,0.953921568627451,0.4,0.8484848484848485,0.5436893203883495,945,42,5,28,0.9588235294117647,0.44,1.0,0.6111111111111112,945,42,0,33
Q88.000,1.882144665718079,0.9598039215686275,0.43548387096774194,0.8181818181818182,0.5684210526315789,952,35,6,27,0.9656862745098039,0.4852941176470588,1.0,0.6534653465346535,952,35,0,33
Q89.000,2.096136426925665,0.9656862745098039,0.48,0.7272727272727273,0.5783132530120482,961,26,9,24,0.9745098039215686,0.559322033898305,1.0,0.717391304347826,961,26,0,33
Q90.000,2.4751029014587447,0.9754901960784313,0.6,0.7272727272727273,0.6575342465753425,971,16,9,24,0.984313725490196,0.673469387755102,1.0,0.8048780487804877,971,16,0,33
Q91.000,2.7237778902053864,0.9764705882352941,0.6216216216216216,0.696969696969697,0.6571428571428571,973,14,10,23,0.9862745098039216,0.7021276595744681,1.0,0.825,973,14,0,33
Q92.000,2.9061412334442207,0.9774509803921568,0.65625,0.6363636363636364,0.6461538461538462,976,11,12,21,0.9892156862745098,0.75,1.0,0.8571428571428571,976,11,0,33
Q93.000,3.1677827596664514,0.9794117647058823,0.7727272727272727,0.5151515151515151,0.6181818181818182,982,5,16,17,0.9950980392156863,0.868421052631579,1.0,0.9295774647887324,982,5,0,33
Q94.000,3.449003982543952,0.9754901960784313,0.7857142857142857,0.3333333333333333,0.4680851063829786,984,3,22,11,0.9970588235294118,0.9166666666666666,1.0,0.9565217391304348,984,3,0,33
Q95.000,3.8397278189659407,0.9764705882352941,0.9090909090909091,0.30303030303030304,0.45454545454545453,986,1,23,10,0.9990196078431373,0.9705882352941176,1.0,0.9850746268656716,986,1,0,33
Q96.000,5.02883243560791,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q97.000,6.102208113670368,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q98.000,8.179357433319108,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q99.000,12.265392827987679,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
Q100.000,12.927144050598145,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2,0.9696078431372549,1.0,0.06060606060606061,0.1142857142857143,987,0,31,2
