,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.5077989339828495,0.9746835443037974,0.1111111111111111,0.6,0.18750000000000003,,998,24,2,3,0.9756572541382668,0.14285714285714285,0.8,0.24242424242424243,998,24,1,4
Q81.000,1.5435307812690735,0.9746835443037974,0.1111111111111111,0.6,0.18750000000000003,,998,24,2,3,0.9756572541382668,0.14285714285714285,0.8,0.24242424242424243,998,24,1,4
Q82.000,1.5620564627647402,0.9756572541382668,0.11538461538461539,0.6,0.1935483870967742,,999,23,2,3,0.9766309639727361,0.14814814814814814,0.8,0.25,999,23,1,4
Q83.000,1.613971749544145,0.9805258033106135,0.14285714285714285,0.6,0.23076923076923073,,1004,18,2,3,0.9814995131450828,0.18181818181818182,0.8,0.2962962962962963,1004,18,1,4
Q84.000,1.7180011796951296,0.98539435248296,0.1875,0.6,0.2857142857142857,,1009,13,2,3,0.9863680623174295,0.23529411764705882,0.8,0.3636363636363636,1009,13,1,4
Q85.000,1.755963790416718,0.9863680623174295,0.2,0.6,0.3,,1010,12,2,3,0.9873417721518988,0.25,0.8,0.38095238095238093,1010,12,1,4
Q86.000,1.8061626958847052,0.9873417721518988,0.21428571428571427,0.6,0.3157894736842105,,1011,11,2,3,0.9883154819863681,0.26666666666666666,0.8,0.4,1011,11,1,4
Q87.000,1.8959589898586278,0.991236611489776,0.3,0.6,0.4,,1015,7,2,3,0.9922103213242454,0.36363636363636365,0.8,0.5000000000000001,1015,7,1,4
Q88.000,1.9419156169891358,0.9922103213242454,0.3333333333333333,0.6,0.42857142857142855,,1016,6,2,3,0.9931840311587147,0.4,0.8,0.5333333333333333,1016,6,1,4
Q89.000,1.9637848806381244,0.9931840311587147,0.375,0.6,0.4615384615384615,,1017,5,2,3,0.994157740993184,0.4444444444444444,0.8,0.5714285714285714,1017,5,1,4
Q90.000,2.106936144828797,0.9951314508276533,0.5,0.6,0.5454545454545454,,1019,3,2,3,0.9961051606621227,0.5714285714285714,0.8,0.6666666666666666,1019,3,1,4
Q91.000,2.1403003382682804,0.997078870496592,0.75,0.6,0.6666666666666665,,1021,1,2,3,0.9980525803310614,0.8,0.8,0.8000000000000002,1021,1,1,4
Q92.000,2.2261327171325704,0.997078870496592,0.75,0.6,0.6666666666666665,,1021,1,2,3,0.9980525803310614,0.8,0.8,0.8000000000000002,1021,1,1,4
Q93.000,2.2748072504997263,0.997078870496592,0.75,0.6,0.6666666666666665,,1021,1,2,3,0.9980525803310614,0.8,0.8,0.8000000000000002,1021,1,1,4
Q94.000,2.447192034721375,0.9980525803310614,1.0,0.6,0.7499999999999999,,1022,0,2,3,0.9990262901655307,1.0,0.8,0.888888888888889,1022,0,1,4
Q95.000,2.761779856681824,0.997078870496592,1.0,0.4,0.5714285714285715,,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
Q96.000,3.0096040630340615,0.997078870496592,1.0,0.4,0.5714285714285715,,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
Q97.000,3.1185075235366893,0.997078870496592,1.0,0.4,0.5714285714285715,,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
Q98.000,3.483095335960401,0.997078870496592,1.0,0.4,0.5714285714285715,,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
Q99.000,4.385546669960039,0.997078870496592,1.0,0.4,0.5714285714285715,,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
Q100.000,23.915340423583984,0.9951314508276533,1.0,0.0,0.0,,1022,0,5,0,0.9951314508276533,1.0,0.0,0.0,1022,0,5,0
Q_off_f1_best,18.926610946655273,0.9951314508276533,1.0,0.0,0.0,0.953228962818004,1022,0,5,0,0.9951314508276533,1.0,0.0,0.0,1022,0,5,0
