,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.5077989339828495,0.45764362220058424,0.008896797153024912,1.0,0.017636684303350973,,465,557,0,5,0.45764362220058424,0.008896797153024912,1.0,0.017636684303350973,465,557,0,5
Q81.000,1.5435307812690735,0.4605647517039922,0.008944543828264758,1.0,0.01773049645390071,,468,554,0,5,0.4605647517039922,0.008944543828264758,1.0,0.01773049645390071,468,554,0,5
Q82.000,1.5620564627647402,0.4625121713729309,0.008976660682226212,1.0,0.017793594306049824,,470,552,0,5,0.4625121713729309,0.008976660682226212,1.0,0.017793594306049824,470,552,0,5
Q83.000,1.613971749544145,0.46932814021421615,0.00909090909090909,1.0,0.018018018018018018,,477,545,0,5,0.46932814021421615,0.00909090909090909,1.0,0.018018018018018018,477,545,0,5
Q84.000,1.7180011796951296,0.4780915287244401,0.009242144177449169,1.0,0.01831501831501832,,486,536,0,5,0.4780915287244401,0.009242144177449169,1.0,0.01831501831501832,486,536,0,5
Q85.000,1.755963790416718,0.4800389483933788,0.00927643784786642,1.0,0.01838235294117647,,488,534,0,5,0.4800389483933788,0.00927643784786642,1.0,0.01838235294117647,488,534,0,5
Q86.000,1.8061626958847052,0.48588120740019475,0.009380863039399626,1.0,0.01858736059479554,,494,528,0,5,0.48588120740019475,0.009380863039399626,1.0,0.01858736059479554,494,528,0,5
Q87.000,1.8959589898586278,0.49269717624148,0.009505703422053232,1.0,0.018832391713747648,,501,521,0,5,0.49269717624148,0.009505703422053232,1.0,0.018832391713747648,501,521,0,5
Q88.000,1.9419156169891358,0.49951314508276534,0.009633911368015413,1.0,0.019083969465648852,,508,514,0,5,0.49951314508276534,0.009633911368015413,1.0,0.019083969465648852,508,514,0,5
Q89.000,1.9637848806381244,0.5034079844206426,0.009708737864077669,1.0,0.01923076923076923,,512,510,0,5,0.5034079844206426,0.009708737864077669,1.0,0.01923076923076923,512,510,0,5
Q90.000,2.106936144828797,0.5150925024342746,0.009940357852882704,1.0,0.01968503937007874,,524,498,0,5,0.5150925024342746,0.009940357852882704,1.0,0.01968503937007874,524,498,0,5
Q91.000,2.1403003382682804,0.5150925024342746,0.009940357852882704,1.0,0.01968503937007874,,524,498,0,5,0.5150925024342746,0.009940357852882704,1.0,0.01968503937007874,524,498,0,5
Q92.000,2.2261327171325704,0.5248296007789679,0.010141987829614604,1.0,0.020080321285140566,,534,488,0,5,0.5248296007789679,0.010141987829614604,1.0,0.020080321285140566,534,488,0,5
Q93.000,2.2748072504997263,0.5306718597857838,0.01026694045174538,1.0,0.020325203252032516,,540,482,0,5,0.5306718597857838,0.01026694045174538,1.0,0.020325203252032516,540,482,0,5
Q94.000,2.447192034721375,0.5443037974683544,0.010570824524312896,1.0,0.020920502092050212,,554,468,0,5,0.5443037974683544,0.010570824524312896,1.0,0.020920502092050212,554,468,0,5
Q95.000,2.761779856681824,0.5813047711781889,0.011494252873563218,1.0,0.022727272727272724,,592,430,0,5,0.5813047711781889,0.011494252873563218,1.0,0.022727272727272724,592,430,0,5
Q96.000,3.0096040630340615,0.6046738072054528,0.012165450121654502,1.0,0.024038461538461536,,616,406,0,5,0.6046738072054528,0.012165450121654502,1.0,0.024038461538461536,616,406,0,5
Q97.000,3.1185075235366893,0.6134371957156767,0.012437810945273632,1.0,0.024570024570024572,,625,397,0,5,0.6134371957156767,0.012437810945273632,1.0,0.024570024570024572,625,397,0,5
Q98.000,3.483095335960401,0.6465433300876339,0.01358695652173913,1.0,0.02680965147453083,,659,363,0,5,0.6465433300876339,0.01358695652173913,1.0,0.02680965147453083,659,363,0,5
Q99.000,4.385546669960039,0.7039922103213242,0.013029315960912053,0.8,0.02564102564102564,,719,303,1,4,0.7039922103213242,0.013029315960912053,0.8,0.02564102564102564,719,303,1,4
Q100.000,23.915340423583984,0.9961051606621227,1.0,0.2,0.33333333333333337,,1022,0,4,1,0.9961051606621227,1.0,0.2,0.33333333333333337,1022,0,4,1
Q_off_f1_best,18.926610946655273,0.9892891918208374,0.25,0.6,0.35294117647058826,0.9213307240704501,1013,9,2,3,0.9902629016553067,0.3076923076923077,0.8,0.4444444444444444,1013,9,1,4
