,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q80.000,1.5077989339828495,0.45861733203505356,0.008912655971479501,1.0,0.017667844522968195,0.9209393346379648,466,556,0,5,0.45861733203505356,0.008912655971479501,1.0,0.017667844522968195,466,556,0,5
Q81.000,1.5435307812690735,0.4605647517039922,0.008944543828264758,1.0,0.01773049645390071,0.9209393346379648,468,554,0,5,0.4605647517039922,0.008944543828264758,1.0,0.01773049645390071,468,554,0,5
Q82.000,1.5620564627647402,0.4625121713729309,0.008976660682226212,1.0,0.017793594306049824,0.9211350293542074,470,552,0,5,0.4625121713729309,0.008976660682226212,1.0,0.017793594306049824,470,552,0,5
Q83.000,1.613971749544145,0.47517039922103216,0.009191176470588236,1.0,0.01821493624772313,0.9211350293542075,483,539,0,5,0.47517039922103216,0.009191176470588236,1.0,0.01821493624772313,483,539,0,5
Q84.000,1.7180011796951296,0.4819863680623174,0.00931098696461825,1.0,0.018450184501845022,0.9211350293542073,490,532,0,5,0.4819863680623174,0.00931098696461825,1.0,0.018450184501845022,490,532,0,5
Q85.000,1.755963790416718,0.48490749756572543,0.009363295880149813,1.0,0.01855287569573284,0.9211350293542073,493,529,0,5,0.48490749756572543,0.009363295880149813,1.0,0.01855287569573284,493,529,0,5
Q86.000,1.8061626958847052,0.48977604673807207,0.00945179584120983,1.0,0.018726591760299623,0.9211350293542074,498,524,0,5,0.48977604673807207,0.00945179584120983,1.0,0.018726591760299623,498,524,0,5
Q87.000,1.8959589898586278,0.5004868549172347,0.009652509652509652,1.0,0.01912045889101338,0.9211350293542074,509,513,0,5,0.5004868549172347,0.009652509652509652,1.0,0.01912045889101338,509,513,0,5
Q88.000,1.9419156169891358,0.5034079844206426,0.009708737864077669,1.0,0.01923076923076923,0.9211350293542075,512,510,0,5,0.5034079844206426,0.009708737864077669,1.0,0.01923076923076923,512,510,0,5
Q89.000,1.9637848806381244,0.50730282375852,0.009784735812133072,1.0,0.01937984496124031,0.9209393346379647,516,506,0,5,0.50730282375852,0.009784735812133072,1.0,0.01937984496124031,516,506,0,5
Q90.000,2.106936144828797,0.5209347614410905,0.01006036217303823,1.0,0.0199203187250996,0.9207436399217221,530,492,0,5,0.5209347614410905,0.01006036217303823,1.0,0.0199203187250996,530,492,0,5
Q91.000,2.1403003382682804,0.5277507302823758,0.01020408163265306,1.0,0.020202020202020204,0.9209393346379648,537,485,0,5,0.5277507302823758,0.01020408163265306,1.0,0.020202020202020204,537,485,0,5
Q92.000,2.2261327171325704,0.5355404089581305,0.01037344398340249,1.0,0.02053388090349076,0.9211350293542075,545,477,0,5,0.5355404089581305,0.01037344398340249,1.0,0.02053388090349076,545,477,0,5
Q93.000,2.2748072504997263,0.5413826679649465,0.01050420168067227,1.0,0.02079002079002079,0.9213307240704501,551,471,0,5,0.5413826679649465,0.01050420168067227,1.0,0.02079002079002079,551,471,0,5
Q94.000,2.447192034721375,0.5589094449853943,0.010917030567685589,1.0,0.02159827213822894,0.9215264187866927,569,453,0,5,0.5589094449853943,0.010917030567685589,1.0,0.02159827213822894,569,453,0,5
Q95.000,2.761779856681824,0.5959104186952289,0.011904761904761904,1.0,0.023529411764705882,0.9211350293542074,607,415,0,5,0.5959104186952289,0.011904761904761904,1.0,0.023529411764705882,607,415,0,5
Q96.000,3.0096040630340615,0.620253164556962,0.012658227848101266,1.0,0.024999999999999998,0.920156555772994,632,390,0,5,0.620253164556962,0.012658227848101266,1.0,0.024999999999999998,632,390,0,5
Q97.000,3.1185075235366893,0.631937682570594,0.013054830287206266,1.0,0.02577319587628866,0.9205479452054794,644,378,0,5,0.631937682570594,0.013054830287206266,1.0,0.02577319587628866,644,378,0,5
Q98.000,3.483095335960401,0.6611489776046738,0.011396011396011397,0.8,0.02247191011235955,0.9201565557729942,675,347,1,4,0.6611489776046738,0.011396011396011397,0.8,0.02247191011235955,675,347,1,4
Q99.000,4.385546669960039,0.7370983446932814,0.014652014652014652,0.8,0.02877697841726619,0.9197651663405088,753,269,1,4,0.7370983446932814,0.014652014652014652,0.8,0.02877697841726619,753,269,1,4
Q100.000,23.915340423583984,0.9951314508276533,1.0,0.0,0.0,0.9099804305283757,1022,0,5,0,0.9951314508276533,1.0,0.0,0.0,1022,0,5,0
Q_off_f1_best,18.926610946655273,0.997078870496592,1.0,0.4,0.5714285714285715,0.9101761252446183,1022,0,3,2,0.997078870496592,1.0,0.4,0.5714285714285715,1022,0,3,2
