,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09933870881795884,0.7214404089772759,0.004571830490592579,0.8161434977578476,0.009092725819344524,102554,39627,41,182,0.7214404089772759,0.004571830490592579,0.8161434977578476,0.009092725819344524,102554,39627,41,182
Q91.000,0.09943928167223931,0.8097595573158057,0.006284454244762955,0.7668161434977578,0.012466737141399044,115142,27039,52,171,0.8097595573158057,0.006284454244762955,0.7668161434977578,0.012466737141399044,115142,27039,52,171
Q92.000,0.0995352503657341,0.8549057610741271,0.007849747170719961,0.7309417040358744,0.015532685344006097,121579,20602,60,163,0.8549057610741271,0.007849747170719961,0.7309417040358744,0.015532685344006097,121579,20602,60,163
Q93.000,0.09963791519403457,0.8826788573354681,0.008761473357968768,0.6591928251121076,0.017293100405858478,125550,16631,76,147,0.8826788573354681,0.008761473357968768,0.6591928251121076,0.017293100405858478,125550,16631,76,147
Q94.000,0.09975618541240693,0.9035911912586725,0.009941944847605225,0.6143497757847534,0.019567235592373063,128538,13643,86,137,0.9035911912586725,0.009941944847605225,0.6143497757847534,0.019567235592373063,128538,13643,86,137
Q95.000,0.09989776611328126,0.9218842167354849,0.010683185205135112,0.5336322869955157,0.02094701637035733,131161,11020,104,119,0.9218912390101401,0.010771992818671455,0.5381165919282511,0.02112118278623603,131161,11020,103,120
Q96.000,0.10008652091026306,0.9410971601921294,0.013002505069784088,0.48878923766816146,0.025331164303973974,133907,8274,114,109,0.9411041824667846,0.013120229007633587,0.49327354260089684,0.02556059021726502,133907,8274,113,110
Q97.000,0.10032056659460067,0.9584702676891098,0.016811003565970453,0.4439461883408072,0.03239528795811518,136391,5790,124,99,0.9584843122384202,0.017144797148192156,0.452914798206278,0.03303892705266601,136391,5790,122,101
Q98.000,0.10074809908866884,0.9785890845762759,0.025201612903225805,0.336322869955157,0.04688965301656767,139280,2901,148,75,0.9785961068509311,0.025529056096741685,0.34080717488789236,0.0475,139280,2901,147,76
Q99.000,0.10168593093752862,0.9922474087806522,0.06342913776015857,0.28699551569506726,0.10389610389610389,141236,945,159,64,0.9922544310553074,0.06435643564356436,0.2914798206278027,0.10543390105433902,141236,945,158,65
Q100.000,0.12383224815130234,0.998434032751889,1.0,0.0,0.0,142181,0,223,0,0.998434032751889,1.0,0.0,0.0,142181,0,223,0
Qbest,0.10520600527524948,0.997549226145333,0.2028301886792453,0.19282511210762332,0.19770114942528735,142012,169,180,43,0.9975913597932642,0.22477064220183487,0.21973094170403587,0.2222222222222222,142012,169,174,49
