,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09949199259281158,0.8468582343192607,0.007753705815279362,0.7623318385650224,0.015351273252663897,,120426,21755,53,170,0.8468582343192607,0.007753705815279362,0.7623318385650224,0.015351273252663897,120426,21755,53,170
Q91.000,0.09956062793731689,0.8657341085924553,0.008581682009673896,0.7399103139013453,0.01696658097686375,,123119,19062,58,165,0.8657341085924553,0.008581682009673896,0.7399103139013453,0.01696658097686375,123119,19062,58,165
Q92.000,0.09962934613227845,0.8805581303895959,0.00935344323629136,0.7174887892376681,0.01846615500028853,,125235,16946,63,160,0.8805581303895959,0.00935344323629136,0.7174887892376681,0.01846615500028853,125235,16946,63,160
Q93.000,0.09971623346209527,0.8956560208982893,0.010042849491162293,0.672645739910314,0.019790223629527016,,127395,14786,73,150,0.8956560208982893,0.010042849491162293,0.672645739910314,0.019790223629527016,127395,14786,73,150
Q94.000,0.09982652068138123,0.9116106289149182,0.010995095712703686,0.6233183856502242,0.021609016712009328,,129678,12503,84,139,0.9116106289149182,0.010995095712703686,0.6233183856502242,0.021609016712009328,129678,12503,84,139
Q95.000,0.09995366483926774,0.9266031853037836,0.012579815114838465,0.5919282511210763,0.024636058230683093,,131820,10361,91,132,0.9266102075784388,0.012673908900323995,0.5964125560538116,0.024820378837361202,131820,10361,90,133
Q96.000,0.1001049679517746,0.9420521895452375,0.013924203898777092,0.515695067264574,0.02711624616835652,,134037,8144,108,115,0.9420592118198927,0.014043583535108959,0.5201793721973094,0.027348815277614055,134037,8144,107,116
Q97.000,0.1003214180469513,0.9574169264908289,0.01703323962295353,0.4618834080717489,0.032854864433811796,,136237,5944,120,103,0.9574239487654841,0.017195767195767195,0.4663677130044843,0.0331685536597034,136237,5944,119,104
Q98.000,0.10071404904127121,0.9750779472486728,0.024041213508872353,0.37668161434977576,0.04519774011299435,,138771,3410,139,84,0.9750779472486728,0.024041213508872353,0.37668161434977576,0.04519774011299435,138771,3410,139,84
Q99.000,0.10142005816102027,0.9891576079323614,0.047292666209732694,0.3094170403587444,0.08204518430439953,,140791,1390,154,69,0.9891576079323614,0.047292666209732694,0.3094170403587444,0.08204518430439953,140791,1390,154,69
Q100.000,0.12481051683425903,0.998434032751889,1.0,0.0,0.0,,142181,0,223,0,0.998434032751889,1.0,0.0,0.0,142181,0,223,0
Q_off_f1_best,0.104459747672081,0.9975070924974018,0.19158878504672897,0.18385650224215247,0.18764302059496568,0.864388466756657,142008,173,182,41,0.997514114772057,0.19534883720930232,0.18834080717488788,0.19178082191780824,142008,173,181,42
