,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.10058465227484703,0.4488795518207283,0.008227848101265823,0.65,0.01625,1269,1567,7,13,0.45133053221288516,0.01260239445494644,1.0,0.02489110143123833,1269,1567,0,20
Q91.000,0.1011066397279501,0.4565826330532213,0.00834403080872914,0.65,0.016476552598225603,1291,1545,7,13,0.45903361344537813,0.012779552715654952,1.0,0.025236593059936908,1291,1545,0,20
Q92.000,0.10150009125471116,0.46183473389355745,0.008425145819831496,0.65,0.016634676903390915,1306,1530,7,13,0.4642857142857143,0.012903225806451613,1.0,0.025477707006369425,1306,1530,0,20
Q93.000,0.10195704862475397,0.46638655462184875,0.00849673202614379,0.65,0.016774193548387096,1319,1517,7,13,0.4688375350140056,0.013012361743656473,1.0,0.025690430314707774,1319,1517,0,20
Q94.000,0.10238675355911254,0.47093837535014005,0.008569545154911009,0.65,0.016916070266753416,1332,1504,7,13,0.4733893557422969,0.013123359580052493,1.0,0.02590673575129534,1332,1504,0,20
Q95.000,0.10273687057197094,0.4733893557422969,0.008609271523178808,0.65,0.01699346405228758,1339,1497,7,13,0.47584033613445376,0.013183915622940013,1.0,0.026024723487312947,1339,1497,0,20
Q96.000,0.10356097638607026,0.47584033613445376,0.008649367930805056,0.65,0.017071569271175313,1346,1490,7,13,0.47829131652661067,0.013245033112582781,1.0,0.0261437908496732,1346,1490,0,20
Q97.000,0.10465117514133454,0.4810924369747899,0.008736559139784945,0.65,0.017241379310344824,1361,1475,7,13,0.4835434173669468,0.013377926421404682,1.0,0.026402640264026403,1361,1475,0,20
Q98.000,0.10686626240611077,0.4838935574229692,0.008783783783783784,0.65,0.017333333333333336,1369,1467,7,13,0.48634453781512604,0.013449899125756557,1.0,0.026542800265428004,1369,1467,0,20
Q99.000,0.1084865439683199,0.4877450980392157,0.008849557522123894,0.65,0.01746138347884486,1380,1456,7,13,0.49019607843137253,0.013550135501355014,1.0,0.026737967914438505,1380,1456,0,20
Q100.000,0.11624501645565033,0.49089635854341734,0.00823045267489712,0.6,0.01623815967523681,1390,1446,8,12,0.49369747899159666,0.013642564802182811,1.0,0.02691790040376851,1390,1446,0,20
Qbest,0.11562693119049072,0.49089635854341734,0.00823045267489712,0.6,0.01623815967523681,1390,1446,8,12,0.49369747899159666,0.013642564802182811,1.0,0.02691790040376851,1390,1446,0,20
