,tau,Accuracy,Precision,Recall,F1,ROC_AUC,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.10128864496946335,0.4408263305322129,0.008109794135995009,0.65,0.016019716574245224,,1246,1590,7,13,0.4432773109243697,0.012422360248447204,1.0,0.024539877300613494,1246,1590,0,20
Q91.000,0.10169435873627662,0.44572829131652664,0.008181246066708621,0.65,0.01615910503418272,,1260,1576,7,13,0.4481792717086835,0.012531328320802004,1.0,0.024752475247524754,1260,1576,0,20
Q92.000,0.10208857744932175,0.45448179271708683,0.008312020460358057,0.65,0.016414141414141416,,1285,1551,7,13,0.4569327731092437,0.012730744748567792,1.0,0.0251414204902577,1285,1551,0,20
Q93.000,0.10247351050376893,0.4572829131652661,0.008354755784061696,0.65,0.016497461928934008,,1293,1543,7,13,0.45973389355742295,0.012795905310300703,1.0,0.025268477574226154,1293,1543,0,20
Q94.000,0.10304075747728347,0.46288515406162467,0.008441558441558441,0.65,0.016666666666666663,,1309,1527,7,13,0.4653361344537815,0.012928248222365869,1.0,0.025526483726866625,1309,1527,0,20
Q95.000,0.1037103619426489,0.4677871148459384,0.00851900393184797,0.65,0.016817593790426907,,1323,1513,7,13,0.47023809523809523,0.01304631441617743,1.0,0.025756600128783,1323,1513,0,20
Q96.000,0.1042667755484581,0.47198879551820727,0.008586525759577279,0.65,0.01694915254237288,,1335,1501,7,13,0.4744397759103641,0.013149243918474688,1.0,0.02595717066839715,1335,1501,0,20
Q97.000,0.10474500738084316,0.4740896358543417,0.008620689655172414,0.65,0.017015706806282723,,1341,1495,7,13,0.47654061624649857,0.013201320132013201,1.0,0.026058631921824105,1341,1495,0,20
Q98.000,0.10650006055831912,0.4793417366946779,0.008707300736771601,0.65,0.017184401850627893,,1356,1480,7,13,0.48179271708683474,0.013333333333333334,1.0,0.02631578947368421,1356,1480,0,20
Q99.000,0.1080541237443686,0.4835434173669468,0.008777852802160702,0.65,0.0173217854763491,,1368,1468,7,13,0.48599439775910364,0.013440860215053764,1.0,0.026525198938992044,1368,1468,0,20
Q100.000,0.11731448024511337,0.5161064425770309,0.0,0.0,0.0,,1474,1362,20,0,0.5161064425770309,0.0,0.0,0.0,1474,1362,20,0
Q_off_f1_best,0.10915948450565338,0.48564425770308123,0.008813559322033898,0.65,0.017391304347826087,0.32646332863187594,1374,1462,7,13,0.4880952380952381,0.01349527665317139,1.0,0.026631158455392812,1374,1462,0,20
