,tau,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.09895148128271103,0.6074612083195774,0.4110727618510953,0.9574668799475001,0.5751949635944757,30016,33444,1037,23344,0.6189251033116654,0.4213340254347262,0.9987695336532546,0.5926547897196262,30016,33444,30,24351
Q91.000,0.09896596521139145,0.619164171628283,0.417434198551094,0.9406094909970879,0.5782473304000303,31455,32005,1448,22933,0.6348629910861671,0.43169913170090735,0.9971699274024856,0.602542813948301,31455,32005,69,24312
Q92.000,0.0989820584654808,0.631163124281372,0.4240863472827116,0.9185841433903449,0.5802749025145418,33046,30414,1985,22396,0.6529411095046732,0.44421906693711966,0.997046880767811,0.6146086165048544,33046,30414,72,24309
Q93.000,0.09900010526180267,0.642524561423481,0.43032396379228205,0.8891349821582379,0.5799590673783057,34762,28698,2703,21678,0.6720210380118623,0.4581909490815036,0.9954062589721504,0.6275275378807467,34762,28698,112,24269
Q94.000,0.09902309775352477,0.6538176933322708,0.4362035390737448,0.8452483491243181,0.5754415357766143,36824,26636,3773,20608,0.6942316230461857,0.475607355199433,0.9908535334891924,0.6427136681077485,36824,26636,223,24158
Q95.000,0.09905590116977692,0.6634373470247379,0.4399518038788609,0.7787621508551741,0.56226124552104,39290,24170,5394,18987,0.7223050739404151,0.49987584836947524,0.9908535334891924,0.6645119586296058,39290,24170,223,24158
Q96.000,0.0991009458899498,0.6718047381063512,0.4418805205665604,0.6935318485706082,0.5398183472472744,42103,21357,7472,16909,0.7533725708951401,0.5299024894895555,0.9874082277183053,0.6896808571592276,42103,21357,307,24074
Q97.000,0.09914711713790894,0.6834621645928439,0.45029324661750186,0.6361100857224888,0.5273107457967121,44527,18933,8872,15509,0.7809223483339215,0.5597283910424854,0.9872441655387392,0.7144129170129407,44527,18933,311,24070
Q98.000,0.09921220541000367,0.69736227957332,0.46450781375865957,0.5912800951560642,0.5202829507723401,46841,16619,9965,14416,0.802609259912797,0.5874131082423039,0.9704688076781101,0.7318476361330634,46841,16619,720,23661
Q99.000,0.09933417886495591,0.7153948611696133,0.4888681077581556,0.5574832861654567,0.520925954315499,49249,14211,10789,13592,0.821472888514475,0.617170873629482,0.939666133464583,0.7450164222301714,49249,14211,1471,22910
Q100.000,0.10970667004585266,0.7224872212292666,1.0,0.00016406217956605552,0.0003280705351650605,63460,0,24377,4,0.7265513826117644,1.0,0.014806611705836512,0.029181149462452507,63460,0,24020,361
Qbest,0.09899266809225082,0.6383237895743445,0.4281239664597965,0.9025880808826545,0.5807711593782166,34065,29395,2375,22006,0.6640862467412711,0.45223986285032797,0.9954062589721504,0.6219232494073932,34065,29395,112,24269
